"106年06月30日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,908.59","-","27.65","-0.23",
"發行量加權股價指數","10,395.07","-","26.58","-0.26",
"臺灣公司治理100指數","5,865.50","-","22.14","-0.38",
"臺灣50指數","7,939.70","-","37.63","-0.47",
"臺灣中型100指數","7,250.93","+","9.68","0.13",
"臺灣資訊科技指數","9,568.85","-","53.94","-0.56",
"臺灣發達指數","9,047.28","-","27.26","-0.30",
"臺灣高股息指數","6,025.22","+","5.73","0.10",
"臺灣就業99指數","6,075.74","-","5.00","-0.08",
"臺灣高薪100指數","5,803.22","-","19.64","-0.34",
"臺灣低波動高股息指數","1,491.89","-","2.28","-0.15",
"未含金融保險股指數","8,847.20","-","25.33","-0.29",
"未含電子股指數","13,929.13","+","8.68","0.06",
"未含金融電子股指數","11,962.33","+","12.67","0.11",
"小型股300指數","6,073.97","+","7.96","0.13",
"漲升股利150指數","5,998.39","-","18.65","-0.31",
"漲升股利100指數","5,983.60","-","16.48","-0.27",
"藍籌30指數","5,475.18","-","17.93","-0.33",
"工業菁英30指數","5,765.09","-","32.90","-0.57",
"電子菁英30指數","5,717.82","-","28.15","-0.49",
"低波動精選30指數","5,548.99","-","22.93","-0.41",
"低貝塔100指數","5,410.54","+","0.22","--",
"中小型精選50指數","5,226.60","+","16.67","0.32",
"中小型A級動能50指數","5,534.96","+","22.99","0.42",
"藍籌30反向一倍指數","9,095.23","+","29.59","0.33",
"水泥窯製類指數","435.03","-","0.10","-0.02",
"塑膠化工類指數","882.32","+","1.89","0.21",
"機電類指數","2,452.34","-","11.86","-0.48",
"水泥類指數","112.31","-","0.16","-0.14",
"食品類指數","1,544.39","+","4.32","0.28",
"塑膠類指數","267.57","+","0.77","0.29",
"紡織纖維類指數","505.12","+","0.94","0.19",
"電機機械類指數","177.11","+","0.19","0.11",
"電器電纜類指數","42.78","+","0.08","0.19",
"化學生技醫療類指數","98.25","-","0.10","-0.10",
"化學類指數","99.86","-","0.12","-0.12",
"生技醫療類指數","67.98","-","0.06","-0.09",
"玻璃陶瓷類指數","39.35","+","0.21","0.54",
"造紙類指數","219.50","-","0.12","-0.05",
"鋼鐵類指數","100.98","-","0.21","-0.21",
"橡膠類指數","328.40","+","0.78","0.24",
"汽車類指數","274.25","+","0.72","0.26",
"電子類指數","436.71","-","2.22","-0.51",
"半導體類指數","148.82","-","0.97","-0.65",
"電腦及週邊設備類指數","106.76","-","0.45","-0.42",
"光電類指數","45.04"," ","--","--",
"通信網路類指數","127.89","+","0.01","0.01",
"電子零組件類指數","90.91","+","0.41","0.45",
"電子通路類指數","116.02","-","0.14","-0.12",
"資訊服務類指數","90.07","-","0.09","-0.10",
"其他電子類指數","118.16","-","1.57","-1.31",
"建材營造類指數","265.03","-","1.87","-0.70",
"航運類指數","63.72","+","0.14","0.22",
"觀光類指數","127.01","-","2.52","-1.95",
"金融保險類指數","1,142.98","-","0.53","-0.05",
"貿易百貨類指數","228.77","+","0.58","0.25",
"油電燃氣類指數","133.11","-","0.03","-0.02",
"其他類指數","257.96","+","1.27","0.49",
"臺指日報酬兩倍指數","15,719.41","-","80.59","-0.51",
"臺指日報酬反向一倍指數","7,645.19","+","19.45","0.26",
"電子類兩倍槓桿指數","12,994.52","-","132.79","-1.01",
"電子類反向指數","8,139.73","+","40.96","0.51",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","13,376.39","-","28.58","-0.21",
"發行量加權股價報酬指數","17,298.15","-","40.80","-0.24",
"臺灣公司治理100報酬指數","6,433.40","-","23.10","-0.36",
"臺灣50報酬指數","13,384.83","-","61.69","-0.46",
"臺灣中型100報酬指數","11,281.71","+","16.10","0.14",
"臺灣資訊科技報酬指數","15,498.15","-","83.28","-0.53",
"臺灣發達報酬指數","13,617.10","-","40.54","-0.30",
"臺灣高股息報酬指數","11,306.46","+","10.75","0.10",
"臺灣就業99報酬指數","7,488.29","-","5.46","-0.07",
"臺灣高薪100報酬指數","6,413.00","-","20.77","-0.32",
"臺灣低波動高股息報酬指數","3,229.25","-","4.94","-0.15",
"未含金融電子股報酬指數","19,917.07","+","24.42","0.12",
"小型股300報酬指數","6,373.65","+","10.34","0.16",
"漲升股利150報酬指數","6,246.16","-","18.67","-0.30",
"漲升股利100報酬指數","6,226.64","-","16.20","-0.26",
"藍籌 30 報酬指數","5,516.81","-","15.69","-0.28",
"工業菁英 30 報酬指數","5,816.41","-","25.97","-0.44",
"電子菁英 30 報酬指數","5,764.43","-","21.75","-0.38",
"低波動精選 30 報酬指數","5,548.99","-","22.93","-0.41",
"低貝塔 100 報酬指數","5,428.43","+","0.22","--",
"中小型精選50報酬指數","5,249.66","+","16.74","0.32",
"中小型A級動能50報酬指數","5,568.06","+","23.12","0.42",
"水泥類報酬指數","164.00","-","0.22","-0.13",
"食品類報酬指數","1,894.45","+","5.31","0.28",
"塑膠類報酬指數","357.74","+","1.04","0.29",
"紡織纖維類報酬指數","662.57","+","1.29","0.20",
"電機機械類報酬指數","228.40","+","0.29","0.13",
"電器電纜類報酬指數","50.13","+","0.10","0.20",
"化學生技醫療類報酬指數","127.73","-","0.13","-0.10",
"化學類報酬指數","134.29","-","0.15","-0.11",
"生技醫療類報酬指數","83.14","-","0.07","-0.08",
"玻璃陶瓷類報酬指數","42.51","+","0.23","0.54",
"造紙類報酬指數","273.40","-","0.15","-0.05",
"鋼鐵類報酬指數","134.32","-","0.28","-0.21",
"橡膠類報酬指數","428.47","+","1.02","0.24",
"汽車類報酬指數","348.75","+","0.91","0.26",
"電子類報酬指數","669.90","-","3.23","-0.48",
"半導體類報酬指數","220.95","-","1.44","-0.65",
"電腦及週邊設備類報酬指數","171.04","-","0.29","-0.17",
"光電類報酬指數","56.19"," ","--","--",
"通信網路類報酬指數","213.57","+","0.01","--",
"電子零組件類報酬指數","137.18","+","0.62","0.45",
"電子通路類報酬指數","194.86","-","0.24","-0.12",
"資訊服務類報酬指數","153.88","-","0.16","-0.10",
"其他電子類報酬指數","149.27","-","1.97","-1.30",
"建材營造類報酬指數","387.67","-","2.67","-0.68",
"航運類報酬指數","79.25","+","0.18","0.23",
"觀光類報酬指數","149.81","-","2.22","-1.46",
"金融保險類報酬指數","1,543.88","-","0.70","-0.05",
"貿易百貨類報酬指數","287.45","+","0.73","0.25",
"油電燃氣類報酬指數","175.96","-","0.04","-0.02",
"其他類報酬指數","355.54","+","1.96","0.55",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","89,155,221,538","2,413,134,456","673,036",
"2.台灣存託憑證","58,151,367","7,270,357","1,417",
"3.受益憑證","0","0","0",
"4.ETF","4,190,812,989","225,653,367","31,793",
"5.受益證券","21,550,796","1,505,314","287",
"6.變更交易股票","48,903,991","27,621,807","1,486",
"7.認購(售)權證","1,830,143,390","1,861,121,000","58,505",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","89,204,125,529","2,440,756,263","674,522",
"總計(1~12)","95,304,784,071","4,536,306,301","766,524",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","2,591(4)","389(4)",
"下跌(跌停)","3,475(18)","372(0)",
"持平","506","121",
"未成交","4,317","7",
"無比價","863","9",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
"無比價"含當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

"106年06月30日每日收盤行情(全部)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","3,070,653","854","245,991,027","80.10","80.40","79.80","80.40","-","0.25","80.35","1","80.40","187","0.00",
="0051","元大中型100","7,000","3","205,020","29.40","29.40","29.27","29.27","-","0.13","29.27","44","29.39","2","0.00",
="0052","富邦科技","8,000","6","389,430","48.25","48.82","48.25","48.70","-","0.24","48.65","10","48.90","1","0.00",
="0053","元大電子","22,000","6","768,310","35.50","35.50","34.88","34.88","-","0.82","35.01","50","35.33","20","0.00",
="0054","元大台商50","35,000","15","880,690","25.18","25.25","25.14","25.14","-","0.19","25.20","50","25.32","3","0.00",
="0055","元大MSCI金融","77,200","39","1,193,819","15.45","15.52","15.43","15.51","-","0.04","15.51","9","15.53","1","0.00",
="0056","元大高股息","700,368","433","17,887,231","25.60","25.60","25.50","25.58","-","0.02","25.58","10","25.60","61","0.00",
="0057","富邦摩台","6,000","2","288,010","47.99","48.06","47.99","48.06","-","0.41","47.87","20","48.06","20","0.00",
="0058","富邦發達","0","0","0","--","--","--","--"," ","0.00","45.43","10","45.82","1","0.00",
="0059","富邦金融","2,000","1","71,640","35.82","35.82","35.82","35.82","-","0.27","35.85","1","36.10","2","0.00",
