

2015年06月11日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10768.05,+,6.05,0.06
發行量加權股價指數,9302.49,+,3.99,0.04
臺灣50指數,6901.76,+,29.09,0.42
臺灣中型100指數,6961.31,-,65.75,-0.94
臺灣資訊科技指數,7778.95,+,73.45,0.95
臺灣發達指數,8048.46,-,21.47,-0.27
臺灣高股息指數,5593.06,-,39.64,-0.7
臺灣就業99指數,5606.13,-,16.41,-0.29
臺灣高薪100指數,5185.57,-,6.39,-0.12
臺灣企業經營101指數,5997.35,-,11.41,-0.19
臺灣低波動高股息指數,1425.96,-,9.28,-0.65
未含金融保險股指數,7726.2,+,8.08,0.1
未含電子股指數,13593.68,-,58.67,-0.43
未含金融電子股指數,11341.61,-,55.21,-0.48
小型股300指數,--,,--,--
水泥窯製類指數,508.75,-,7.58,-1.47
塑膠化工類指數,793.32,-,0.88,-0.11
機電類指數,2040.43,+,9.28,0.46
水泥類指數,134.64,-,1.88,-1.38
食品類指數,1257.21,-,11.25,-0.89
塑膠類指數,226.79,-,0.35,-0.15
紡織纖維類指數,611.26,-,8.69,-1.4
電機機械類指數,155.18,+,0.21,0.14
電器電纜類指數,31.28,-,0.38,-1.2
化學生技醫療類指數,99.35,-,0.06,-0.06
化學類指數,100.45,-,0.03,-0.03
生技醫療類指數,68.91,-,0.06,-0.09
玻璃陶瓷類指數,40.63,-,0.86,-2.07
造紙類指數,159.53,-,0.21,-0.13
鋼鐵類指數,93.87,+,0.03,0.03
橡膠類指數,334.92,+,0.05,0.01
汽車類指數,316.52,-,2.85,-0.89
電子類指數,362.93,+,1.72,0.48
半導體類指數,117.24,+,1.75,1.52
電腦及週邊設備類指數,99.42,-,1.01,-1.01
光電類指數,40.29,-,0.11,-0.27
通信網路類指數,113.07,+,0.5,0.44
電子零組件類指數,80.82,-,0.8,-0.98
電子通路類指數,114.42,-,0.71,-0.62
資訊服務類指數,105.71,-,0.4,-0.38
其他電子類指數,91.03,+,0.1,0.11
建材營造類指數,276.87,-,4.2,-1.49
航運類指數,77.74,-,2.11,-2.64
觀光類指數,119.94,+,0.21,0.18
金融保險類指數,1190.65,-,3.7,-0.31
貿易百貨類指數,220.73,+,2.08,0.95
油電燃氣類指數,100.37,-,0.25,-0.25
其他類指數,265.84,-,0.14,-0.05
電子類兩倍槓桿指數,9418.69,+,88.85,0.95
電子類反向指數,10277.75,-,49.17,-0.48
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11095.37,+,6.41,0.06
發行量加權股價報酬指數,14167.97,+,6.27,0.04
臺灣50報酬指數,10629.73,+,44.82,0.42
臺灣中型100報酬指數,9971.39,-,94.19,-0.94
臺灣資訊科技報酬指數,11346.8,+,107.13,0.95
臺灣發達報酬指數,11225.71,-,29.95,-0.27
臺灣高股息報酬指數,9216.17,-,65.31,-0.7
臺灣就業99報酬指數,6365.73,-,18.63,-0.29
臺灣高薪100報酬指數,5227.79,-,6.44,-0.12
臺灣企業經營101報酬指數,6406.52,-,12.19,-0.19
臺灣低波動高股息報酬指數,2799.87,-,18.21,-0.65
未含金融電子股報酬指數,17439.35,-,84.12,-0.48
小型股300報酬指數,--,,--,--
水泥類報酬指數,178.17,-,2.48,-1.37
食品類報酬指數,1454.5,-,13.01,-0.89
塑膠類報酬指數,282.12,-,0.43,-0.15
紡織纖維類報酬指數,748.6,-,10.64,-1.4
電機機械類報酬指數,186.27,+,0.25,0.13
電器電纜類報酬指數,35.23,-,0.43,-1.21
化學生技醫療類報酬指數,120.62,+,0.03,0.02
化學類報酬指數,124.59,+,0.14,0.11
生技醫療類報酬指數,79.91,-,0.08,-0.1
玻璃陶瓷類報酬指數,43.31,-,0.92,-2.08
造紙類報酬指數,184.99,-,0.25,-0.13
鋼鐵類報酬指數,115.89,+,0.04,0.03
橡膠類報酬指數,396.98,+,0.05,0.01
汽車類報酬指數,368.43,-,3.32,-0.89
電子類報酬指數,505.8,+,2.4,0.48
半導體類報酬指數,156.95,+,2.34,1.51
電腦及週邊設備類報酬指數,142.5,-,1.45,-1.01
光電類報酬指數,47.57,-,0.13,-0.27
通信網路類報酬指數,173.17,+,0.78,0.45
電子零組件類報酬指數,110.73,-,1.08,-0.97
電子通路類報酬指數,167.82,-,1.05,-0.62
資訊服務類報酬指數,159.63,-,0.6,-0.37
其他電子類報酬指數,105.63,+,0.12,0.11
建材營造類報酬指數,359.19,-,5.44,-1.49
航運類報酬指數,91.33,-,2.47,-2.63
觀光類報酬指數,133.12,+,0.24,0.18
金融保險類報酬指數,1483.72,-,4.6,-0.31
貿易百貨類報酬指數,257.65,+,2.42,0.95
油電燃氣類報酬指數,119.09,-,0.29,-0.24
其他類報酬指數,339.79,-,0.19,-0.06
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","88622784832","2095832808","794929"
"2.台灣存託憑證","66869901","10033995","2371"
"3.受益憑證","0","0","0"
"4.ETF","6580901853","218899836","37158"
"5.受益證券","46794390","2779000","353"
"6.變更交易股票","6931268","2750604","552"
"7.認購(售)權證","3469748110","3054760000","96372"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","88629716100","2098583412","795481"
"總計(1~12)","98794030354","5385056243","931735"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2655(11),271(8)
"下跌(跌停)",3649(37),498(1)
"持平",594,86
"未成交",4044,3
"無比價",675,1
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2015年06月11日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","7352571","1254","504746450","68.8","68.9","68.4","68.85","+","0.2","68.85","114","68.9","304","0.00"
="0051  ","元大中型100     ","58067","26","1661516","28.5","29.55","28.4","29.55","+","1.15","28.45","1","29.7","5","0.00"
="0052  ","FB科技          ","15000","4","602190","40.17","40.17","40.13","40.13","+","0.06","40.17","26","40.43","10","0.00"
="0053  ","元大電子        ","5000","5","142140","28.4","28.49","28.35","28.45","+","0.1","28.36","3","28.45","1","0.00"
="0054  ","元大台商50      ","9000","5","203960","22.82","22.82","22.63","22.63","-","0.3","22.65","3","22.83","3","0.00"
="0055  ","元大MSCI金融    ","510000","135","8175620","16.1","16.16","15.9","15.9","-","0.18","15.9","75","16.01","1","0.00"
="0056  ","元大高股息      ","2342994","1012","54941271","23.6","23.65","23.36","23.45","-","0.11","23.44","11","23.45","4","0.00"
="0057  ","FB摩台          ","57000","9","2368650","41.6","41.62","41.35","41.55","+","0.08","41.55","49","41.6","63","0.00"
="0058  ","FB發達          ","5000","1","193250","38.65","38.65","38.65","38.65","-","0.12","38.53","10","38.73","10","0.00"
="0059  ","FB金融          ","6000","2","218200","36.3","36.38","36.3","36.38","+","0.05","36.18","12","36.41","15","0.00"
="0060  ","新台灣          ","1000","1","32780","32.78","32.78","32.78","32.78","-","0.13","32.02","2","33.6","1","0.00"
="0061  ","元大寶滬深      ","32215279","6642","783917290","24.77","24.77","24.16","24.22","-","0.54","24.21","167","24.22","248","0.00"
="006203","元大MSCI台灣    ","14000","6","454310","32.44","32.7","32.18","32.7","+","0.1","32.7","1","33.2","1","0.00"
="006204","永豐臺灣加權    ","11000","7","511360","46.65","46.65","46.39","46.39","-","0.29","46.56","15","46.68","15","0.00"
="006205","FB上証          ","10348600","1657","440413256","42.7","42.81","42.2","42.62","-","0.14","42.58","57","42.62","18","0.00"
="006206","元大上證50      ","7307000","1373","271885550","37.53","37.55","36.8","37.33","-","0.24","37.27","3","37.33","53","0.00"
="006207","FH滬深          ","4459100","1278","141628637","31.74","32","31.55","31.62","-","0.23","31.62","25","31.63","11","0.00"
="006208","FB台50          ","31000","2","1208950","39","39","38.95","38.95","+","0.08","38.95","37","39","1","0.00"
="00631L","元大台灣50正2   ","1460000","463","31447340","21.79","21.79","21.36","21.57","-","0.01","21.57","21","21.58","16","0.00"
="00632R","元大台灣50反1   ","10877300","2300","206204570","18.89","19.06","18.84","18.93"," ","0","18.92","364","18.93","368","0.00"
="00633L","FB上証正2       ","30921100","6789","1975804455","64.4","65.2","62.7","63.6","-","1.45","63.55","293","63.6","110","0.00"
="00634R","FB上証反1       ","18858000","2295","175876610","9.3","9.42","9.24","9.29","+","0.06","9.29","820","9.3","210","0.00"
="00635U","元大S&P黃金     ","2292000","121","45105530","19.62","19.7","19.62","19.68","+","0.06","19.68","67","19.69","1","0.00"
="00636 ","國泰中國A50     ","13515001","1026","305138312","22.77","22.82","22.4","22.56","-","0.23","22.56","146","22.57","1","0.00"
="00637L","元大滬深300正2  ","53443000","8415","1245083350","23.85","23.85","22.85","23.11","-","0.65","23.1","350","23.11","72","0.00"
="00638R","元大滬深300反1  ","7429000","686","132478240","17.8","17.99","17.63","17.8","+","0.11","17.8","5","17.81","11","0.00"
="00639 ","FB深100         ","15315015","1536","244340946","15.99","16","15.83","15.9","-","0.09","15.9","36","15.91","9","0.00"
="0080  ","恒中國          ","3209","16","1654245","516","517","515","515.05","-","2.95","515","4","516","3","0.00"
="0081  ","恒香港          ","100","1","100300","1003","1003","1003","1003","X","0","993.15","1","1020","1","0.00"
="008201","BP上證50        ","38500","91","4362575","114","114.9","112.7","113.2","-","0.8","113.2","104","113.35","2","0.00"
="01001T","土銀富邦R1      ","169000","28","2879220","17.04","17.06","17","17","-","0.04","17","19","17.06","15","0.00"
="01002T","土銀國泰R1      ","1517000","135","27757430","18.3","18.35","18.28","18.3","-","0.03","18.29","37","18.3","102","0.00"
="01003T","兆豐新光R1      ","362000","15","5100560","14.09","14.09","14.08","14.09"," ","0","14.08","172","14.09","170","0.00"
="01004T","土銀富邦R2      ","445000","87","6451210","14.31","14.5","14.31","14.5"," ","0","14.5","56","14.51","38","0.00"
="01007T","兆豐國泰R2      ","286000","88","4605970","16.11","16.11","16.08","16.08","-","0.02","16.08","104","16.09","2","0.00"
"1101  ","台泥            ","11023500","4929","420841086","38.8","38.95","37.8","38.15","-","0.65","38.15","213","38.2","1,312","14.34"
"1102  ","亞泥            ","4316150","2183","159145750","37.15","37.15","36.7","36.75","-","0.4","36.75","49","36.8","58","13.17"
"1103  ","嘉泥            ","627837","238","7690566","12.5","12.5","12.1","12.15","-","0.3","12.15","1","12.2","12","0.00"
"1104  ","環泥            ","442115","314","12597775","29","29","28","28.55","-","0.65","28.55","8","28.6","2","12.41"
"1108  ","幸福            ","351000","174","3815600","10.9","11","10.7","10.95","+","0.15","10.9","4","10.95","7","9.61"
"1109  ","信大            ","118443","90","1488431","12.65","12.65","12.45","12.65"," ","0","12.6","5","12.7","6","25.82"
"1110  ","東泥            ","328000","257","4842600","14.9","15.2","14.55","15.2"," ","0","15.1","1","15.2","19","80"
"1201  ","味全            ","833894","484","16858515","20.45","20.6","20.1","20.1","-","0.65","20.1","77","20.25","1","0.00"
