"106年07月03日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,925.43","+","16.84","0.14",
"發行量加權股價指數","10,412.79","+","17.72","0.17",
"臺灣公司治理100指數","5,874.47","+","8.97","0.15",
"臺灣50指數","7,944.41","+","4.71","0.06",
"臺灣中型100指數","7,287.35","+","36.42","0.50",
"臺灣資訊科技指數","9,595.58","+","26.73","0.28",
"臺灣發達指數","9,068.39","+","21.11","0.23",
"臺灣高股息指數","6,051.50","+","26.28","0.44",
"臺灣就業99指數","6,063.85","-","11.89","-0.20",
"臺灣高薪100指數","5,799.41","-","3.81","-0.07",
"臺灣低波動高股息指數","1,495.68","+","3.79","0.25",
"未含金融保險股指數","8,873.91","+","26.71","0.30",
"未含電子股指數","13,973.72","+","44.59","0.32",
"未含金融電子股指數","12,051.39","+","89.06","0.74",
"小型股300指數","6,077.72","+","3.75","0.06",
"漲升股利150指數","6,031.72","+","33.33","0.56",
"漲升股利100指數","6,008.98","+","25.38","0.42",
"藍籌30指數","5,484.56","+","9.38","0.17",
"工業菁英30指數","5,799.01","+","33.92","0.59",
"電子菁英30指數","5,733.24","+","15.42","0.27",
"低波動精選30指數","5,542.54","-","6.45","-0.12",
"低貝塔100指數","5,445.27","+","34.73","0.64",
"中小型精選50指數","5,230.86","+","4.26","0.08",
"中小型A級動能50指數","5,509.69","-","25.27","-0.46",
"藍籌30反向一倍指數","9,079.65","-","15.58","-0.17",
"水泥窯製類指數","437.27","+","2.24","0.51",
"塑膠化工類指數","885.56","+","3.24","0.37",
"機電類指數","2,453.16","+","0.82","0.03",
"水泥類指數","112.82","+","0.51","0.45",
"食品類指數","1,549.65","+","5.26","0.34",
"塑膠類指數","268.55","+","0.98","0.37",
"紡織纖維類指數","514.60","+","9.48","1.88",
"電機機械類指數","176.17","-","0.94","-0.53",
"電器電纜類指數","42.90","+","0.12","0.28",
"化學生技醫療類指數","98.37","+","0.12","0.12",
"化學類指數","100.32","+","0.46","0.46",
"生技醫療類指數","67.76","-","0.22","-0.32",
"玻璃陶瓷類指數","39.66","+","0.31","0.79",
"造紙類指數","222.10","+","2.60","1.18",
"鋼鐵類指數","102.86","+","1.88","1.86",
"橡膠類指數","330.73","+","2.33","0.71",
"汽車類指數","275.70","+","1.45","0.53",
"電子類指數","436.94","+","0.23","0.05",
"半導體類指數","149.20","+","0.38","0.26",
"電腦及週邊設備類指數","107.49","+","0.73","0.68",
"光電類指數","44.70","-","0.34","-0.75",
"通信網路類指數","128.63","+","0.74","0.58",
"電子零組件類指數","90.00","-","0.91","-1.00",
"電子通路類指數","115.71","-","0.31","-0.27",
"資訊服務類指數","90.21","+","0.14","0.16",
"其他電子類指數","117.81","-","0.35","-0.30",
"建材營造類指數","265.61","+","0.58","0.22",
"航運類指數","64.98","+","1.26","1.98",
"觀光類指數","126.09","-","0.92","-0.72",
"金融保險類指數","1,134.65","-","8.33","-0.73",
"貿易百貨類指數","228.27","-","0.50","-0.22",
"油電燃氣類指數","134.31","+","1.20","0.90",
"其他類指數","262.74","+","4.78","1.85",
"臺指日報酬兩倍指數","15,773.00","+","53.59","0.34",
"臺指日報酬反向一倍指數","7,632.16","-","13.03","-0.17",
"電子類兩倍槓桿指數","13,008.21","+","13.69","0.11",
"電子類反向指數","8,135.44","-","4.29","-0.05",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","13,423.53","+","47.14","0.35",
"發行量加權股價報酬指數","17,367.39","+","69.24","0.40",
"臺灣公司治理100報酬指數","6,462.28","+","28.88","0.45",
"臺灣50報酬指數","13,430.84","+","46.01","0.34",
