

2015年07月01日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10860.19,+,65.59,0.61
發行量加權股價指數,9375.23,+,52.21,0.56
臺灣公司治理100指數,5035.63,+,11.14,0.22
臺灣50指數,6947.38,+,29.13,0.42
臺灣中型100指數,7047.13,+,65.78,0.94
臺灣資訊科技指數,7780.33,+,50.66,0.66
臺灣發達指數,8184.4,+,51.8,0.64
臺灣高股息指數,5736.8,+,46.08,0.81
臺灣就業99指數,5651.77,+,7.98,0.14
臺灣高薪100指數,5220.9,+,15.32,0.29
臺灣低波動高股息指數,1449.63,+,4.34,0.3
未含金融保險股指數,7797.28,+,54.12,0.7
未含電子股指數,13654.29,+,19.56,0.14
未含金融電子股指數,11415.62,+,35.9,0.32
小型股300指數,--,,--,--
水泥窯製類指數,513.07,+,5.25,1.03
塑膠化工類指數,795.14,+,1.58,0.2
機電類指數,2060.41,+,18.95,0.93
水泥類指數,136.46,+,1.53,1.13
食品類指數,1298.1,-,3.67,-0.28
塑膠類指數,225.89,+,0.49,0.22
紡織纖維類指數,625.85,-,0.04,-0.01
電機機械類指數,151.03,+,1.08,0.72
電器電纜類指數,32.35,+,0.06,0.19
化學生技醫療類指數,101.62,+,1.09,1.08
化學類指數,102.21,+,0.6,0.59
生技醫療類指數,70.96,+,1.22,1.75
玻璃陶瓷類指數,39.66,+,0.14,0.35
造紙類指數,159.05,+,0.64,0.4
鋼鐵類指數,92.93,-,0.78,-0.83
橡膠類指數,336.23,-,3.47,-1.02
汽車類指數,311,+,1.45,0.47
電子類指數,366.88,+,3.41,0.94
半導體類指數,116.46,+,0.76,0.66
電腦及週邊設備類指數,100.97,+,0.55,0.55
光電類指數,41.89,+,0.99,2.42
通信網路類指數,114.56,+,0.55,0.48
電子零組件類指數,81.94,+,0.9,1.11
電子通路類指數,116.29,-,0.03,-0.03
資訊服務類指數,103.27,+,0.41,0.4
其他電子類指數,94.46,+,1.43,1.54
建材營造類指數,279.01,+,3.13,1.13
航運類指數,79.23,+,0.63,0.8
觀光類指數,124,+,2.59,2.13
金融保險類指數,1190.54,-,2.82,-0.24
貿易百貨類指數,218.65,-,0.02,-0.01
油電燃氣類指數,102.88,+,0.75,0.73
其他類指數,268.7,+,0.49,0.18
電子類兩倍槓桿指數,9610.8,+,177.01,1.88
電子類反向指數,10152.73,-,96.15,-0.94
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11282.73,+,79.2,0.71
發行量加權股價報酬指數,14401.91,+,94.56,0.66
臺灣公司治理100報酬指數,5095.88,+,18.62,0.37
臺灣50報酬指數,10830.13,+,57.66,0.54
臺灣中型100報酬指數,10114.35,+,94.41,0.94
臺灣資訊科技報酬指數,11542.93,+,75.15,0.66
臺灣發達報酬指數,11455.84,+,72.5,0.64
臺灣高股息報酬指數,9467.42,+,76.05,0.81
臺灣就業99報酬指數,6477.61,+,28.66,0.44
臺灣高薪100報酬指數,5314.73,+,27.27,0.52
臺灣低波動高股息報酬指數,2855.35,+,10.9,0.38
未含金融電子股報酬指數,17568.94,+,58.43,0.33
小型股300報酬指數,--,,--,--
水泥類報酬指數,180.58,+,2.03,1.14
食品類報酬指數,1501.8,-,4.24,-0.28
塑膠類報酬指數,280.99,+,0.6,0.21
紡織纖維類報酬指數,766.47,-,0.04,-0.01
電機機械類報酬指數,182.12,+,1.57,0.87
電器電纜類報酬指數,36.46,+,0.07,0.19
化學生技醫療類報酬指數,123.45,+,1.33,1.09
化學類報酬指數,126.77,+,0.74,0.59
生技醫療類報酬指數,82.41,+,1.42,1.75
玻璃陶瓷類報酬指數,42.28,+,0.15,0.36
造紙類報酬指數,184.44,+,0.74,0.4
鋼鐵類報酬指數,114.8,-,0.97,-0.84
橡膠類報酬指數,398.53,-,4.12,-1.02
汽車類報酬指數,362.01,+,1.69,0.47
電子類報酬指數,517.35,+,4.82,0.94
半導體類報酬指數,159.07,+,1.04,0.66
電腦及週邊設備類報酬指數,145.07,+,0.79,0.55
光電類報酬指數,49.55,+,1.19,2.46
通信網路類報酬指數,177.2,+,0.85,0.48
電子零組件類報酬指數,114.36,+,1.27,1.12
電子通路類報酬指數,170.57,-,0.04,-0.02
資訊服務類報酬指數,155.94,+,0.61,0.39
其他電子類報酬指數,109.76,+,1.66,1.54
建材營造類報酬指數,362.76,+,4.07,1.13
航運類報酬指數,93.44,+,0.74,0.8
觀光類報酬指數,137.85,+,2.89,2.14
金融保險類報酬指數,1504.69,+,5.88,0.39
貿易百貨類報酬指數,255.31,-,0.02,-0.01
油電燃氣類報酬指數,122.07,+,0.89,0.73
其他類報酬指數,344.16,+,0.97,0.28
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","76415702534","1630938939","643711"
"2.台灣存託憑證","15730477","4615353","996"
"3.受益憑證","0","0","0"
"4.ETF","7106062087","274913068","45328"
"5.受益證券","23572010","1514000","103"
"6.變更交易股票","7131912","2586948","498"
"7.認購(售)權證","3057528390","2741945000","80908"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","76422834446","1633525887","644209"
"總計(1~12)","86625727410","4656513308","771544"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",4153(11),594(8)
"下跌(跌停)",1874(35),172(0)
"持平",360,81
"未成交",4215,6
"無比價",1199,8
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2015年07月01日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","6063171","1853","424660570","69.4","70.3","69.25","70.05","+","0.65","70.05","227","70.1","63","0.00"
="0051  ","元大中型100     ","14501","16","417590","28.57","28.75","28.57","28.74","+","0.17","28.74","4","28.8","10","0.00"
="0052  ","FB科技          ","42001","22","1715842","40.46","41.88","40.46","41.86","+","1.38","41","2","41.88","2","0.00"
="0053  ","元大電子        ","197001","100","5837980","29.51","30.14","29.07","29.81","+","0.31","29.49","1","29.8","1","0.00"
="0054  ","元大台商50      ","5001","5","117023","23.28","23.44","23.28","23.44","+","0.3","23.35","50","23.49","3","0.00"
="0055  ","元大MSCI金融    ","332101","83","5394866","16.12","16.33","16.12","16.31","+","0.19","16.3","5","16.31","2","0.00"
="0056  ","元大高股息      ","305772","181","7283048","23.7","23.89","23.7","23.84","+","0.14","23.83","7","23.84","2","0.00"
="0057  ","FB摩台          ","92001","8","3851372","41.68","42.28","41.68","42.28","+","0.8","42.29","50","42.35","58","0.00"
="0058  ","FB發達          ","2000","2","78530","39.17","39.36","39.17","39.36","+","0.38","39.4","10","39.58","30","0.00"
="0059  ","FB金融          ","3001","4","110037","36.6","36.79","36.6","36.79","+","0.41","36.73","30","36.96","22","0.00"
="0060  ","新台灣          ","4001","5","131603","32.72","33","32.72","33","+","0.44","32.61","60","33.99","8","0.00"
="0061  ","元大寶滬深      ","20930500","4891","453886098","21.7","21.84","21.49","21.78","+","0.34","21.77","1","21.78","10","0.00"
="006203","元大MSCI台灣    ","2000","2","66550","33.23","33.32","33.23","33.32","+","0.26","33.32","1","33.6","1","0.00"
="006204","永豐臺灣加權    ","17646","7","832752","46.97","47.32","46.97","47.29","+","0.55","47.2","15","47.33","15","0.00"
="006205","FB上証          ","16764120","3073","634509086","37.75","38.12","37.6","38","+","0.83","38","93","38.02","10","0.00"
="006206","元大上證50      ","10882400","1562","360912146","33.28","33.42","32.91","33.14","+","0.41","33.13","8","33.14","8","0.00"
="006207","FH滬深          ","8621500","1636","243472340","28.2","28.4","28","28.3","+","0.58","28.29","102","28.3","25","0.00"
