"106年06月12日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,621.06","-","98.97","-0.84",
"發行量加權股價指數","10,109.96","-","89.69","-0.88",
"臺灣公司治理100指數","5,679.67","-","60.09","-1.05",
"臺灣50指數","7,662.74","-","96.38","-1.24",
"臺灣中型100指數","7,065.46","-","9.15","-0.13",
"臺灣資訊科技指數","9,408.80","-","142.47","-1.49",
"臺灣發達指數","8,600.13","-","98.17","-1.13",
"臺灣高股息指數","5,915.25","+","13.05","0.22",
"臺灣就業99指數","5,900.50","-","19.87","-0.34",
"臺灣高薪100指數","5,594.55","-","32.99","-0.59",
"臺灣低波動高股息指數","1,459.31","-","5.58","-0.38",
"未含金融保險股指數","8,612.14","-","91.88","-1.06",
"未含電子股指數","13,548.94","-","41.26","-0.30",
"未含金融電子股指數","11,664.88","-","66.39","-0.57",
"小型股300指數","6,013.72","-","19.26","-0.32",
"漲升股利150指數","5,798.64","-","61.69","-1.05",
"漲升股利100指數","5,785.50","-","65.11","-1.11",
"藍籌30指數","5,329.00","-","42.45","-0.79",
"工業菁英30指數","5,591.00","-","61.88","-1.09",
"電子菁英30指數","5,664.74","-","50.60","-0.89",
"低波動精選30指數","5,232.97","-","36.83","-0.70",
"低貝塔100指數","5,365.93","-","6.24","-0.12",
"中小型精選50指數","5,100.91","-","15.57","-0.30",
"中小型A級動能50指數","5,461.85","-","41.42","-0.75",
"藍籌30反向一倍指數","9,348.28","+","73.30","0.79",
"水泥窯製類指數","430.03","-","5.27","-1.21",
"塑膠化工類指數","847.21","-","4.90","-0.58",
"機電類指數","2,385.38","-","30.64","-1.27",
"水泥類指數","111.52","-","1.47","-1.30",
"食品類指數","1,492.71","-","4.00","-0.27",
"塑膠類指數","255.27","-","1.37","-0.53",
"紡織纖維類指數","480.76","-","3.15","-0.65",
"電機機械類指數","173.39","+","0.47","0.27",
"電器電纜類指數","41.71","+","0.27","0.65",
"化學生技醫療類指數","97.67"," ","--","--",
"化學類指數","99.60","+","0.12","0.12",
"生技醫療類指數","67.27","-","0.14","-0.21",
"玻璃陶瓷類指數","38.05","-","0.29","-0.76",
"造紙類指數","221.35","+","2.44","1.11",
"鋼鐵類指數","98.41","-","0.20","-0.20",
"橡膠類指數","311.06","-","5.06","-1.60",
"汽車類指數","272.61","-","8.28","-2.95",
"電子類指數","424.69","-","5.73","-1.33",
"半導體類指數","146.95","-","2.70","-1.80",
"電腦及週邊設備類指數","105.42","-","0.45","-0.43",
"光電類指數","43.69","-","0.30","-0.68",
"通信網路類指數","126.44","+","0.01","0.01",
"電子零組件類指數","89.97","-","0.65","-0.72",
"電子通路類指數","115.29","-","0.81","-0.70",
"資訊服務類指數","90.70","-","0.49","-0.54",
"其他電子類指數","106.26","-","2.52","-2.32",
"建材營造類指數","263.26","-","0.59","-0.22",
"航運類指數","62.73","+","0.10","0.16",
"觀光類指數","124.29","-","1.08","-0.86",
"金融保險類指數","1,104.90","+","3.95","0.36",
"貿易百貨類指數","226.99","-","1.48","-0.65",
"油電燃氣類指數","134.84","-","0.62","-0.46",
"其他類指數","246.91","-","2.19","-0.88",
"臺指日報酬兩倍指數","14,877.42","-","266.33","-1.76",
"臺指日報酬反向一倍指數","7,865.29","+","68.56","0.88",
"電子類兩倍槓桿指數","12,298.47","-","336.41","-2.66",
"電子類反向指數","8,376.59","+","110.05","1.33",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","12,943.18","-","110.23","-0.84",
"發行量加權股價報酬指數","16,671.51","-","147.90","-0.88",
"臺灣公司治理100報酬指數","6,157.63","-","65.13","-1.05",
"臺灣50報酬指數","12,775.85","-","160.69","-1.24",
"臺灣中型100報酬指數","10,967.13","-","14.20","-0.13",
"臺灣資訊科技報酬指數","14,916.78","-","225.87","-1.49",
"臺灣發達報酬指數","12,924.61","-","147.55","-1.13",
"臺灣高股息報酬指數","11,082.08","+","24.45","0.22",
"臺灣就業99報酬指數","7,250.46","-","24.43","-0.34",
"臺灣高薪100報酬指數","6,148.71","-","36.26","-0.59",
"臺灣低波動高股息報酬指數","3,146.43","-","12.03","-0.38",
"未含金融電子股報酬指數","19,280.37","-","109.73","-0.57",
"小型股300報酬指數","6,283.64","-","20.12","-0.32",
"漲升股利150報酬指數","5,991.08","-","63.74","-1.05",
"漲升股利100報酬指數","5,967.70","-","67.16","-1.11",
"藍籌 30 報酬指數","5,329.00","-","42.45","-0.79",
"工業菁英 30 報酬指數","5,591.00","-","61.88","-1.09",
"電子菁英 30 報酬指數","5,665.58","-","50.61","-0.89",
"低波動精選 30 報酬指數","5,232.97","-","36.83","-0.70",
"低貝塔 100 報酬指數","5,370.98","-","6.24","-0.12",
"中小型精選50報酬指數","5,100.91","-","15.57","-0.30",
