"106年06月07日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,732.85","+","2.52","0.02",
"發行量加權股價指數","10,209.99","+","3.81","0.04",
"臺灣公司治理100指數","5,752.29","+","13.40","0.23",
"臺灣50指數","7,767.29","+","15.33","0.20",
"臺灣中型100指數","7,067.27","-","31.70","-0.45",
"臺灣資訊科技指數","9,544.35","+","29.06","0.31",
"臺灣發達指數","8,713.41","-","6.69","-0.08",
"臺灣高股息指數","5,881.40","-","19.87","-0.34",
"臺灣就業99指數","5,925.62","-","16.32","-0.27",
"臺灣高薪100指數","5,633.09","+","4.64","0.08",
"臺灣低波動高股息指數","1,465.27","-","1.24","-0.08",
"未含金融保險股指數","8,712.72","+","4.50","0.05",
"未含電子股指數","13,647.01","+","14.48","0.11",
"未含金融電子股指數","11,794.53","+","20.34","0.17",
"小型股300指數","6,027.74","-","15.26","-0.25",
"漲升股利150指數","5,866.12","-","4.36","-0.07",
"漲升股利100指數","5,855.80","-","2.83","-0.05",
"藍籌30指數","5,378.90","+","5.63","0.10",
"工業菁英30指數","5,656.23","+","20.37","0.36",
"電子菁英30指數","5,702.05","+","8.01","0.14",
"低波動精選30指數","5,278.70","-","5.55","-0.11",
"低貝塔100指數","5,363.36","-","15.24","-0.28",
"中小型精選50指數","5,094.97","-","1.54","-0.03",
"中小型A級動能50指數","5,494.61","-","41.34","-0.75",
"藍籌30反向一倍指數","9,262.28","-","9.72","-0.10",
"水泥窯製類指數","437.32","+","2.52","0.58",
"塑膠化工類指數","856.84","-","1.44","-0.17",
"機電類指數","2,412.38","-","1.02","-0.04",
"水泥類指數","113.17","-","0.05","-0.04",
"食品類指數","1,521.59","+","15.54","1.03",
"塑膠類指數","258.25","-","0.33","-0.13",
"紡織纖維類指數","487.15","-","0.30","-0.06",
"電機機械類指數","172.45","-","1.23","-0.71",
"電器電纜類指數","41.42","-","0.21","-0.50",
"化學生技醫療類指數","98.23","-","0.16","-0.16",
"化學類指數","99.78","-","0.36","-0.36",
"生技醫療類指數","68.03","+","0.07","0.10",
"玻璃陶瓷類指數","39.11","+","1.40","3.71",
"造紙類指數","219.77","+","4.32","2.01",
"鋼鐵類指數","98.95","-","0.13","-0.13",
"橡膠類指數","316.58","-","1.23","-0.39",
"汽車類指數","284.21","+","2.89","1.03",
"電子類指數","429.78","-","0.08","-0.02",
"半導體類指數","149.64","+","0.40","0.27",
"電腦及週邊設備類指數","105.34","-","0.04","-0.04",
"光電類指數","44.05","-","0.08","-0.18",
