"106年06月26日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","12,043.74","+","149.41","1.26",
"發行量加權股價指數","10,513.96","+","136.26","1.31",
"臺灣公司治理100指數","5,953.04","+","88.75","1.51",
"臺灣50指數","8,052.01","+","107.85","1.36",
"臺灣中型100指數","7,248.78","+","68.72","0.96",
"臺灣資訊科技指數","9,758.26","-","8.87","-0.09",
"臺灣發達指數","9,141.53","+","224.39","2.52",
"臺灣高股息指數","6,065.43","+","61.90","1.03",
"臺灣就業99指數","6,082.93","+","78.91","1.31",
"臺灣高薪100指數","5,843.76","+","99.39","1.73",
"臺灣低波動高股息指數","1,499.00","+","18.06","1.22",
"未含金融保險股指數","8,970.46","+","109.94","1.24",
"未含電子股指數","13,990.91","+","247.97","1.80",
"未含金融電子股指數","12,064.32","+","212.97","1.80",
"小型股300指數","6,092.09","+","35.39","0.58",
"漲升股利150指數","6,080.05","+","106.31","1.78",
"漲升股利100指數","6,081.01","+","111.16","1.86",
"藍籌30指數","5,533.04","+","53.14","0.97",
"工業菁英30指數","5,836.93","+","66.62","1.15",
"電子菁英30指數","5,826.09","+","24.45","0.42",
"低波動精選30指數","5,559.59","+","150.62","2.78",
"低貝塔100指數","5,442.69","+","30.98","0.57",
"中小型精選50指數","5,216.32","+","34.44","0.66",
"中小型A級動能50指數","5,570.59","+","41.23","0.75",
"藍籌30反向一倍指數","9,000.89","-","88.14","-0.97",
"水泥窯製類指數","434.21","+","2.15","0.50",
"塑膠化工類指數","879.41","+","15.94","1.85",
"機電類指數","2,492.43","+","23.11","0.94",
"水泥類指數","112.30","+","0.23","0.21",
"食品類指數","1,543.77","+","12.03","0.79",
"塑膠類指數","266.26","+","5.66","2.17",
"紡織纖維類指數","503.92","+","7.55","1.52",
"電機機械類指數","177.58","+","1.82","1.04",
"電器電纜類指數","42.21","+","0.47","1.13",
"化學生技醫療類指數","98.86","+","0.49","0.50",
"化學類指數","99.87","+","0.41","0.41",
"生技醫療類指數","68.97","+","0.43","0.63",
"玻璃陶瓷類指數","38.93","+","0.73","1.91",
"造紙類指數","224.39","+","0.06","0.03",
"鋼鐵類指數","100.38","+","1.04","1.05",
"橡膠類指數","325.92","+","6.36","1.99",
"汽車類指數","277.45","+","6.06","2.23",
"電子類指數","444.13","+","4.10","0.93",
"半導體類指數","151.99","-","0.54","-0.35",
"電腦及週邊設備類指數","108.42","+","1.06","0.99",
"光電類指數","45.53","+","0.54","1.20",
"通信網路類指數","128.71","+","0.51","0.40",
"電子零組件類指數","91.39","+","0.23","0.25",
"電子通路類指數","117.07","+","1.17","1.01",
"資訊服務類指數","90.17","+","0.30","0.33",
"其他電子類指數","120.92","+","6.10","5.31",
"建材營造類指數","267.20","+","1.81","0.68",
"航運類指數","63.41","+","0.30","0.48",
"觀光類指數","127.30","+","2.06","1.64",
"金融保險類指數","1,136.45","+","20.34","1.82",
"貿易百貨類指數","231.68","+","5.54","2.45",
"油電燃氣類指數","143.89","+","6.63","4.83",
"其他類指數","256.98","+","3.11","1.23",
"臺指日報酬兩倍指數","16,083.48","+","411.55","2.63",
"臺指日報酬反向一倍指數","7,559.86","-","100.58","-1.31",
"電子類兩倍槓桿指數","13,442.42","+","245.92","1.86",
"電子類反向指數","8,005.24","-","75.29","-0.93",
