"106年07月05日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,914.45","+","59.60","0.50",
"發行量加權股價指數","10,404.79","+","57.01","0.55",
"臺灣公司治理100指數","5,873.07","+","43.75","0.75",
"臺灣50指數","7,946.16","+","67.63","0.86",
"臺灣中型100指數","7,251.06","+","10.36","0.14",
"臺灣資訊科技指數","9,564.33","+","69.38","0.73",
"臺灣發達指數","9,067.49","+","88.53","0.99",
"臺灣高股息指數","6,015.61","+","32.52","0.54",
"臺灣就業99指數","6,068.91","+","17.66","0.29",
"臺灣高薪100指數","5,805.52","+","36.77","0.64",
"臺灣低波動高股息指數","1,497.25","+","4.89","0.33",
"未含金融保險股指數","8,860.07","+","54.94","0.62",
"未含電子股指數","13,990.44","+","25.98","0.19",
"未含金融電子股指數","12,048.97","+","28.83","0.24",
"小型股300指數","6,067.34","-","0.49","-0.01",
"漲升股利150指數","6,025.29","+","46.74","0.78",
"漲升股利100指數","6,002.56","+","48.69","0.82",
"藍籌30指數","5,485.15","+","30.53","0.56",
"工業菁英30指數","5,792.09","+","37.23","0.65",
"電子菁英30指數","5,725.01","+","36.52","0.64",
"低波動精選30指數","5,550.81","+","47.38","0.86",
"低貝塔100指數","5,451.68","+","8.20","0.15",
"中小型精選50指數","5,238.98","+","4.93","0.09",
"中小型A級動能50指數","5,466.41","-","17.18","-0.31",
"藍籌30反向一倍指數","9,078.12","-","51.10","-0.56",
"水泥窯製類指數","440.23","+","1.90","0.43",
"塑膠化工類指數","888.26","+","4.11","0.46",
"機電類指數","2,447.02","+","19.42","0.80",
"水泥類指數","113.74","+","0.59","0.52",
"食品類指數","1,553.00","+","8.69","0.56",
"塑膠類指數","269.77","+","1.61","0.60",
"紡織纖維類指數","509.75","+","0.04","0.01",
"電機機械類指數","175.15","-","0.66","-0.38",
"電器電纜類指數","42.37","+","0.05","0.12",
"化學生技醫療類指數","98.46","+","0.32","0.33",
"化學類指數","100.77","+","0.42","0.42",
"生技醫療類指數","67.49","+","0.11","0.16",
"玻璃陶瓷類指數","39.68","+","0.02","0.05",
"造紙類指數","225.01","-","1.23","-0.54",
"鋼鐵類指數","103.61","+","0.65","0.63",
"橡膠類指數","330.06","-","0.19","-0.06",
"汽車類指數","274.15","+","2.20","0.81",
"電子類指數","435.92","+","3.65","0.84",
"半導體類指數","148.82","+","0.93","0.63",
"電腦及週邊設備類指數","107.27","+","0.90","0.85",
"光電類指數","44.68","+","0.21","0.47",
"通信網路類指數","128.62","+","0.85","0.67",
"電子零組件類指數","89.47","+","0.08","0.09",
"電子通路類指數","115.84","+","0.78","0.68",
"資訊服務類指數","89.72","-","0.31","-0.34",
"其他電子類指數","117.46","+","2.57","2.24",
"建材營造類指數","266.79","+","0.34","0.13",
"航運類指數","65.41","-","0.01","-0.02",
"觀光類指數","125.05","-","0.89","-0.71",
"金融保險類指數","1,139.99","+","0.60","0.05",
"貿易百貨類指數","227.43","+","0.91","0.40",
