

2017年02月07日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10983.89,+,20.68,0.19
發行量加權股價指數,9554.56,+,16.55,0.17
臺灣公司治理100指數,5347.98,+,11.21,0.21
臺灣50指數,7162.33,+,22.19,0.31
臺灣中型100指數,6710.09,+,11.01,0.16
臺灣資訊科技指數,8536.47,+,0.82,0.01
臺灣發達指數,8162.61,+,39.73,0.49
臺灣高股息指數,5650.33,+,10.8,0.19
臺灣就業99指數,5733.8,+,7.49,0.13
臺灣高薪100指數,5309.76,+,19.13,0.36
臺灣低波動高股息指數,1381.92,+,6.21,0.45
未含金融保險股指數,8084.13,+,12.07,0.15
未含電子股指數,13486.73,+,28.92,0.21
未含金融電子股指數,11640.24,+,19.66,0.17
小型股300指數,5800.28,-,3.7,-0.06
漲升股利150指數,5447.91,+,17,0.31
漲升股利100指數,5398.93,+,17.33,0.32
藍籌30指數,5103.75,+,12.87,0.25
工業菁英30指數,5201.89,+,17.4,0.34
電子菁英30指數,5204.62,+,10.37,0.2
低波動精選30指數,5049.21,+,31.61,0.63
低貝塔100指數,5116.15,+,18.86,0.37
藍籌30反向一倍指數,9783.07,-,24.79,-0.25
水泥窯製類指數,436.45,-,1.1,-0.25
塑膠化工類指數,892.86,+,7.7,0.87
機電類指數,2165.45,+,3.39,0.16
水泥類指數,114,-,0.3,-0.26
食品類指數,1391.42,+,8.99,0.65
塑膠類指數,269.06,+,2.58,0.97
紡織纖維類指數,483.99,-,0.35,-0.07
電機機械類指數,167.74,+,0.6,0.36
電器電纜類指數,42.87,+,0.85,2.02
化學生技醫療類指數,102.54,+,0.08,0.08
化學類指數,104.95,+,0.32,0.31
生技醫療類指數,70.34,-,0.14,-0.2
玻璃陶瓷類指數,37.27,-,0.07,-0.19
造紙類指數,200.16,-,0.74,-0.37
鋼鐵類指數,103.02,-,0.24,-0.23
橡膠類指數,329.3,+,4.81,1.48
汽車類指數,249.15,+,2.15,0.87
電子類指數,384.37,+,0.53,0.14
半導體類指數,131.56,+,0.2,0.15
電腦及週邊設備類指數,99.78,+,0.13,0.13
光電類指數,40.39,-,0.3,-0.74
通信網路類指數,118.2,+,0.04,0.03
電子零組件類指數,84.37,-,0.12,-0.14
電子通路類指數,110.4,-,0.05,-0.05
資訊服務類指數,87,+,0.07,0.08
其他電子類指數,89.97,+,0.84,0.94
建材營造類指數,256.45,-,1.46,-0.57
航運類指數,61.26,-,0.08,-0.13
觀光類指數,113.64,-,0.6,-0.53
金融保險類指數,1092.99,+,3.6,0.33
貿易百貨類指數,210.32,+,1.09,0.52
油電燃氣類指數,132.31,-,2.4,-1.78
其他類指數,244.26,+,1.01,0.42
臺指日報酬兩倍指數,13314.86,+,46.05,0.35
臺指日報酬反向一倍指數,8339.52,-,14.5,-0.17
電子類兩倍槓桿指數,10102.86,+,27.82,0.28
電子類反向指數,9282,-,12.83,-0.14
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,12231.08,+,23.03,0.19
發行量加權股價報酬指數,15752.58,+,27.29,0.17
臺灣公司治理100報酬指數,5797.42,+,12.15,0.21
臺灣50報酬指數,11941.53,+,37.01,0.31
臺灣中型100報酬指數,10406.74,+,17.07,0.16
臺灣資訊科技報酬指數,13533.78,+,1.29,0.01
臺灣發達報酬指數,12265.36,+,59.71,0.49
臺灣高股息報酬指數,10585.76,+,20.23,0.19
臺灣就業99報酬指數,7044.03,+,9.2,0.13
臺灣高薪100報酬指數,5835.51,+,21.02,0.36
臺灣低波動高股息報酬指數,2979.57,+,13.39,0.45
未含金融電子股報酬指數,19235.24,+,32.48,0.17
小型股300報酬指數,6057.96,-,3.86,-0.06
漲升股利150報酬指數,5627.97,+,17.56,0.31
漲升股利100報酬指數,5568.75,+,17.88,0.32
藍籌 30 報酬指數,5103.75,+,12.87,0.25
工業菁英 30 報酬指數,5201.89,+,17.4,0.34
電子菁英 30 報酬指數,5204.62,+,10.37,0.2
低波動精選 30 報酬指數,5049.21,+,31.61,0.63
低貝塔 100 報酬指數,5116.15,+,18.86,0.37
水泥類報酬指數,166.46,-,0.44,-0.26
食品類報酬指數,1706.47,+,11.03,0.65
塑膠類報酬指數,359.36,+,3.45,0.97
紡織纖維類報酬指數,634.06,-,0.47,-0.07
電機機械類報酬指數,215.77,+,0.78,0.36
電器電纜類報酬指數,50.19,+,1,2.03
化學生技醫療類報酬指數,132.94,+,0.11,0.08
化學類報酬指數,140.6,+,0.42,0.3
生技醫療類報酬指數,85.89,-,0.17,-0.2
玻璃陶瓷類報酬指數,40.27,-,0.07,-0.17
造紙類報酬指數,248.72,-,0.93,-0.37
鋼鐵類報酬指數,136.4,-,0.32,-0.23
橡膠類報酬指數,428.2,+,6.25,1.48
汽車類報酬指數,316.83,+,2.73,0.87
電子類報酬指數,582.51,+,0.8,0.14
半導體類報酬指數,190.63,+,0.3,0.16
電腦及週邊設備類報酬指數,159.25,+,0.22,0.14
光電類報酬指數,50.33,-,0.38,-0.75
通信網路類報酬指數,197.35,+,0.05,0.03
電子零組件類報酬指數,126.72,-,0.18,-0.14
電子通路類報酬指數,184.37,-,0.09,-0.05
資訊服務類報酬指數,147.88,+,0.12,0.08
其他電子類報酬指數,113.53,+,1.06,0.94
建材營造類報酬指數,374.44,-,2.12,-0.56
航運類報酬指數,76.18,-,0.1,-0.13
觀光類報酬指數,132.19,-,0.7,-0.53
金融保險類報酬指數,1475.14,+,4.87,0.33
貿易百貨類報酬指數,263.57,+,1.36,0.52
油電燃氣類報酬指數,166.42,-,3.03,-1.79
其他類報酬指數,336,+,1.39,0.42
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","90119105692","2728406213","895940"
"2.台灣存託憑證","92052150","26768638","3933"
"3.受益憑證","0","0","0"
