

2017年03月17日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,11415.94,+,85.55,0.76
發行量加權股價指數,9908.69,+,70.86,0.72
臺灣公司治理100指數,5523.56,+,30.23,0.55
臺灣50指數,7407.27,+,48.86,0.66
臺灣中型100指數,6954.48,+,60.68,0.88
臺灣資訊科技指數,8803.81,+,54.74,0.63
臺灣發達指數,8463.84,+,72.67,0.87
臺灣高股息指數,5866.42,+,30.07,0.52
臺灣就業99指數,5976.45,+,49.42,0.83
臺灣高薪100指數,5509.71,+,31.54,0.58
臺灣低波動高股息指數,1452.13,+,9.3,0.64
未含金融保險股指數,8386.12,+,63.18,0.76
未含電子股指數,13845.25,+,70.2,0.51
未含金融電子股指數,11910.28,+,62.44,0.53
小型股300指數,6080.47,+,57.78,0.96
漲升股利150指數,5672.19,+,39.66,0.7
漲升股利100指數,5617.21,+,40.03,0.72
藍籌30指數,5276.6,+,41.86,0.8
工業菁英30指數,5411.56,+,72.04,1.35
電子菁英30指數,5395.95,+,54.8,1.03
低波動精選30指數,5196.53,+,20.52,0.4
低貝塔100指數,5328.68,+,34.31,0.65
藍籌30反向一倍指數,9454.16,-,76.21,-0.8
水泥窯製類指數,489.16,+,4.95,1.02
塑膠化工類指數,882.98,+,1.61,0.18
機電類指數,2263.92,+,20.28,0.9
水泥類指數,124.75,+,0.27,0.22
食品類指數,1456.01,+,20.18,1.41
塑膠類指數,262.08,-,0.07,-0.03
紡織纖維類指數,505.12,+,7.15,1.44
電機機械類指數,171.72,+,1.61,0.95
電器電纜類指數,45.23,+,0.45,1
化學生技醫療類指數,104.49,+,0.87,0.84
化學類指數,103.69,+,0.92,0.9
生技醫療類指數,74.56,+,0.58,0.78
玻璃陶瓷類指數,46.81,+,2.13,4.77
造紙類指數,224.54,+,3.73,1.69
鋼鐵類指數,105.69,+,0.8,0.76
橡膠類指數,338.05,+,1.09,0.32
汽車類指數,251.87,+,2.03,0.81
電子類指數,402.14,+,3.6,0.9
半導體類指數,137.35,+,1.24,0.91
電腦及週邊設備類指數,103.8,+,0.35,0.34
光電類指數,42.28,+,0.53,1.27
