"106年06月23日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,894.33","-","25.95","-0.22",
"發行量加權股價指數","10,377.70","-","21.36","-0.21",
"臺灣公司治理100指數","5,864.29","-","12.52","-0.21",
"臺灣50指數","7,944.16","-","12.17","-0.15",
"臺灣中型100指數","7,180.06","-","15.72","-0.22",
"臺灣資訊科技指數","9,767.13","-","30.06","-0.31",
"臺灣發達指數","8,917.14","-","2.36","-0.03",
"臺灣高股息指數","6,003.53","-","8.50","-0.14",
"臺灣就業99指數","6,004.02","-","7.76","-0.13",
"臺灣高薪100指數","5,744.37","-","7.10","-0.12",
"臺灣低波動高股息指數","1,480.94","-","1.67","-0.11",
"未含金融保險股指數","8,860.52","-","18.80","-0.21",
"未含電子股指數","13,742.94","-","22.19","-0.16",
"未含金融電子股指數","11,851.35","-","19.13","-0.16",
"小型股300指數","6,056.70","-","14.25","-0.23",
"漲升股利150指數","5,973.74","-","15.22","-0.25",
"漲升股利100指數","5,969.85","-","16.42","-0.27",
"藍籌30指數","5,479.90","-","12.27","-0.22",
"工業菁英30指數","5,770.31","-","21.20","-0.37",
"電子菁英30指數","5,801.64","-","29.47","-0.51",
"低波動精選30指數","5,408.97","+","3.25","0.06",
"低貝塔100指數","5,411.71","-","9.04","-0.17",
"中小型精選50指數","5,181.88","-","7.67","-0.15",
"中小型A級動能50指數","5,529.36","-","24.29","-0.44",
"藍籌30反向一倍指數","9,089.03","+","20.26","0.22",
"水泥窯製類指數","432.06","-","1.45","-0.33",
"塑膠化工類指數","863.47","+","1.90","0.22",
"機電類指數","2,469.32","-","5.82","-0.24",
"水泥類指數","112.07","-","0.26","-0.23",
"食品類指數","1,531.74","-","0.47","-0.03",
"塑膠類指數","260.60","+","0.72","0.28",
"紡織纖維類指數","496.37","+","1.31","0.26",
"電機機械類指數","175.76","-","0.12","-0.07",
"電器電纜類指數","41.74","-","0.21","-0.50",
"化學生技醫療類指數","98.37","-","0.04","-0.04",
"化學類指數","99.46","-","0.02","-0.02",
"生技醫療類指數","68.54","-","0.06","-0.09",
"玻璃陶瓷類指數","38.20","-","0.33","-0.86",
"造紙類指數","224.33","-","0.17","-0.08",
"鋼鐵類指數","99.34","-","0.36","-0.36",
"橡膠類指數","319.56","+","0.95","0.30",
"汽車類指數","271.39","-","0.86","-0.32",
"電子類指數","440.03","-","1.06","-0.24",
"半導體類指數","152.53","-","0.70","-0.46",
"電腦及週邊設備類指數","107.36","-","0.21","-0.20",
"光電類指數","44.99","+","0.32","0.72",
"通信網路類指數","128.20","-","0.29","-0.23",
"電子零組件類指數","91.16","-","0.45","-0.49",
"電子通路類指數","115.90","+","0.63","0.55",
"資訊服務類指數","89.87","-","0.21","-0.23",
"其他電子類指數","114.82","-","0.13","-0.11",
"建材營造類指數","265.39","-","1.51","-0.57",
"航運類指數","63.11","-","0.34","-0.54",
"觀光類指數","125.24","-","0.26","-0.21",
"金融保險類指數","1,116.11","-","1.80","-0.16",
"貿易百貨類指數","226.14","+","0.99","0.44",
"油電燃氣類指數","137.26","-","1.80","-1.29",
"其他類指數","253.87","+","0.09","0.04",
"臺指日報酬兩倍指數","15,671.93","-","64.65","-0.41",
"臺指日報酬反向一倍指數","7,660.44","+","15.70","0.21",
"電子類兩倍槓桿指數","13,196.50","-","63.73","-0.48",
"電子類反向指數","8,080.53","+","19.37","0.24",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","13,257.08","-","27.80","-0.21",
"發行量加權股價報酬指數","17,124.43","-","33.98","-0.20",
"臺灣公司治理100報酬指數","6,360.19","-","13.58","-0.21",
"臺灣50報酬指數","13,245.95","-","20.28","-0.15",
"臺灣中型100報酬指數","11,170.42","-","19.65","-0.18",
"臺灣資訊科技報酬指數","15,492.91","-","47.68","-0.31",
"臺灣發達報酬指數","13,407.82","-","1.29","-0.01",
"臺灣高股息報酬指數","11,265.77","-","15.95","-0.14",
"臺灣就業99報酬指數","7,379.98","-","9.54","-0.13",
"臺灣高薪100報酬指數","6,317.24","-","7.81","-0.12",
"臺灣低波動高股息報酬指數","3,196.06","-","3.61","-0.11",
"未含金融電子股報酬指數","19,599.98","-","27.34","-0.14",
"小型股300報酬指數","6,336.71","-","14.29","-0.23",
"漲升股利150報酬指數","6,178.34","-","15.02","-0.24",
"漲升股利100報酬指數","6,165.73","-","16.05","-0.26",
"藍籌 30 報酬指數","5,480.49","-","12.27","-0.22",
"工業菁英 30 報酬指數","5,774.45","-","17.06","-0.29",
"電子菁英 30 報酬指數","5,802.50","-","29.48","-0.51",
"低波動精選 30 報酬指數","5,408.97","+","3.25","0.06",
"低貝塔 100 報酬指數","5,423.40","-","8.87","-0.16",
"中小型精選50報酬指數","5,199.48","-","7.70","-0.15",
"中小型A級動能50報酬指數","5,553.52","-","24.40","-0.44",
"水泥類報酬指數","163.64","-","0.38","-0.23",
"食品類報酬指數","1,878.93","-","0.57","-0.03",
"塑膠類報酬指數","348.05","+","0.96","0.28",
"紡織纖維類報酬指數","650.27","+","1.70","0.26",
"電機機械類報酬指數","226.46","-","0.16","-0.07",
"電器電纜類報酬指數","48.86","-","0.24","-0.49",
"化學生技醫療類報酬指數","127.73","-","0.06","-0.05",
"化學類報酬指數","133.54","-","0.02","-0.01",
"生技醫療類報酬指數","83.77","-","0.07","-0.08",
"玻璃陶瓷類報酬指數","41.27","-","0.35","-0.84",
"造紙類報酬指數","278.75","-","0.22","-0.08",
"鋼鐵類報酬指數","132.11","-","0.08","-0.06",
"橡膠類報酬指數","416.65","+","1.23","0.30",
"汽車類報酬指數","345.11","-","1.10","-0.32",
"電子類報酬指數","667.50","-","1.60","-0.24",
"半導體類報酬指數","221.18","-","1.01","-0.45",
"電腦及週邊設備類報酬指數","171.44","-","0.33","-0.19",
"光電類報酬指數","56.12","+","0.40","0.72",
"通信網路類報酬指數","214.06","-","0.49","-0.23",
"電子零組件類報酬指數","137.49","-","0.67","-0.48",
"電子通路類報酬指數","194.66","+","1.05","0.54",
"資訊服務類報酬指數","153.55","-","0.35","-0.23",
"其他電子類報酬指數","144.94","-","0.16","-0.11",
"建材營造類報酬指數","387.64","-","2.21","-0.57",
"航運類報酬指數","78.49","-","0.42","-0.53",
"觀光類報酬指數","146.14","-","0.31","-0.21",
"金融保險類報酬指數","1,507.14","-","2.43","-0.16",
"貿易百貨類報酬指數","284.15","+","1.24","0.44",
"油電燃氣類報酬指數","172.64","-","2.28","-1.30",
"其他類報酬指數","349.37","+","0.25","0.07",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","81,822,068,442","1,985,999,489","642,824",
"2.台灣存託憑證","47,608,904","5,435,264","1,239",
"3.受益憑證","0","0","0",
"4.ETF","7,326,330,636","372,757,856","49,429",
"5.受益證券","9,251,860","657,000","133",
"6.變更交易股票","9,532,746","4,594,630","798",
"7.認購(售)權證","2,180,393,370","1,920,355,000","60,019",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","81,831,601,188","1,990,594,119","643,622",
"總計(1~12)","91,395,185,958","4,289,799,239","754,442",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","2,133(2)","276(2)",
"下跌(跌停)","3,476(14)","479(0)",
"持平","642","127",
"未成交","4,318","7",
"無比價","918","8",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
"無比價"含當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

"106年06月23日每日收盤行情(全部)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","8,517,089","3,426","679,313,575","79.75","80.05","79.65","79.70","-","0.05","79.70","383","79.75","3,109","0.00",
="0051","元大中型100","67,439","28","1,962,819","29.08","29.16","29.08","29.09","+","0.01","29.08","9","29.09","3","0.00",
="0052","富邦科技","17,000","7","829,280","49.10","49.10","48.65","48.65","-","0.37","48.64","10","49.06","1","0.00",
="0053","元大電子","47,000","13","1,646,320","35.05","35.12","35.00","35.00","-","0.03","34.97","50","35.02","1","0.00",
="0054","元大台商50","175,110","22","4,385,545","24.94","25.08","24.89","24.89","-","0.05","24.89","50","24.98","1","0.00",
="0055","元大MSCI金融","44,330","19","670,134","15.14","15.14","15.09","15.10","-","0.04","15.10","197","15.12","3","0.00",
="0056","元大高股息","996,328","448","25,409,654","25.56","25.57","25.46","25.48","-","0.08","25.48","12","25.49","24","0.00",
="0057","富邦摩台","28,000","8","1,319,570","47.16","47.16","47.05","47.08","+","0.02","47.04","20","47.28","21","0.00",
="0058","富邦發達","6,000","5","269,730","44.96","44.96","44.95","44.95","+","0.15","44.75","10","44.95","1","0.00",
="0059","富邦金融","2,154","3","75,874","35.20","35.20","35.20","35.20","+","0.20","35.05","1","35.30","3","0.00",
="0061","元大寶滬深","4,857,535","1,075","78,402,585","16.16","16.20","16.10","16.11","-","0.18","16.10","58","16.11","11","0.00",
="006203","元大MSCI台灣","1,000","1","36,650","36.65","36.65","36.65","36.65","-","0.29","36.62","50","36.96","20","0.00",
="006204","永豐臺灣加權","3,300","2","169,770","51.55","51.55","51.55","51.55"," ","0.00","51.50","15","51.70","100","0.00",
="006205","富邦上証","7,994,668","1,168","225,708,843","28.30","28.39","28.13","28.24","-","0.37","28.24","3","28.27","1","0.00",
="006206","元大上證50","2,742,000","414","76,084,780","27.80","27.85","27.60","27.77","-","0.31","27.76","1","27.83","20","0.00",
="006207","FH滬深","1,785,000","361","37,653,190","21.19","21.21","21.01","21.03","-","0.28","21.03","106","21.06","66","0.00",
="006208","富邦台50","6,213","9","291,496","47.00","47.00","46.89","46.89","X","0.00","46.79","1","46.93","10","0.00",
="00625K","富邦上証+R","80,000","5","499,800","6.31","6.31","6.21","6.21","-","0.18","6.25","5","6.31","10","0.00",
="00631L","元大台灣50正2","1,155,000","341","37,184,090","32.20","32.34","32.10","32.13","-","0.10","32.13","1","32.15","15","0.00",
="00632R","元大台灣50反1","61,894,116","4,947","875,063,215","14.13","14.17","14.10","14.14","+","0.02","14.14","625","14.15","422","0.00",
="00633L","富邦上証正2","49,056,600","9,780","1,893,576,406","38.69","38.93","38.27","38.58","-","0.97","38.57","59","38.58","669","0.00",
="00634R","富邦上証反1","2,022,000","346","16,693,210","8.21","8.31","8.21","8.29","+","0.12","8.27","20","8.29","293","0.00",
="00635U","元大S&P黃金","1,391,000","208","27,462,600","19.76","19.76","19.72","19.76","-","0.02","19.75","63","19.76","192","0.00",
="00636","國泰中國A50","2,293,000","586","40,390,760","17.71","17.71","17.52","17.60","-","0.25","17.59","16","17.60","20","0.00",
="00637L","元大滬深300正2","122,323,005","12,360","1,781,702,482","14.61","14.70","14.44","14.55","-","0.37","14.54","312","14.55","2,828","0.00",
