

2016年04月14日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10049,+,18.25,0.18
發行量加權股價指數,8667.71,+,15.63,0.18
臺灣公司治理100指數,4837.39,+,1.51,0.03
臺灣50指數,6411.3,+,8.4,0.13
臺灣中型100指數,6151.4,+,15.89,0.26
臺灣資訊科技指數,7674.75,+,4.06,0.05
臺灣發達指數,7439.05,+,15.64,0.21
臺灣高股息指數,5232.28,+,29.53,0.57
臺灣就業99指數,5182.76,+,7.24,0.14
臺灣高薪100指數,4703.1,+,4.53,0.1
臺灣低波動高股息指數,1287.95,+,5.17,0.4
未含金融保險股指數,7390.57,+,12.57,0.17
未含電子股指數,12364.97,+,58.76,0.48
未含金融電子股指數,10932.47,+,60.93,0.56
小型股300指數,5363.11,+,28.15,0.53
水泥窯製類指數,430.29,+,12.16,2.91
塑膠化工類指數,812.82,+,7.56,0.94
機電類指數,1946.62,-,0.87,-0.04
水泥類指數,112.71,+,3.6,3.3
食品類指數,1373.76,-,1.58,-0.11
塑膠類指數,234.27,+,2.52,1.09
紡織纖維類指數,515.72,+,3.8,0.74
電機機械類指數,156.55,+,1.15,0.74
電器電纜類指數,31.6,+,0.25,0.8
化學生技醫療類指數,101.55,+,0.11,0.11
化學類指數,94.67,+,0.37,0.39
生技醫療類指數,77.97,-,0.16,-0.2
玻璃陶瓷類指數,36.46,+,0.26,0.72
造紙類指數,158.08,+,1.36,0.87
鋼鐵類指數,90.07,+,1.97,2.24
橡膠類指數,333.55,+,4.63,1.41
汽車類指數,240.31,-,1.72,-0.71
電子類指數,345.46,-,0.27,-0.08
半導體類指數,118.34,+,0.2,0.17
電腦及週邊設備類指數,91.33,-,0.01,-0.01
光電類指數,29.02,-,0.17,-0.58
通信網路類指數,120.83,-,0.57,-0.47
電子零組件類指數,75.23,+,0.67,0.9
電子通路類指數,99.09,+,0.36,0.36
資訊服務類指數,83.69,+,0.47,0.56
其他電子類指數,80.89,-,0.79,-0.97
建材營造類指數,246.8,+,1.86,0.76
航運類指數,65.52,-,0.01,-0.02
觀光類指數,114.11,-,0.09,-0.08
金融保險類指數,941.06,+,2.37,0.25
貿易百貨類指數,203.12,-,1.12,-0.55
油電燃氣類指數,117.39,-,0.51,-0.43
其他類指數,235.15,+,0.58,0.25
臺指日報酬兩倍指數,11088.68,+,39.92,0.36
臺指日報酬反向一倍指數,9302.43,-,16.84,-0.18
電子類兩倍槓桿指數,8288.52,-,12.97,-0.16
電子類反向指數,10489.03,+,8.19,0.08
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10756.42,+,19.52,0.18
發行量加權股價報酬指數,13720.4,+,24.73,0.18
臺灣公司治理100報酬指數,5023.51,+,1.56,0.03
臺灣50報酬指數,10256.77,+,13.45,0.13
臺灣中型100報酬指數,9189.56,+,23.74,0.26
臺灣資訊科技報酬指數,11674.22,+,6.17,0.05
臺灣發達報酬指數,10750.25,+,22.6,0.21
臺灣高股息報酬指數,9269.13,+,52.31,0.57
臺灣就業99報酬指數,6119.89,+,8.54,0.14
臺灣高薪100報酬指數,4944.44,+,4.76,0.1
臺灣低波動高股息報酬指數,2656.38,+,10.67,0.4
未含金融電子股報酬指數,17388.86,+,96.92,0.56
小型股300報酬指數,5363.11,+,28.15,0.53
水泥類報酬指數,158.57,+,5.06,3.3
食品類報酬指數,1633.24,-,1.88,-0.11
塑膠類報酬指數,298.95,+,3.22,1.09
紡織纖維類報酬指數,651.13,+,4.8,0.74
