"106年07月11日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,916.62","+","132.13","1.12",
"發行量加權股價指數","10,415.57","+","125.66","1.22",
"臺灣公司治理100指數","5,883.34","+","85.88","1.48",
"臺灣50指數","8,004.17","+","142.59","1.81",
"臺灣中型100指數","7,225.97","+","45.68","0.64",
"臺灣資訊科技指數","9,658.95","+","214.33","2.27",
"臺灣發達指數","9,098.34","+","120.36","1.34",
"臺灣高股息指數","5,995.15","+","51.51","0.87",
"臺灣就業99指數","6,074.08","+","51.50","0.86",
"臺灣高薪100指數","5,812.94","+","71.44","1.24",
"臺灣低波動高股息指數","1,480.94","+","0.31","0.02",
"未含金融保險股指數","8,870.03","+","113.15","1.29",
"未含電子股指數","13,851.56","+","77.51","0.56",
"未含金融電子股指數","11,879.38","+","58.22","0.49",
"小型股300指數","5,994.51","+","5.35","0.09",
"漲升股利150指數","6,018.26","+","73.72","1.24",
"漲升股利100指數","5,993.46","+","73.48","1.24",
"藍籌30指數","5,478.75","+","69.43","1.28",
"工業菁英30指數","5,774.59","+","91.57","1.61",
"電子菁英30指數","5,707.15","+","60.93","1.08",
"低波動精選30指數","5,548.68","+","64.98","1.18",
"低貝塔100指數","5,383.88","+","6.94","0.13",
"中小型精選50指數","5,147.78","-","4.89","-0.09",
"中小型A級動能50指數","5,412.56","+","3.14","0.06",
"藍籌30反向一倍指數","9,086.58","-","118.15","-1.28",
"水泥窯製類指數","435.42","+","1.51","0.35",
"塑膠化工類指數","872.16","+","5.27","0.61",
"機電類指數","2,468.86","+","41.13","1.69",
"水泥類指數","112.71","+","0.48","0.43",
"食品類指數","1,539.05","+","4.49","0.29",
"塑膠類指數","264.06","+","2.18","0.83",
"紡織纖維類指數","501.64","+","1.10","0.22",
"電機機械類指數","172.81","+","0.68","0.40",
"電器電纜類指數","41.87","+","0.32","0.77",
"化學生技醫療類指數","96.39","-","0.24","-0.25",
"化學類指數","99.72","+","0.18","0.18",
"生技醫療類指數","65.10","-","0.56","-0.85",
"玻璃陶瓷類指數","38.88","-","0.01","-0.03",
"造紙類指數","218.35","-","0.46","-0.21",
"鋼鐵類指數","102.84","+","0.91","0.89",
"橡膠類指數","330.87","+","1.92","0.58",
"汽車類指數","270.90","+","2.87","1.07",
"電子類指數","440.19","+","7.54","1.74",
"半導體類指數","150.29","+","3.38","2.30",
"電腦及週邊設備類指數","108.37","+","1.65","1.55",
"光電類指數","46.63","+","1.09","2.39",
"通信網路類指數","125.91","-","1.19","-0.94",
"電子零組件類指數","89.47","+","0.72","0.81",
"電子通路類指數","115.85","+","1.01","0.88",
"資訊服務類指數","88.84","+","0.24","0.27",
"其他電子類指數","119.67","+","2.77","2.37",
"建材營造類指數","263.28","+","0.58","0.22",
"航運類指數","64.47","-","0.09","-0.14",
"觀光類指數","126.21","-","0.43","-0.34",
"金融保險類指數","1,140.48","+","8.33","0.74",
"貿易百貨類指數","227.95","+","1.79","0.79",
"油電燃氣類指數","131.31","+","0.61","0.47",
"其他類指數","257.10","+","1.30","0.51",
"臺指日報酬兩倍指數","15,777.07","+","376.15","2.44",
"臺指日報酬反向一倍指數","7,628.01","-","94.30","-1.22",
"電子類兩倍槓桿指數","13,195.45","+","444.44","3.49",
"電子類反向指數","8,071.03","-","143.15","-1.74",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","13,476.56","+","163.97","1.23",
"發行量加權股價報酬指數","17,448.20","+","230.62","1.34",
"臺灣公司治理100報酬指數","6,499.69","+","103.09","1.61",
"臺灣50報酬指數","13,581.81","+","254.94","1.91",
"臺灣中型100報酬指數","11,316.53","+","99.63","0.89",
"臺灣資訊科技報酬指數","15,720.60","+","375.66","2.45",
"臺灣發達報酬指數","13,776.99","+","198.38","1.46",
"臺灣高股息報酬指數","11,421.26","+","138.29","1.23",
"臺灣就業99報酬指數","7,559.25","+","72.57","0.97",
"臺灣高薪100報酬指數","6,489.67","+","89.80","1.40",
"臺灣低波動高股息報酬指數","3,248.26","+","22.48","0.70",
"未含金融電子股報酬指數","19,905.06","+","104.46","0.53",
"小型股300報酬指數","6,333.95","+","12.18","0.19",
"漲升股利150報酬指數","6,306.45","+","83.68","1.34",
"漲升股利100報酬指數","6,279.54","+","85.06","1.37",
"藍籌 30 報酬指數","5,578.60","+","82.45","1.50",
"工業菁英 30 報酬指數","5,865.29","+","103.02","1.79",
"電子菁英 30 報酬指數","5,820.43","+","89.17","1.56",
"低波動精選 30 報酬指數","5,606.74","+","70.28","1.27",
"低貝塔 100 報酬指數","5,412.54","+","9.22","0.17",
"中小型精選50報酬指數","5,200.45","+","9.77","0.19",
"中小型A級動能50報酬指數","5,505.14","+","16.20","0.30",
"水泥類報酬指數","164.60","+","0.69","0.42",
"食品類報酬指數","1,893.83","+","5.97","0.32",
"塑膠類報酬指數","359.02","+","2.96","0.83",
"紡織纖維類報酬指數","658.63","+","1.44","0.22",
"電機機械類報酬指數","225.12","+","0.88","0.39",
"電器電纜類報酬指數","49.10","+","0.37","0.76",
"化學生技醫療類報酬指數","125.85","-","0.01","-0.01",
"化學類報酬指數","134.32","+","0.29","0.22",
"生技醫療類報酬指數","80.25","-","0.26","-0.32",
"玻璃陶瓷類報酬指數","42.01","-","0.01","-0.02",
"造紙類報酬指數","276.45","-","0.58","-0.21",
"鋼鐵類報酬指數","137.18","+","1.21","0.89",
"橡膠類報酬指數","432.09","+","2.51","0.58",
"汽車類報酬指數","344.49","+","3.64","1.07",
"電子類報酬指數","678.75","+","12.90","1.94",
"半導體類報酬指數","224.13","+","5.35","2.45",
"電腦及週邊設備類報酬指數","174.12","+","2.65","1.55",
"光電類報酬指數","58.47","+","1.41","2.47",
"通信網路類報酬指數","212.63","+","0.20","0.09",
"電子零組件類報酬指數","136.86","+","1.12","0.83",
