"106年06月13日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,635.27","+","14.21","0.12",
"發行量加權股價指數","10,128.15","+","18.19","0.18",
"臺灣公司治理100指數","5,693.07","+","13.40","0.24",
"臺灣50指數","7,681.46","+","18.72","0.24",
"臺灣中型100指數","7,058.13","-","7.33","-0.10",
"臺灣資訊科技指數","9,410.13","+","1.33","0.01",
"臺灣發達指數","8,626.21","+","26.08","0.30",
"臺灣高股息指數","5,934.63","+","19.38","0.33",
"臺灣就業99指數","5,911.71","+","11.21","0.19",
"臺灣高薪100指數","5,605.85","+","11.30","0.20",
"臺灣低波動高股息指數","1,460.78","+","1.47","0.10",
"未含金融保險股指數","8,626.63","+","14.49","0.17",
"未含電子股指數","13,612.45","+","63.51","0.47",
"未含金融電子股指數","11,729.30","+","64.42","0.55",
"小型股300指數","6,015.38","+","1.66","0.03",
"漲升股利150指數","5,813.70","+","15.06","0.26",
"漲升股利100指數","5,798.57","+","13.07","0.23",
"藍籌30指數","5,340.94","+","11.94","0.22",
"工業菁英30指數","5,606.67","+","15.67","0.28",
"電子菁英30指數","5,652.93","-","11.81","-0.21",
"低波動精選30指數","5,247.78","+","14.81","0.28",
"低貝塔100指數","5,369.44","+","3.51","0.07",
"中小型精選50指數","5,088.85","-","12.06","-0.24",
"中小型A級動能50指數","5,445.83","-","16.02","-0.29",
"藍籌30反向一倍指數","9,327.33","-","20.95","-0.22",
"水泥窯製類指數","430.76","+","0.73","0.17",
"塑膠化工類指數","851.42","+","4.21","0.50",
"機電類指數","2,383.83","-","1.55","-0.06",
"水泥類指數","111.68","+","0.16","0.14",
"食品類指數","1,504.58","+","11.87","0.80",
"塑膠類指數","257.02","+","1.75","0.69",
"紡織纖維類指數","485.50","+","4.74","0.99",
"電機機械類指數","172.54","-","0.85","-0.49",
"電器電纜類指數","41.58","-","0.13","-0.31",
"化學生技醫療類指數","97.56","-","0.11","-0.11",
"化學類指數","99.57","-","0.03","-0.03",
"生技醫療類指數","67.14","-","0.13","-0.19",
"玻璃陶瓷類指數","38.17","+","0.12","0.32",
"造紙類指數","216.77","-","4.58","-2.07",
"鋼鐵類指數","99.03","+","0.62","0.63",
"橡膠類指數","312.12","+","1.06","0.34",
"汽車類指數","275.91","+","3.30","1.21",
"電子類指數","424.48","-","0.21","-0.05",
"半導體類指數","146.97","+","0.02","0.01",
"電腦及週邊設備類指數","105.32","-","0.10","-0.09",
"光電類指數","43.66","-","0.03","-0.07",
"通信網路類指數","126.46","+","0.02","0.02",
"電子零組件類指數","89.93","-","0.04","-0.04",
"電子通路類指數","115.14","-","0.15","-0.13",
"資訊服務類指數","90.68","-","0.02","-0.02",
"其他電子類指數","106.03","-","0.23","-0.22",
"建材營造類指數","264.02","+","0.76","0.29",
"航運類指數","63.32","+","0.59","0.94",
"觀光類指數","123.58","-","0.71","-0.57",
"金融保險類指數","1,107.77","+","2.87","0.26",
"貿易百貨類指數","227.38","+","0.39","0.17",
"油電燃氣類指數","136.06","+","1.22","0.90",
"其他類指數","249.34","+","2.43","0.98",
"臺指日報酬兩倍指數","14,930.96","+","53.54","0.36",
"臺指日報酬反向一倍指數","7,851.14","-","14.15","-0.18",
"電子類兩倍槓桿指數","12,286.31","-","12.16","-0.10",
"電子類反向指數","8,380.73","+","4.14","0.05",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","12,959.72","+","16.54","0.13",
"發行量加權股價報酬指數","16,702.37","+","30.86","0.19",
"臺灣公司治理100報酬指數","6,172.14","+","14.51","0.24",
"臺灣50報酬指數","12,807.05","+","31.20","0.24",
"臺灣中型100報酬指數","10,956.50","-","10.63","-0.10",
"臺灣資訊科技報酬指數","14,919.29","+","2.51","0.02",
"臺灣發達報酬指數","12,963.81","+","39.20","0.30",
"臺灣高股息報酬指數","11,118.39","+","36.31","0.33",
"臺灣就業99報酬指數","7,265.52","+","15.06","0.21",
"臺灣高薪100報酬指數","6,161.44","+","12.73","0.21",
"臺灣低波動高股息報酬指數","3,149.59","+","3.16","0.10",
"未含金融電子股報酬指數","19,386.86","+","106.49","0.55",
"小型股300報酬指數","6,288.18","+","4.54","0.07",
"漲升股利150報酬指數","6,007.29","+","16.21","0.27",
"漲升股利100報酬指數","5,981.99","+","14.29","0.24",
"藍籌 30 報酬指數","5,340.94","+","11.94","0.22",
"工業菁英 30 報酬指數","5,606.67","+","15.67","0.28",
"電子菁英 30 報酬指數","5,653.77","-","11.81","-0.21",
"低波動精選 30 報酬指數","5,247.78","+","14.81","0.28",
"低貝塔 100 報酬指數","5,378.35","+","7.37","0.14",
"中小型精選50報酬指數","5,088.85","-","12.06","-0.24",
"中小型A級動能50報酬指數","5,451.55","-","10.30","-0.19",
"水泥類報酬指數","163.07","+","0.22","0.14",
"食品類報酬指數","1,845.61","+","14.57","0.80",
"塑膠類報酬指數","343.27","+","2.33","0.68",
"紡織纖維類報酬指數","636.04","+","6.21","0.99",
"電機機械類報酬指數","221.94","-","1.10","-0.49",
"電器電纜類報酬指數","48.67","-","0.15","-0.31",
"化學生技醫療類報酬指數","126.48","-","0.14","-0.11",
"化學類報酬指數","133.40","-","0.04","-0.03",
"生技醫療類報酬指數","81.98","-","0.17","-0.21",
"玻璃陶瓷類報酬指數","41.24","+","0.13","0.32",
"造紙類報酬指數","269.37","-","5.68","-2.07",
"鋼鐵類報酬指數","131.12","+","0.83","0.64",
"橡膠類報酬指數","406.95","+","1.39","0.34",
"汽車類報酬指數","350.87","+","4.20","1.21",
"電子類報酬指數","643.43","-","0.26","-0.04",
"半導體類報酬指數","212.99","+","0.05","0.02",
"電腦及週邊設備類報酬指數","168.09","-","0.15","-0.09",
"光電類報酬指數","54.40","-","0.05","-0.09",
"通信網路類報酬指數","211.16","+","0.04","0.02",
"電子零組件類報酬指數","135.06","-","0.07","-0.05",
"電子通路類報酬指數","193.39","-","0.25","-0.13",
"資訊服務類報酬指數","154.12","-","0.05","-0.03",
"其他電子類報酬指數","133.83","-","0.25","-0.19",
"建材營造類報酬指數","385.49","+","1.12","0.29",
"航運類報酬指數","78.75","+","0.73","0.94",
"觀光類報酬指數","143.76","-","0.81","-0.56",
"金融保險類報酬指數","1,495.76","+","3.87","0.26",
"貿易百貨類報酬指數","285.64","+","0.49","0.17",
"油電燃氣類報酬指數","171.14","+","1.53","0.90",
"其他類報酬指數","342.99","+","3.35","0.99",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","76,308,828,370","1,680,081,392","617,928",
"2.台灣存託憑證","18,992,321","2,913,406","630",
"3.受益憑證","0","0","0",
"4.ETF","4,515,201,186","238,634,225","35,398",
"5.受益證券","3,010,070","218,000","41",
"6.變更交易股票","9,687,932","3,777,273","694",
"7.認購(售)權證","1,850,714,310","1,676,804,000","51,580",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","76,318,516,302","1,683,858,665","618,622",
"總計(1~12)","82,706,434,189","3,602,428,296","706,271",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","2,183(6)","388(5)",
"下跌(跌停)","3,141(18)","356(0)",
"持平","772","141",
"未成交","4,532","5",
"無比價","828","7",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
"無比價"含當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

"106年06月13日每日收盤行情(全部)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","1,615,980","437","124,661,164","77.15","77.30","77.00","77.25","+","0.10","77.20","48","77.25","282","0.00",
="0051","元大中型100","14,190","8","405,712","28.51","28.63","28.51","28.52","+","0.01","28.52","1","28.60","1","0.00",
