"106年05月22日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,471.97","+","54.87",="0.48",
"發行量加權股價指數","9,997.26","+","49.64",="0.50",
"臺灣公司治理100指數","5,633.34","+","29.78",="0.53",
"臺灣50指數","7,592.70","+","39.67",="0.53",
"臺灣中型100指數","6,921.27","+","26.00",="0.38",
"臺灣資訊科技指數","9,190.73","+","56.42",="0.62",
"臺灣發達指數","8,552.28","+","42.88",="0.50",
"臺灣高股息指數","5,817.50","+","15.67",="0.27",
"臺灣就業99指數","5,880.92","+","16.43",="0.28",
"臺灣高薪100指數","5,542.37","+","21.20",="0.38",
"臺灣低波動高股息指數","1,447.58","+","8.27",="0.57",
"未含金融保險股指數","8,494.41","+","47.30",="0.56",
"未含電子股指數","13,481.63","+","46.39",="0.35",
"未含金融電子股指數","11,554.36","+","51.83",="0.45",
"小型股300指數","5,914.33","+","19.26",="0.33",
"漲升股利150指數","5,739.28","+","30.11",="0.53",
"漲升股利100指數","5,725.04","+","37.27",="0.66",
"藍籌30指數","5,272.32","+","18.79",="0.36",
"工業菁英30指數","5,421.42","+","12.02",="0.22",
"電子菁英30指數","5,496.91","+","18.48",="0.34",
"低波動精選30指數","5,239.93","+","22.81",="0.44",
"低貝塔100指數","5,289.73","+","20.30",="0.39",
"中小型精選50指數","4,991.49","+","30.41",="0.61",
"中小型A級動能50指數","5,326.67","+","49.47",="0.94",
"藍籌30反向一倍指數","9,452.10","-","33.93","-0.36",
"水泥窯製類指數","432.66","-","2.88","-0.66",
"塑膠化工類指數","843.23","+","5.80",="0.69",
"機電類指數","2,346.79","+","15.24",="0.65",
"水泥類指數","113.14","-",="0.56","-0.49",
"食品類指數","1,450.06","-","3.26","-0.22",
"塑膠類指數","254.71","+","2.28",="0.90",
"紡織纖維類指數","474.57","-",="0.49","-0.10",
"電機機械類指數","170.23","+","2.71","1.62",
"電器電纜類指數","40.57","+",="0.13",="0.32",
"化學生技醫療類指數","96.67","+",="0.32",="0.33",
"化學類指數","98.60","+",="0.74",="0.76",
"生技醫療類指數","66.58","-",="0.15","-0.22",
"玻璃陶瓷類指數","36.72","-",="0.57","-1.53",
"造紙類指數","201.29","-",="0.37","-0.18",
"鋼鐵類指數","98.37","-",="0.70","-0.71",
"橡膠類指數","307.82","+",="0.17",="0.06",
"汽車類指數","267.73","+","2.27",="0.86",
"電子類指數","417.87","+","2.58",="0.62",
"半導體類指數","143.87","+","1.04",="0.73",
"電腦及週邊設備類指數","102.49","+",="0.57",="0.56",
"光電類指數","43.76","+",="0.34",="0.78",
"通信網路類指數","125.14","+",="0.45",="0.36",
"電子零組件類指數","89.12","+",="0.20",="0.22",
"電子通路類指數","114.81","+",="0.16",="0.14",
"資訊服務類指數","90.49","+",="0.75",="0.84",
"其他電子類指數","104.99","+",="0.75",="0.72",
"建材營造類指數","260.73","+",="0.68",="0.26",
"航運類指數","60.98","-",="0.06","-0.10",
"觀光類指數","120.21","+",="0.38",="0.32",
"金融保險類指數","1,111.87","+",="0.96",="0.09",
"貿易百貨類指數","225.36","+",="0.53",="0.24",
"油電燃氣類指數","134.24","+","1.81","1.37",
"其他類指數","247.69","+",="0.47",="0.19",
"臺指日報酬兩倍指數","14,551.83","+","143.80","1.00",
"臺指日報酬反向一倍指數","7,956.29","-","39.90","-0.50",
"電子類兩倍槓桿指數","11,914.14","+","146.22","1.24",
"電子類反向指數","8,518.65","-","53.25","-0.62",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","12,775.08","+","61.10",="0.48",
"發行量加權股價報酬指數","16,483.15","+","81.84",="0.50",
"臺灣公司治理100報酬指數","6,106.76","+","32.28",="0.53",
"臺灣50報酬指數","12,659.07","+","66.14",="0.53",
"臺灣中型100報酬指數","10,737.02","+","40.33",="0.38",
"臺灣資訊科技報酬指數","14,571.05","+","89.45",="0.62",
"臺灣發達報酬指數","12,852.13","+","64.43",="0.50",
"臺灣高股息報酬指數","10,898.94","+","29.34",="0.27",
"臺灣就業99報酬指數","7,226.41","+","20.19",="0.28",
"臺灣高薪100報酬指數","6,091.16","+","23.30",="0.38",
"臺灣低波動高股息報酬指數","3,121.14","+","17.84",="0.57",
"未含金融電子股報酬指數","19,095.22","+","85.67",="0.45",
"小型股300報酬指數","6,177.08","+","20.12",="0.33",
"漲升股利150報酬指數","5,928.97","+","31.11",="0.53",
"漲升股利100報酬指數","5,905.11","+","38.43",="0.66",
"藍籌 30 報酬指數","5,272.32","+","18.79",="0.36",
"工業菁英 30 報酬指數","5,421.42","+","12.02",="0.22",
"電子菁英 30 報酬指數","5,496.91","+","18.48",="0.34",
"低波動精選 30 報酬指數","5,239.93","+","22.81",="0.44",
"低貝塔 100 報酬指數","5,291.99","+","20.32",="0.39",
"中小型精選50報酬指數","4,991.49","+","30.41",="0.61",
"中小型A級動能50報酬指數","5,326.67","+","49.47",="0.94",
"水泥類報酬指數","165.21","-",="0.82","-0.49",
"食品類報酬指數","1,778.39","-","3.99","-0.22",
"塑膠類報酬指數","340.19","+","3.05",="0.90",
"紡織纖維類報酬指數","621.72","-",="0.64","-0.10",
"電機機械類報酬指數","218.97","+","3.48","1.61",
"電器電纜類報酬指數","47.49","+",="0.16",="0.34",
"化學生技醫療類報酬指數","125.32","+",="0.41",="0.33",
"化學類報酬指數","132.09","+",="0.98",="0.75",
"生技醫療類報酬指數","81.29","-",="0.19","-0.23",
"玻璃陶瓷類報酬指數","39.67","-",="0.62","-1.54",
"造紙類報酬指數","250.13","-",="0.46","-0.18",
"鋼鐵類報酬指數","130.24","-",="0.92","-0.70",
"橡膠類報酬指數","401.34","+",="0.22",="0.05",
"汽車類報酬指數","340.45","+","2.88",="0.85",
"電子類報酬指數","633.30","+","3.92",="0.62",
"半導體類報酬指數","208.46","+","1.50",="0.72",
"電腦及週邊設備類報酬指數","163.57","+",="0.90",="0.55",
"光電類報酬指數","54.54","+",="0.43",="0.79",
"通信網路類報酬指數","208.94","+",="0.74",="0.36",
"電子零組件類報酬指數","133.85","+",="0.30",="0.22",
"電子通路類報酬指數","192.00","+",="0.27",="0.14",
"資訊服務類報酬指數","153.81","+","1.28",="0.84",
