

2016年06月15日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9975.96,+,36.17,0.36
發行量加權股價指數,8606.37,+,30.25,0.35
臺灣公司治理100指數,4813.54,+,16.97,0.35
臺灣50指數,6429.17,+,28.11,0.44
臺灣中型100指數,6044.99,-,0.64,-0.01
臺灣資訊科技指數,7709.1,+,36.05,0.47
臺灣發達指數,7360.92,+,24.86,0.34
臺灣高股息指數,5256.64,+,9.19,0.18
臺灣就業99指數,5182.71,+,9.6,0.19
臺灣高薪100指數,4730.01,+,19.16,0.41
臺灣低波動高股息指數,1290.32,+,3.31,0.26
未含金融保險股指數,7315.33,+,27.6,0.38
未含電子股指數,12123.17,+,44.62,0.37
未含金融電子股指數,10581.52,+,46.74,0.44
小型股300指數,5219.88,+,17.28,0.33
水泥窯製類指數,402.44,+,5.06,1.27
塑膠化工類指數,777.26,+,4.31,0.56
機電類指數,1951.94,+,6.37,0.33
水泥類指數,104.59,+,1.48,1.44
食品類指數,1485.76,+,26.15,1.79
塑膠類指數,223.04,+,1.49,0.67
紡織纖維類指數,471.15,+,2.25,0.48
電機機械類指數,152.7,+,0.15,0.1
電器電纜類指數,30.73,-,0.07,-0.23
化學生技醫療類指數,97.23,+,0.42,0.43
化學類指數,91.03,+,0.21,0.23
生技醫療類指數,74.31,+,0.48,0.65
玻璃陶瓷類指數,35.63,+,0.14,0.39
造紙類指數,154.74,+,0.75,0.49
鋼鐵類指數,82.86,-,0.15,-0.18
橡膠類指數,324.86,+,0.68,0.21
汽車類指數,229.3,+,0.2,0.09
電子類指數,346.8,+,1.17,0.34
半導體類指數,117.9,+,0.69,0.59
電腦及週邊設備類指數,92.15,-,0.22,-0.24
光電類指數,30.01,+,0.23,0.77
通信網路類指數,127.01,+,0.41,0.32
電子零組件類指數,74.24,-,0.14,-0.19
電子通路類指數,103.66,+,0.08,0.08
資訊服務類指數,79.65,+,0.08,0.1
其他電子類指數,78.59,+,0.1,0.13
建材營造類指數,244.28,+,0.34,0.14
航運類指數,60.8,-,0.1,-0.16
觀光類指數,113.1,+,0.25,0.22
金融保險類指數,954.77,+,1.69,0.18
貿易百貨類指數,208.74,-,0.25,-0.12
油電燃氣類指數,111.47,+,1.21,1.1
其他類指數,234.78,-,0.49,-0.21
臺指日報酬兩倍指數,10902.67,+,76.37,0.71
臺指日報酬反向一倍指數,9343.29,-,33.07,-0.35
電子類兩倍槓桿指數,8322.62,+,55.97,0.68
電子類反向指數,10410.21,-,35.36,-0.34
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10683.17,+,39.37,0.37
發行量加權股價報酬指數,13629.59,+,48.53,0.36
臺灣公司治理100報酬指數,5001.11,+,17.63,0.35
臺灣50報酬指數,10290.91,+,44.99,0.44
臺灣中型100報酬指數,9031.67,-,0.96,-0.01
臺灣資訊科技報酬指數,11726.47,+,54.83,0.47
臺灣發達報酬指數,10637.86,+,35.92,0.34
臺灣高股息報酬指數,9330.69,+,16.32,0.18
臺灣就業99報酬指數,6123.33,+,11.35,0.19
