

2016年08月16日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10529.56,-,38.65,-0.37
發行量加權股價指數,9110.36,-,38.15,-0.42
臺灣公司治理100指數,5103.12,-,31.02,-0.6
臺灣50指數,6839.44,-,46.06,-0.67
臺灣中型100指數,6410.07,-,14.2,-0.22
臺灣資訊科技指數,8254.63,-,93.78,-1.12
臺灣發達指數,7814.11,-,27.25,-0.35
臺灣高股息指數,5549.76,-,21.19,-0.38
臺灣就業99指數,5425.14,-,8.68,-0.16
臺灣高薪100指數,4995.54,-,15.41,-0.31
臺灣低波動高股息指數,1365.57,-,1.03,-0.08
未含金融保險股指數,7758.13,-,38.32,-0.49
未含電子股指數,12717.23,-,16.6,-0.13
未含金融電子股指數,11115.85,-,24.33,-0.22
小型股300指數,5421.77,+,4.47,0.08
漲升股利150指數,5281.43,-,25.01,-0.47
水泥窯製類指數,437.98,-,1.32,-0.3
塑膠化工類指數,802.87,-,3.44,-0.43
機電類指數,2082.83,-,13.38,-0.64
水泥類指數,115.62,-,0.22,-0.19
食品類指數,1480.44,-,8.68,-0.58
塑膠類指數,229.99,-,1.31,-0.57
紡織纖維類指數,508.96,+,0.64,0.13
電機機械類指數,163.12,-,0.05,-0.03
電器電纜類指數,34.76,-,0.41,-1.17
化學生技醫療類指數,101.17,+,0.45,0.45
化學類指數,95.66,+,0.14,0.15
生技醫療類指數,76.46,+,0.59,0.78
玻璃陶瓷類指數,35.48,-,0.31,-0.87
造紙類指數,156.07,-,0.37,-0.24
鋼鐵類指數,89.43,+,0.63,0.71
橡膠類指數,334.93,-,3.28,-0.97
汽車類指數,251.14,+,1.54,0.62
電子類指數,369.94,-,2.45,-0.66
半導體類指數,126.23,-,1.64,-1.28
電腦及週邊設備類指數,97.08,+,0.24,0.25
光電類指數,35.28,+,0.44,1.26
通信網路類指數,129.15,-,0.54,-0.42
電子零組件類指數,80.56,-,0.22,-0.27
電子通路類指數,109.44,-,0.84,-0.76
資訊服務類指數,79.04,+,0.05,0.06
其他電子類指數,82.46,-,0.72,-0.87
建材營造類指數,241.69,-,0.6,-0.25
航運類指數,60.16,-,0.17,-0.28
觀光類指數,118.84,+,0.03,0.03
金融保險類指數,997.86,+,1,0.1
貿易百貨類指數,221.55,+,0.03,0.01
油電燃氣類指數,124.06,-,0.59,-0.47
其他類指數,246.14,-,0.72,-0.29
臺指日報酬兩倍指數,12185.29,-,102.48,-0.83
臺指日報酬反向一倍指數,8803.68,+,36.56,0.42
電子類兩倍槓桿指數,9437.06,-,125.83,-1.32
電子類反向指數,9724.9,+,63.56,0.66
