

2015年10月19日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9967.95,+,28.22,0.28
發行量加權股價指數,8631.5,+,26.55,0.31
臺灣公司治理100指數,4749.11,+,21.01,0.44
臺灣50指數,6373.54,+,14.01,0.22
臺灣中型100指數,6336.62,+,20.99,0.33
臺灣資訊科技指數,7046.46,+,10.76,0.15
臺灣發達指數,7648.13,+,4.48,0.06
臺灣高股息指數,5057.97,-,5.96,-0.12
臺灣就業99指數,5308.44,+,21.94,0.42
臺灣高薪100指數,4799.2,+,22.06,0.46
臺灣低波動高股息指數,1324.69,+,6.38,0.48
未含金融保險股指數,7207.53,+,14.77,0.21
未含電子股指數,12808.55,+,99.32,0.78
未含金融電子股指數,10908.03,+,78.11,0.72
小型股300指數,--,,--,--
水泥窯製類指數,477.42,+,5.34,1.13
塑膠化工類指數,773.56,+,7.11,0.93
機電類指數,1869.98,-,1.4,-0.07
水泥類指數,128.27,+,1.53,1.21
食品類指數,1333.13,-,1.81,-0.14
塑膠類指數,222.65,+,1.99,0.9
紡織纖維類指數,591.34,+,1.93,0.33
電機機械類指數,148.81,+,2.16,1.47
電器電纜類指數,30.06,+,0.11,0.37
化學生技醫療類指數,98.71,+,0.84,0.86
化學類指數,94.18,+,0.57,0.61
生技醫療類指數,73.64,+,0.84,1.15
玻璃陶瓷類指數,34.43,+,0.22,0.64
造紙類指數,155.54,-,0.49,-0.31
鋼鐵類指數,82.81,+,0.35,0.42
橡膠類指數,308.55,+,3.48,1.14
汽車類指數,282.82,-,2.08,-0.73
電子類指數,332.02,-,0.44,-0.13
半導體類指數,106.32,+,0.11,0.1
電腦及週邊設備類指數,90.3,-,0.11,-0.12
光電類指數,30.9,-,0.48,-1.53
通信網路類指數,113.25,+,0.67,0.6
電子零組件類指數,78.07,-,0.23,-0.29
電子通路類指數,97.52,+,0.11,0.11
資訊服務類指數,88.26,+,0.02,0.02
其他電子類指數,86.09,-,0.52,-0.6
建材營造類指數,244.2,+,1.29,0.53
航運類指數,72.16,+,0.61,0.85
觀光類指數,115.07,-,0.01,-0.01
金融保險類指數,1070.85,+,9.79,0.92
貿易百貨類指數,207.7,+,1.81,0.88
油電燃氣類指數,104.46,+,1.31,1.27
其他類指數,256.04,+,2.21,0.87
臺指日報酬兩倍指數,11105.7,+,68.11,0.62
臺指日報酬反向一倍指數,9434.34,-,29.2,-0.31
電子類兩倍槓桿指數,7743.33,-,20.55,-0.26
電子類反向指數,11037.97,+,14.59,0.13
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10669.22,+,30.2,0.28
發行量加權股價報酬指數,13662.48,+,42.01,0.31
臺灣公司治理100報酬指數,4931.84,+,21.83,0.44
臺灣50報酬指數,10196.35,+,22.41,0.22
臺灣中型100報酬指數,9466.26,+,31.36,0.33
臺灣資訊科技報酬指數,10718.52,+,16.37,0.15
臺灣發達報酬指數,11052.39,+,6.47,0.06
臺灣高股息報酬指數,8960.35,-,10.56,-0.12
臺灣就業99報酬指數,6268.3,+,25.91,0.42
臺灣高薪100報酬指數,5045.47,+,23.18,0.46
