"106年06月16日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,653.00","+","74.94","0.65",
"發行量加權股價指數","10,156.73","+","68.38","0.68",
"臺灣公司治理100指數","5,720.21","+","36.40","0.64",
"臺灣50指數","7,734.02","+","59.67","0.78",
"臺灣中型100指數","7,053.16","+","47.32","0.68",
"臺灣資訊科技指數","9,526.04","+","117.99","1.25",
"臺灣發達指數","8,646.19","+","48.48","0.56",
"臺灣高股息指數","5,904.60","+","22.42","0.38",
"臺灣就業99指數","5,907.07","+","10.80","0.18",
"臺灣高薪100指數","5,613.28","+","20.43","0.37",
"臺灣低波動高股息指數","1,460.54","+","4.15","0.28",
"未含金融保險股指數","8,658.11","+","66.65","0.78",
"未含電子股指數","13,552.74","+","13.99","0.10",
"未含金融電子股指數","11,670.87","+","16.79","0.14",
"小型股300指數","6,005.12","+","48.99","0.82",
"漲升股利150指數","5,823.77","+","27.74","0.48",
"漲升股利100指數","5,810.97","+","27.23","0.47",
"藍籌30指數","5,357.91","+","17.76","0.33",
"工業菁英30指數","5,639.16","+","37.13","0.66",
"電子菁英30指數","5,695.76","+","38.12","0.67",
"低波動精選30指數","5,268.91","+","18.03","0.34",
"低貝塔100指數","5,357.77","+","5.28","0.10",
"中小型精選50指數","5,081.56","+","12.87","0.25",
"中小型A級動能50指數","5,490.76","+","62.36","1.15",
"藍籌30反向一倍指數","9,297.66","-","31.02","-0.33",
"水泥窯製類指數","422.91","-","3.20","-0.75",
"塑膠化工類指數","848.18","-","1.00","-0.12",
"機電類指數","2,403.70","+","26.72","1.12",
"水泥類指數","109.21","-","1.24","-1.12",
"食品類指數","1,494.76","+","5.32","0.36",
"塑膠類指數","256.23","-","0.64","-0.25",
"紡織纖維類指數","483.37","+","1.03","0.21",
"電機機械類指數","173.08","+","1.56","0.91",
"電器電纜類指數","41.54","+","0.24","0.58",
"化學生技醫療類指數","96.75","+","0.24","0.25",
"化學類指數","98.94","+","0.31","0.31",
"生技醫療類指數","66.40","+","0.10","0.15",
"玻璃陶瓷類指數","38.21","+","0.41","1.08",
"造紙類指數","225.24","+","1.07","0.48",
"鋼鐵類指數","98.56","-","0.12","-0.12",
"橡膠類指數","311.65","+","0.20","0.06",
"汽車類指數","273.83","+","1.22","0.45",
"電子類指數","428.11","+","4.80","1.13",
"半導體類指數","148.93","+","2.05","1.40",
"電腦及週邊設備類指數","104.92","+","0.36","0.34",
"光電類指數","43.64","+","0.55","1.28",
"通信網路類指數","126.38","+","0.04","0.03",
"電子零組件類指數","89.36","+","0.31","0.35",
"電子通路類指數","114.66","+","0.42","0.37",
"資訊服務類指數","90.63","+","1.22","1.36",
"其他電子類指數","108.63","+","2.28","2.14",
"建材營造類指數","263.49","+","1.33","0.51",
"航運類指數","62.61","-","0.02","-0.03",
"觀光類指數","123.81","+","1.62","1.33",
"金融保險類指數","1,104.56","+","0.01","--",
"貿易百貨類指數","225.94","+","0.40","0.18",
"油電燃氣類指數","134.21","-","0.03","-0.02",
"其他類指數","248.98","+","0.95","0.38",
"臺指日報酬兩倍指數","15,014.16","+","200.81","1.36",
"臺指日報酬反向一倍指數","7,828.44","-","53.42","-0.68",
"電子類兩倍槓桿指數","12,495.16","+","277.09","2.27",
"電子類反向指數","8,308.19","-","95.29","-1.13",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","12,981.67","+","83.56","0.65",
"發行量加權股價報酬指數","16,751.66","+","112.88","0.68",
"臺灣公司治理100報酬指數","6,201.86","+","39.47","0.64",
"臺灣50報酬指數","12,894.69","+","99.49","0.78",
"臺灣中型100報酬指數","10,955.16","+","73.49","0.68",
"臺灣資訊科技報酬指數","15,103.92","+","187.10","1.25",
"臺灣發達報酬指數","12,996.03","+","72.87","0.56",
"臺灣高股息報酬指數","11,062.13","+","42.00","0.38",
"臺灣就業99報酬指數","7,259.81","+","13.26","0.18",
"臺灣高薪100報酬指數","6,169.62","+","22.46","0.37",
"臺灣低波動高股息報酬指數","3,149.07","+","8.94","0.28",
"未含金融電子股報酬指數","19,293.30","+","27.76","0.14",
"小型股300報酬指數","6,277.45","+","51.21","0.82",
"漲升股利150報酬指數","6,017.86","+","28.66","0.48",
"漲升股利100報酬指數","5,994.91","+","28.10","0.47",
"藍籌 30 報酬指數","5,358.48","+","17.76","0.33",
"工業菁英 30 報酬指數","5,639.16","+","37.13","0.66",
"電子菁英 30 報酬指數","5,696.61","+","38.13","0.67",
"低波動精選 30 報酬指數","5,268.91","+","18.03","0.34",
"低貝塔 100 報酬指數","5,366.66","+","5.29","0.10",
"中小型精選50報酬指數","5,081.56","+","12.87","0.25",
"中小型A級動能50報酬指數","5,504.82","+","62.53","1.15",
"水泥類報酬指數","159.47","-","1.81","-1.12",
"食品類報酬指數","1,833.57","+","6.54","0.36",
"塑膠類報酬指數","342.22","-","0.85","-0.25",
"紡織纖維類報酬指數","633.25","+","1.35","0.21",
"電機機械類報酬指數","223.02","+","2.02","0.91",
"電器電纜類報酬指數","48.63","+","0.29","0.60",
"化學生技醫療類報酬指數","125.49","+","0.32","0.26",
"化學類報酬指數","132.56","+","0.42","0.32",
"生技醫療類報酬指數","81.16","+","0.13","0.16",
"玻璃陶瓷類報酬指數","41.27","+","0.43","1.05",
"造紙類報酬指數","279.89","+","1.33","0.48",
"鋼鐵類報酬指數","130.50","-","0.16","-0.12",
"橡膠類報酬指數","406.34","+","0.27","0.07",
"汽車類報酬指數","348.21","+","1.55","0.45",
"電子類報酬指數","649.03","+","7.28","1.13",
"半導體類報酬指數","215.85","+","2.98","1.40",
"電腦及週邊設備類報酬指數","167.53","+","0.59","0.35",
"光電類報酬指數","54.43","+","0.69","1.28",
"通信網路類報酬指數","211.03","+","0.08","0.04",
"電子零組件類報酬指數","134.22","+","0.47","0.35",
"電子通路類報酬指數","192.58","+","0.70","0.36",
"資訊服務類報酬指數","154.05","+","2.08","1.37",
"其他電子類報酬指數","137.12","+","2.89","2.15",
"建材營造類報酬指數","384.71","+","1.94","0.51",
"航運類報酬指數","77.86","-","0.02","-0.03",
"觀光類報酬指數","144.27","+","1.89","1.33",
"金融保險類報酬指數","1,491.44","+","0.02","--",
"貿易百貨類報酬指數","283.83","+","0.50","0.18",
"油電燃氣類報酬指數","168.81","-","0.04","-0.02",
"其他類報酬指數","342.52","+","1.31","0.38",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","91,444,866,819","2,176,033,583","678,909",
"2.台灣存託憑證","23,961,973","3,886,641","748",
"3.受益憑證","0","0","0",
"4.ETF","4,354,730,564","243,811,507","28,347",
"5.受益證券","4,296,770","304,000","59",
"6.變更交易股票","11,408,222","4,436,709","774",
"7.認購(售)權證","2,180,182,180","1,975,840,000","58,523",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","91,456,275,041","2,180,470,292","679,683",
"總計(1~12)","98,019,446,528","4,404,312,440","767,360",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","3,425(3)","547(3)",
"下跌(跌停)","2,269(29)","231(1)",
"持平","507","110",
"未成交","4,361","4",
"無比價","891","6",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
"無比價"含當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

"106年06月16日每日收盤行情(全部)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","4,233,093","711","327,234,575","76.90","77.70","76.85","77.70","+","0.80","77.60","49","77.70","742","0.00",
="0051","元大中型100","10,250","15","292,225","28.50","28.60","28.50","28.50","+","0.15","28.46","50","28.60","3","0.00",
="0052","富邦科技","3,000","3","142,910","47.37","47.77","47.37","47.77","+","0.84","47.46","1","47.81","5","0.00",
="0053","元大電子","12,000","11","406,160","33.52","33.93","33.52","33.93","+","0.41","33.93","50","34.00","1","0.00",
="0054","元大台商50","49,000","8","1,169,930","23.79","23.94","23.79","23.94","+","0.15","23.99","50","24.18","3","0.00",
="0055","元大MSCI金融","8,000","7","119,650","14.92","14.97","14.92","14.97","+","0.05","14.94","12","14.97","14","0.00",
="0056","元大高股息","1,857,755","376","46,447,332","24.97","25.05","24.94","25.05","+","0.07","25.03","44","25.05","74","0.00",
="0057","富邦摩台","3,000","3","136,730","45.53","45.67","45.53","45.67","+","0.12","45.83","20","46.02","20","0.00",
="0058","富邦發達","0","0","0","--","--","--","--"," ","0.00","43.71","10","43.80","1","0.00",
="0059","富邦金融","2,000","2","70,020","34.96","35.06","34.96","35.06","X","0.00","34.78","1","35.06","5","0.00",
="0061","元大寶滬深","3,545,000","589","56,283,710","15.80","15.91","15.78","15.89","+","0.09","15.89","89","15.90","40","0.00",
="006203","元大MSCI台灣","1,000","1","35,720","35.72","35.72","35.72","35.72","+","0.32","35.62","50","35.96","20","0.00",
="006204","永豐臺灣加權","1,000","1","50,100","50.10","50.10","50.10","50.10","-","0.05","50.30","15","50.35","1","0.00",
="006205","富邦上証","4,462,975","540","124,297,911","27.72","27.93","27.72","27.79","+","0.03","27.79","9","27.81","1","0.00",
="006206","元大上證50","449,200","124","12,209,317","27.10","27.23","27.04","27.22","+","0.10","27.20","1","27.23","3","0.00",
="006207","FH滬深","1,068,000","121","22,201,160","20.70","20.86","20.70","20.75","+","0.05","20.75","49","20.76","10","0.00",
="006208","富邦台50","24,132","26","1,100,547","45.60","45.63","45.59","45.61","X","0.00","45.53","1","45.66","10","0.00",
="00625K","富邦上証+R","50,000","2","311,500","6.23","6.23","6.23","6.23","+","0.05","6.24","30","6.31","10","0.00",
="00631L","元大台灣50正2","1,519,250","506","46,026,787","30.00","30.58","29.99","30.58","+","0.59","30.56","1","30.58","49","0.00",
="00632R","元大台灣50反1","56,536,749","4,619","822,807,668","14.61","14.62","14.50","14.51","-","0.09","14.51","831","14.52","11,120","0.00",
="00633L","富邦上証正2","22,975,100","3,556","850,843,810","36.81","37.29","36.81","36.89","+","0.10","36.88","258","36.89","8","0.00",
="00634R","富邦上証反1","680,000","95","5,689,620","8.31","8.41","8.31","8.41","+","0.04","8.41","55","8.42","28","0.00",
="00635U","元大S&P黃金","1,397,097","247","27,562,581","19.77","19.77","19.71","19.72","-","0.19","19.71","78","19.72","3","0.00",
="00636","國泰中國A50","1,000,000","157","17,146,200","17.14","17.18","17.05","17.13","-","0.01","17.12","4","17.13","49","0.00",
="00637L","元大滬深300正2","49,218,600","4,527","686,793,582","13.92","14.06","13.88","13.91","+","0.02","13.90","1,236","13.91","2,172","0.00",
="00638R","元大滬深300反1","49,000","14","839,440","17.18","17.18","17.08","17.08","-","0.10","17.08","50","17.12","10","0.00",
="00639","富邦深100","4,718,205","549","46,370,716","9.83","9.86","9.80","9.80","+","0.01","9.80","22","9.81","4","0.00",
="00640L","富邦日本正2","1,001,000","125","19,840,710","19.73","19.93","19.71","19.79","+","0.20","19.78","5","19.80","100","0.00",
="00641R","富邦日本反1","562,000","65","9,344,650","16.65","16.67","16.59","16.66","-","0.06","16.64","61","16.66","54","0.00",
="00642U","元大S&P石油","9,472,204","2,098","149,351,820","15.75","15.80","15.74","15.79","-","0.05","15.78","173","15.79","66","0.00",
="00643","群益深証中小","1,312,000","257","18,132,020","13.82","13.85","13.80","13.82","+","0.04","13.82","13","13.83","45","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","3.07","50","3.16","15","0.00",
="00645","富邦日本","98,350","22","2,018,783","20.44","20.57","20.44","20.49","+","0.13","20.49","10","20.51","51","0.00",
="00646","元大S&P500","63,850","58","1,399,483","21.85","22.00","21.85","22.00","+","0.13","21.99","100","22.00","5","0.00",
="00647L","元大S&P500正2","28,000","4","739,020","26.29","26.44","26.27","26.44","+","0.15","26.40","50","26.51","21","0.00",
="00648R","元大S&P500反1","251,000","83","3,912,720","15.60","15.60","15.58","15.59","-","0.01","15.59","4","15.60","123","0.00",
="00649","FH香港","125,000","6","2,288,570","18.24","18.32","18.24","18.32","+","0.08","18.32","1","18.33","12","0.00",
="00650L","FH香港正2","754,000","41","19,474,730","25.50","25.86","25.50","25.78","+","0.09","25.77","23","25.78","49","0.00",
="00651R","FH香港反1","110,000","14","1,126,320","10.15","10.32","10.15","10.24","-","0.02","10.24","53","10.25","1","0.00",
="00652","富邦印度","146,282","34","3,211,550","22.00","22.00","21.93","21.99","+","0.03","21.95","1","21.96","43","0.00",
="00653L","富邦印度正2","661,000","88","17,188,000","25.96","26.09","25.91","26.04"," ","0.00","26.03","3","26.05","157","0.00",
="00654R","富邦印度反1","105,000","13","1,715,740","16.38","16.38","16.32","16.35","+","0.02","16.34","133","16.35","2","0.00",
="00655L","國泰中國A50正2","1,479,000","313","39,886,790","26.90","27.18","26.83","26.83","-","0.04","26.83","179","26.84","4","0.00",
="00656R","國泰中國A50反1","0","0","0","--","--","--","--"," ","0.00","15.80","100","15.82","2","0.00",
="00657","國泰日經225","53,000","5","1,285,140","24.14","24.25","24.14","24.25","+","0.20","24.20","50","24.24","10","0.00",
="00658L","國泰日本正2","324,000","23","9,427,460","28.94","29.17","28.94","29.11","+","0.46","29.07","50","29.13","30","0.00",
="00659R","國泰日本反1","79,000","22","1,188,910","15.09","15.09","15.03","15.06","-","0.11","15.05","53","15.06","1","0.00",
="00660","元大歐洲50","34,000","15","844,150","24.82","24.85","24.82","24.83","-","0.05","24.82","2","24.83","49","0.00",
="00661","元大日經225","0","0","0","--","--","--","--"," ","0.00","24.94","50","25.15","50","0.00",
="00662","富邦NASDAQ","57,367","18","1,381,976","23.92","24.14","23.92","24.14","+","0.22","24.10","3","24.15","64","0.00",
="00663L","國泰臺灣加權正2","139,000","30","3,847,810","27.45","27.90","27.45","27.90","+","0.50","27.86","300","27.88","200","0.00",
="00664R","國泰臺灣加權反1","6,572,000","269","108,493,750","16.55","16.57","16.45","16.47","-","0.08","16.47","137","16.48","59","0.00",
="00665L","富邦H股正2","358,000","86","8,953,570","24.75","25.11","24.75","24.96","+","0.14","24.93","102","24.96","48","0.00",
="00666R","富邦H股反1","481,000","27","7,817,480","16.20","16.29","16.20","16.29","+","0.03","16.26","50","16.33","55","0.00",
="00667","元大韓國","15,000","13","328,010","21.99","22.01","21.60","22.00","+","0.01","21.80","1","22.00","10","0.00",
="00668","國泰美國道瓊","169,000","16","3,807,790","22.44","22.59","22.44","22.55","+","0.12","22.56","100","22.62","80","0.00",
="00669R","國泰美國道瓊反1","483,000","111","7,974,670","16.52","16.54","16.50","16.50","-","0.06","16.49","92","16.51","18","0.00",
="00670L","富邦NASDAQ正2","616,000","130","14,133,930","22.91","23.00","22.87","22.95","+","0.15","22.93","100","22.96","50","0.00",
="00671R","富邦NASDAQ反1","779,000","49","14,306,440","18.40","18.40","18.34","18.35","-","0.05","18.35","220","18.36","6","0.00",
="00672L","元大S&P原油正2","37,479,200","5,313","456,080,190","12.15","12.21","12.13","12.21","-","0.11","12.20","697","12.21","1,656","0.00",
="00673R","元大S&P原油反1","1,507,000","136","34,588,530","22.97","22.98","22.93","22.94","+","0.09","22.94","7","22.96","127","0.00",
="00674R","元大S&P黃金反1","288,000","66","5,761,560","19.97","20.04","19.97","20.04","+","0.21","20.03","10","20.04","50","0.00",
="00675L","富邦臺灣加權正2","1,929,000","159","23,140,390","11.92","12.12","11.90","12.10","+","0.19","12.09","13","12.10","542","0.00",
="00676R","富邦臺灣加權反1","6,100,000","304","54,579,500","8.98","8.98","8.91","8.92","-","0.06","8.92","368","8.93","349","0.00",
="00677U","富邦VIX","7,728,000","728","78,678,580","10.18","10.21","10.13","10.16","-","0.07","10.16","259","10.18","150","0.00",
="00678","群益NBI生技","108,000","27","2,138,870","19.84","19.85","19.71","19.85","+","0.01","19.85","24","19.86","1","0.00",
="00680L","元大美債20正2","24,000","7","506,790","21.16","21.16","21.09","21.14","-","0.14","21.08","25","21.15","50","0.00",
="00681R","元大美債20反1","10,000","1","188,800","18.88","18.88","18.88","18.88","+","0.14","18.82","50","18.88","150","0.00",
="00682U","元大美元指數","45,000","22","859,150","19.06","19.10","19.06","19.10","+","0.14","19.09","1","19.10","18","0.00",
="00683L","元大美元指數正2","222,000","90","4,091,990","18.40","18.50","18.40","18.50","+","0.28","18.50","19","18.51","51","0.00",
="00684R","元大美元指數反1","2,000","2","41,160","20.58","20.58","20.58","20.58","-","0.14","20.53","100","20.58","100","0.00",
="00685L","群益臺灣加權正2","558,000","35","5,872,760","10.45","10.61","10.43","10.61","+","0.19","10.60","50","10.61","200","0.00",
="00686R","群益臺灣加權反1","3,382,000","83","32,872,880","9.76","9.78","9.68","9.68","-","0.08","9.68","499","9.69","34","0.00",
="00688L","國泰20年美債正2","20,000","4","425,950","21.30","21.30","21.29","21.30","-","0.20","21.29","150","21.32","100","0.00",
="00689R","國泰20年美債反1","211,000","8","4,023,700","19.07","19.08","19.04","19.05","+","0.08","19.06","10","19.07","50","0.00",
="00690","兆豐藍籌30","1,213,000","189","24,605,650","20.21","20.34","20.20","20.33","+","0.13","20.32","14","20.34","39","0.00",
="00691R","兆豐藍籌30反1","12,000","12","232,590","19.43","19.43","19.33","19.33","-","0.17","19.30","81","19.35","80","0.00",
="00692","富邦公司治理","1,528,148","211","30,648,402","20.01","20.12","20.00","20.12","+","0.12","20.11","10","20.12","258","0.00",
="00693U","華頓S&P黃豆","1,243,500","103","24,282,390","19.46","19.57","19.46","19.48","+","0.18","19.49","100","19.51","153","0.00",
="008201","BP上證50","200","2","17,000","85.00","85.00","85.00","85.00","+","0.50","84.60","12","85.20","2","0.00",
="01001T","土銀富邦R1","5,000","1","69,300","13.86","13.86","13.86","13.86","-","0.04","13.86","7","13.90","6","0.00",
="01002T","土銀國泰R1","81,000","17","1,158,040","14.30","14.30","14.29","14.30"," ","0.00","14.29","1","14.30","7","0.00",
="01003T","兆豐新光R1","218,000","41","3,069,430","14.08","14.10","14.07","14.08"," ","0.00","14.08","24","14.39","3","0.00",
="01004T","土銀富邦R2","0","0","0","--","--","--","--"," ","0.00","12.85","10","12.99","1","0.00",
="01007T","兆豐國泰R2","0","0","0","--","--","--","--"," ","0.00","14.19","15","14.25","41","0.00",
="03001P","臺股指永豐6A售02","5,000","1","2,250","0.45","0.45","0.45","0.45","-","0.05","0.43","30","0.44","30","0.00",
="03001X","元展01","0","0","0","--","--","--","--"," ","0.00","69.50","10","70.50","10","107.50",
="03002P","廣宇永豐6A售02","130,000","3","120,600","0.92","0.93","0.92","0.93","-","0.03","0.89","30","0.90","30","0.00",
="03003P","聯鈞永豐6A售02","224,000","6","138,860","0.62","0.62","0.61","0.61","-","0.02","0.59","30","0.60","30","0.00",
="03003X","元展03","0","0","0","--","--","--","--"," ","0.00","86.50","10","87.00","10","211.50",
="03004P","大同元大71售02","281,000","12","129,650","0.47","0.47","0.45","0.47"," ","0.00","0.45","100","0.46","100","0.00",
="03004X","元展04","0","0","0","--","--","--","--"," ","0.00","13.00","10","13.20","10","24.10",
="03005P","義隆元大6A售01","0","0","0","--","--","--","--"," ","0.00","0.58","100","0.59","100","0.00",
="03005X","元展05","2,000","1","28,200","14.10","14.10","14.10","14.10","X","0.00","15.00","10","15.20","10","24.60",
="03006P","聯發科元大6A售04","645,000","18","33,930","0.07","0.07","0.05","0.05","-","0.01","0.05","14","0.07","120","0.00",
="03006X","元展06","0","0","0","--","--","--","--"," ","0.00","25.70","15","26.00","10","46.35",
="03007P","鴻海元大6A售10","823,000","12","101,890","0.15","0.15","0.12","0.12","-","0.07","0.11","210","0.12","60","0.00",
