"106年06月29日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,936.24","+","29.01","0.24",
"發行量加權股價指數","10,421.65","+","31.10","0.30",
"臺灣公司治理100指數","5,887.64","+","21.89","0.37",
"臺灣50指數","7,977.33","+","40.49","0.51",
"臺灣中型100指數","7,241.25","+","8.85","0.12",
"臺灣資訊科技指數","9,622.79","+","54.21","0.57",
"臺灣發達指數","9,074.54","+","15.57","0.17",
"臺灣高股息指數","6,019.49","+","6.53","0.11",
"臺灣就業99指數","6,080.74","+","26.65","0.44",
"臺灣高薪100指數","5,822.86","+","29.57","0.51",
"臺灣低波動高股息指數","1,494.17","-","0.90","-0.06",
"未含金融保險股指數","8,872.53","+","18.47","0.21",
"未含電子股指數","13,920.45","+","34.18","0.25",
"未含金融電子股指數","11,949.66","-","3.24","-0.03",
"小型股300指數","6,066.01","-","11.61","-0.19",
"漲升股利150指數","6,017.04","+","16.55","0.28",
"漲升股利100指數","6,000.08","+","12.13","0.20",
"藍籌30指數","5,493.11","+","18.41","0.34",
"工業菁英30指數","5,797.99","+","18.30","0.32",
"電子菁英30指數","5,745.97","+","2.84","0.05",
"低波動精選30指數","5,571.92","+","31.73","0.57",
"低貝塔100指數","5,410.32","-","9.60","-0.18",
"中小型精選50指數","5,209.93","-","0.76","-0.01",
"中小型A級動能50指數","5,511.97","-","43.67","-0.79",
"藍籌30反向一倍指數","9,065.64","-","30.59","-0.34",
"水泥窯製類指數","435.13","+","0.08","0.02",
"塑膠化工類指數","880.43","+","0.75","0.09",
"機電類指數","2,464.20","+","7.94","0.32",
"水泥類指數","112.47","-","0.16","-0.14",
"食品類指數","1,540.07","-","12.39","-0.80",
"塑膠類指數","266.80","+","0.19","0.07",
"紡織纖維類指數","504.18","-","1.15","-0.23",
"電機機械類指數","176.92","-","0.41","-0.23",
"電器電纜類指數","42.70","+","0.22","0.52",
"化學生技醫療類指數","98.35","-","0.27","-0.27",
"化學類指數","99.98","+","0.13","0.13",
"生技醫療類指數","68.04","-","0.55","-0.80",
"玻璃陶瓷類指數","39.14","+","0.31","0.80",
"造紙類指數","219.62","-","0.45","-0.20",
"鋼鐵類指數","101.19","+","0.17","0.17",
