"106年06月22日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,920.28","+","59.07","0.50",
"發行量加權股價指數","10,399.06","+","49.34","0.48",
"臺灣公司治理100指數","5,876.81","+","30.46","0.52",
"臺灣50指數","7,956.33","+","47.02","0.59",
"臺灣中型100指數","7,195.78","+","37.62","0.53",
"臺灣資訊科技指數","9,797.19","+","73.05","0.75",
"臺灣發達指數","8,919.50","+","47.86","0.54",
"臺灣高股息指數","6,012.03","+","7.54","0.13",
"臺灣就業99指數","6,011.78","+","22.67","0.38",
"臺灣高薪100指數","5,751.47","+","22.16","0.39",
"臺灣低波動高股息指數","1,482.61","+","3.50","0.24",
"未含金融保險股指數","8,879.32","+","44.92","0.51",
"未含電子股指數","13,765.13","+","55.53","0.41",
"未含金融電子股指數","11,870.48","+","54.98","0.47",
"小型股300指數","6,070.95","+","2.52","0.04",
"漲升股利150指數","5,988.96","+","24.05","0.40",
"漲升股利100指數","5,986.27","+","26.99","0.45",
"藍籌30指數","5,492.17","+","41.88","0.77",
"工業菁英30指數","5,791.51","+","37.23","0.65",
"電子菁英30指數","5,831.11","+","41.17","0.71",
"低波動精選30指數","5,405.72","+","8.63","0.16",
"低貝塔100指數","5,420.75","+","16.04","0.30",
"中小型精選50指數","5,189.55","-","13.59","-0.26",
"中小型A級動能50指數","5,553.65","-","6.75","-0.12",
"藍籌30反向一倍指數","9,068.77","-","70.22","-0.77",
"水泥窯製類指數","433.51","+","0.92","0.21",
"塑膠化工類指數","861.57","+","3.01","0.35",
"機電類指數","2,475.14","+","13.04","0.53",
"水泥類指數","112.33","+","0.35","0.31",
"食品類指數","1,532.21","+","19.49","1.29",
"塑膠類指數","259.88","+","0.43","0.17",
"紡織纖維類指數","495.06","+","8.03","1.65",
"電機機械類指數","175.88","+","0.89","0.51",
"電器電纜類指數","41.95","+","0.06","0.14",
"化學生技醫療類指數","98.41","+","0.70","0.72",
"化學類指數","99.48","-","0.14","-0.14",
"生技醫療類指數","68.60","+","1.27","1.89",
"玻璃陶瓷類指數","38.53","-","0.10","-0.26",
"造紙類指數","224.50","+","0.83","0.37",
"鋼鐵類指數","99.70","+","0.01","0.01",
"橡膠類指數","318.61","+","2.64","0.84",
"汽車類指數","272.25","+","0.22","0.08",
"電子類指數","441.09","+","2.34","0.53",
"半導體類指數","153.23","+","1.41","0.93",
"電腦及週邊設備類指數","107.57","+","0.10","0.09",
"光電類指數","44.67","+","0.21","0.47",
"通信網路類指數","128.49","+","1.03","0.81",
"電子零組件類指數","91.61","+","0.45","0.49",
"電子通路類指數","115.27","-","0.16","-0.14",
"資訊服務類指數","90.08","-","0.85","-0.93",
"其他電子類指數","114.95","-","0.43","-0.37",
"建材營造類指數","266.90","-","0.29","-0.11",
"航運類指數","63.45","+","0.59","0.94",
"觀光類指數","125.50","-","0.61","-0.48",
"金融保險類指數","1,117.91","+","2.83","0.25",
"貿易百貨類指數","225.15","+","0.17","0.08",
"油電燃氣類指數","139.06","-","0.05","-0.04",
"其他類指數","253.78","+","2.85","1.14",
"臺指日報酬兩倍指數","15,736.58","+","148.62","0.95",
"臺指日報酬反向一倍指數","7,644.74","-","36.62","-0.48",
"電子類兩倍槓桿指數","13,260.23","+","139.95","1.07",
"電子類反向指數","8,061.16","-","43.22","-0.53",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","13,284.88","+","68.98","0.52",
"發行量加權股價報酬指數","17,158.41","+","85.34","0.50",
"臺灣公司治理100報酬指數","6,373.77","+","33.94","0.54",
"臺灣50報酬指數","13,266.23","+","78.40","0.59",
"臺灣中型100報酬指數","11,190.07","+","71.81","0.65",
"臺灣資訊科技報酬指數","15,540.59","+","120.51","0.78",
"臺灣發達報酬指數","13,409.11","+","74.20","0.56",
"臺灣高股息報酬指數","11,281.72","+","32.46","0.29",
"臺灣就業99報酬指數","7,389.52","+","28.87","0.39",
"臺灣高薪100報酬指數","6,325.05","+","25.67","0.41",
"臺灣低波動高股息報酬指數","3,199.67","+","7.57","0.24",
"未含金融電子股報酬指數","19,627.32","+","93.17","0.48",
"小型股300報酬指數","6,351.00","+","5.54","0.09",
"漲升股利150報酬指數","6,193.36","+","27.40","0.44",
"漲升股利100報酬指數","6,181.78","+","31.03","0.50",
"藍籌 30 報酬指數","5,492.76","+","41.89","0.77",
"工業菁英 30 報酬指數","5,791.51","+","37.23","0.65",
"電子菁英 30 報酬指數","5,831.98","+","41.19","0.71",
"低波動精選 30 報酬指數","5,405.72","+","8.63","0.16",
"低貝塔 100 報酬指數","5,432.27","+","18.60","0.34",
"中小型精選50報酬指數","5,207.18","+","4.04","0.08",
"中小型A級動能50報酬指數","5,577.92","+","3.29","0.06",
"水泥類報酬指數","164.02","+","0.51","0.31",
"食品類報酬指數","1,879.50","+","23.91","1.29",
"塑膠類報酬指數","347.09","+","0.57","0.16",
"紡織纖維類報酬指數","648.57","+","10.53","1.65",
"電機機械類報酬指數","226.62","+","1.14","0.51",
"電器電纜類報酬指數","49.10","+","0.07","0.14",
"化學生技醫療類報酬指數","127.79","+","1.07","0.84",
"化學類報酬指數","133.56","+","0.10","0.07",
"生技醫療類報酬指數","83.84","+","1.55","1.88",
"玻璃陶瓷類報酬指數","41.62","-","0.12","-0.29",
"造紙類報酬指數","278.97","+","1.03","0.37",
"鋼鐵類報酬指數","132.19","+","0.01","0.01",
"橡膠類報酬指數","415.42","+","3.45","0.84",
"汽車類報酬指數","346.21","+","0.29","0.08",
"電子類報酬指數","669.10","+","3.77","0.57",
"半導體類報酬指數","222.19","+","2.04","0.93",
"電腦及週邊設備類報酬指數","171.77","+","0.15","0.09",
"光電類報酬指數","55.72","+","0.26","0.47",
"通信網路類報酬指數","214.55","+","1.72","0.81",
"電子零組件類報酬指數","138.16","+","1.24","0.91",
"電子通路類報酬指數","193.61","-","0.26","-0.13",
"資訊服務類報酬指數","153.90","-","0.65","-0.42",
"其他電子類報酬指數","145.10","-","0.54","-0.37",
"建材營造類報酬指數","389.85","-","0.26","-0.07",
"航運類報酬指數","78.91","+","0.74","0.95",
"觀光類報酬指數","146.45","-","0.50","-0.34",
"金融保險類報酬指數","1,509.57","+","3.82","0.25",
"貿易百貨類報酬指數","282.91","+","0.28","0.10",
"油電燃氣類報酬指數","174.92","-","0.05","-0.03",
"其他類報酬指數","349.12","+","3.92","1.14",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","85,396,159,204","2,056,035,709","693,263",
"2.台灣存託憑證","78,841,524","7,534,453","1,870",
"3.受益憑證","0","0","0",
"4.ETF","9,984,572,229","525,959,922","72,182",
"5.受益證券","9,192,670","654,000","130",
"6.變更交易股票","12,388,627","6,912,652","954",
"7.認購(售)權證","2,488,124,940","2,141,826,000","65,460",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","85,408,547,831","2,062,948,361","694,217",
"總計(1~12)","97,969,279,194","4,738,922,736","833,859",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","2,954(4)","378(4)",
"下跌(跌停)","2,801(19)","393(0)",
"持平","600","109",
"未成交","4,314","6",
"無比價","876","11",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
"無比價"含當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

"106年06月22日每日收盤行情(全部)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","6,112,800","1,120","487,656,013","79.60","79.85","79.55","79.75","+","0.20","79.75","927","79.80","6,409","0.00",
="0051","元大中型100","977,034","35","28,288,439","28.90","29.08","28.90","29.08","+","0.18","29.03","100","29.08","2","0.00",
="0052","富邦科技","5,207","5","254,889","48.80","49.02","48.80","49.02","+","0.60","48.84","1","49.05","5","0.00",
="0053","元大電子","108,000","21","3,783,820","35.06","35.10","34.99","35.03","+","0.23","35.03","50","35.05","1","0.00",
="0054","元大台商50","34,000","18","846,810","24.82","24.95","24.82","24.94","+","0.14","24.94","50","24.98","1","0.00",
="0055","元大MSCI金融","69,000","19","1,042,660","15.13","15.14","15.10","15.14","+","0.01","15.12","202","15.14","4","0.00",
="0056","元大高股息","3,199,600","807","81,698,197","25.43","25.59","25.43","25.56","+","0.14","25.55","17","25.56","15","0.00",
="0057","富邦摩台","8,000","8","375,610","46.88","47.06","46.88","47.06","+","0.37","47.05","20","47.29","20","0.00",
="0058","富邦發達","4,000","2","179,060","44.66","44.80","44.66","44.80","+","0.29","44.77","11","45.09","10","0.00",
="0059","富邦金融","1,000","1","35,000","35.00","35.00","35.00","35.00"," ","0.00","35.02","1","35.30","1","0.00",
="0061","元大寶滬深","8,132,869","2,097","131,481,002","16.07","16.29","16.04","16.29","+","0.35","16.29","3","16.30","176","0.00",
="006203","元大MSCI台灣","35,000","2","1,286,440","36.75","36.94","36.75","36.94","+","0.19","36.65","50","36.99","20","0.00",
="006204","永豐臺灣加權","2,000","1","103,100","51.55","51.55","51.55","51.55","+","0.15","51.60","15","51.80","100","0.00",
="006205","富邦上証","8,090,794","1,672","229,168,778","28.06","28.61","28.06","28.61","+","0.80","28.61","11","28.62","54","0.00",
="006206","元大上證50","3,589,815","1,049","99,607,260","27.65","28.08","27.40","28.08","+","0.84","28.04","4","28.08","182","0.00",
="006207","FH滬深","4,965,000","649","104,915,870","20.92","21.31","20.92","21.31","+","0.50","21.31","1","21.32","5","0.00",
="006208","富邦台50","598","7","27,774","--","--","--","--"," ","0.00","46.83","1","46.94","10","0.00",
="00625K","富邦上証+R","52,000","4","332,320","6.39","6.43","6.39","6.39","+","0.13","6.47","30","6.54","10","0.00",
