"106年05月31日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,532.13","-","63.44","-0.55",
"發行量加權股價指數","10,040.72","-","61.23","-0.61",
"臺灣公司治理100指數","5,654.69","-","42.08","-0.74",
"臺灣50指數","7,603.30","-","79.15","-1.03",
"臺灣中型100指數","6,981.65","-","0.86","-0.01",
"臺灣資訊科技指數","9,207.70","-","118.38","-1.27",
"臺灣發達指數","8,619.62","-","37.68","-0.44",
"臺灣高股息指數","5,818.34","-","39.56","-0.68",
"臺灣就業99指數","5,883.50","-","34.27","-0.58",
"臺灣高薪100指數","5,554.64","-","40.19","-0.72",
"臺灣低波動高股息指數","1,454.07","-","2.90","-0.20",
"未含金融保險股指數","8,550.86","-","46.15","-0.54",
"未含電子股指數","13,587.80","-","22.99","-0.17",
"未含金融電子股指數","11,735.01","+","23.01","0.20",
"小型股300指數","5,964.47","-","11.88","-0.20",
"漲升股利150指數","5,779.44","-","27.50","-0.47",
"漲升股利100指數","5,759.32","-","28.44","-0.49",
"藍籌30指數","5,272.70","-","43.10","-0.81",
"工業菁英30指數","5,479.85","-","26.67","-0.48",
"電子菁英30指數","5,534.21","-","28.86","-0.52",
"低波動精選30指數","5,241.30","-","36.25","-0.69",
"低貝塔100指數","5,354.79","+","1.60","0.03",
"中小型精選50指數","5,048.26","+","0.40","0.01",
"中小型A級動能50指數","5,414.04","+","15.16","0.28",
"藍籌30反向一倍指數","9,450.13","+","76.00","0.81",
"水泥窯製類指數","436.99","-","1.81","-0.41",
"塑膠化工類指數","850.67","-","0.98","-0.12",
"機電類指數","2,350.12","-","21.83","-0.92",
"水泥類指數","113.90","-","0.32","-0.28",
"食品類指數","1,518.57","-","4.27","-0.28",
"塑膠類指數","256.96"," ","--","--",
"紡織纖維類指數","480.86","-","1.07","-0.22",
"電機機械類指數","169.75","+","0.52","0.31",
"電器電纜類指數","40.93","-","0.86","-2.06",
"化學生技醫療類指數","96.92","-","0.42","-0.43",
"化學類指數","99.20","-","0.10","-0.10",
"生技醫療類指數","66.43","-","0.60","-0.90",
"玻璃陶瓷類指數","37.71","-","0.41","-1.08",
"造紙類指數","205.99","-","0.80","-0.39",
"鋼鐵類指數","99.91","-","0.02","-0.02",
"橡膠類指數","313.32","-","0.86","-0.27",
"汽車類指數","283.23","+","2.89","1.03",
"電子類指數","418.51","-","4.04","-0.96",
"半導體類指數","143.90","-","1.96","-1.34",
"電腦及週邊設備類指數","103.92","-","0.11","-0.11",
"光電類指數","43.14","-","0.51","-1.17",
"通信網路類指數","125.71","+","0.20","0.16",
"電子零組件類指數","88.92","-","0.58","-0.65",
"電子通路類指數","115.69","-","0.96","-0.82",
"資訊服務類指數","91.49","-","0.66","-0.72",
"其他電子類指數","105.50","-","1.36","-1.27",
"建材營造類指數","261.92","-","0.31","-0.12",
"航運類指數","63.42","+","0.68","1.08",
