

2016年12月13日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10757.41,+,35.88,0.33
發行量加權股價指數,9382.14,+,32.2,0.34
臺灣公司治理100指數,5336.15,+,20.15,0.38
臺灣50指數,7109.85,+,22.21,0.31
臺灣中型100指數,6361.52,+,22.22,0.35
臺灣資訊科技指數,8440.25,+,24.64,0.29
臺灣發達指數,7969.67,+,14.17,0.18
臺灣高股息指數,5463.44,+,15.79,0.29
臺灣就業99指數,5661.05,+,22.17,0.39
臺灣高薪100指數,5275.22,+,21.8,0.41
臺灣低波動高股息指數,1369.63,+,1.78,0.13
未含金融保險股指數,7910.53,+,22.22,0.28
未含電子股指數,13401.93,+,58.27,0.44
未含金融電子股指數,11517.59,+,35.91,0.31
小型股300指數,5483.5,+,23.15,0.42
漲升股利150指數,5347.82,+,15,0.28
漲升股利100指數,5299.92,+,11.58,0.22
水泥窯製類指數,448.02,-,1.02,-0.23
塑膠化工類指數,878.37,-,1.16,-0.13
機電類指數,2098.97,+,5.15,0.25
水泥類指數,118.15,-,0.44,-0.37
食品類指數,1386.85,-,8.09,-0.58
塑膠類指數,265.94,-,0.81,-0.3
紡織纖維類指數,484.45,+,1.61,0.33
電機機械類指數,152.68,-,0.16,-0.1
電器電纜類指數,40.3,-,0.15,-0.37
化學生技醫療類指數,101.26,+,0.35,0.35
化學類指數,98.88,+,0.55,0.56
生技醫療類指數,73.71,+,0.07,0.1
玻璃陶瓷類指數,36.37,+,0.21,0.58
造紙類指數,162.29,-,0.95,-0.58
鋼鐵類指數,102.48,+,0.62,0.61
橡膠類指數,313.97,+,0.43,0.14
汽車類指數,252.65,+,0.73,0.29
電子類指數,373.49,+,0.98,0.26
半導體類指數,130.75,+,0.33,0.25
電腦及週邊設備類指數,95.65,+,0.08,0.08
光電類指數,35.19,+,0.07,0.2
通信網路類指數,119.44,-,0.26,-0.22
電子零組件類指數,78.15,+,0.05,0.06
電子通路類指數,107.85,+,0.28,0.26
資訊服務類指數,83.16,+,0.38,0.46
其他電子類指數,87.24,+,0.85,0.98
建材營造類指數,241.32,+,1.33,0.55
航運類指數,58.09,-,0.01,-0.02
觀光類指數,106.53,-,0.42,-0.39
金融保險類指數,1097.85,+,8.13,0.75
貿易百貨類指數,209.26,+,0.26,0.12
油電燃氣類指數,142.99,+,3.01,2.15
其他類指數,240.17,+,1.31,0.55
臺指日報酬兩倍指數,12850.94,+,87.91,0.69
臺指日報酬反向一倍指數,8500.95,-,29.38,-0.34
電子類兩倍槓桿指數,9547.92,+,49.97,0.53
電子類反向指數,9561.37,-,25.22,-0.26
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11978.88,+,39.95,0.33
發行量加權股價報酬指數,15468.31,+,53.09,0.34
臺灣公司治理100報酬指數,5784.59,+,21.84,0.38
臺灣50報酬指數,11854.02,+,37.02,0.31
臺灣中型100報酬指數,9866.15,+,34.47,0.35
臺灣資訊科技報酬指數,13381.23,+,39.07,0.29
臺灣發達報酬指數,11975.44,+,21.29,0.18
臺灣高股息報酬指數,10235.63,+,29.59,0.29
臺灣就業99報酬指數,6954.66,+,27.23,0.39
臺灣高薪100報酬指數,5797.55,+,23.96,0.41
臺灣低波動高股息報酬指數,2953.07,+,3.85,0.13
未含金融電子股報酬指數,19032.57,+,59.34,0.31
小型股300報酬指數,5727.11,+,24.18,0.42
漲升股利150報酬指數,5524.56,+,15.48,0.28
漲升股利100報酬指數,5466.63,+,11.95,0.22
水泥類報酬指數,172.52,-,0.65,-0.38
食品類報酬指數,1700.86,-,9.93,-0.58
塑膠類報酬指數,355.18,-,1.09,-0.31
紡織纖維類報酬指數,634.67,+,2.11,0.33
