

2015年11月09日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10007.25,-,68.76,-0.68
發行量加權股價指數,8642.48,-,51.09,-0.59
臺灣公司治理100指數,4733.81,-,9.21,-0.19
臺灣50指數,6372.89,-,6.88,-0.11
臺灣中型100指數,6356.97,-,79.81,-1.24
臺灣資訊科技指數,7148.66,+,15.83,0.22
臺灣發達指數,7569.73,-,67.18,-0.88
臺灣高股息指數,5061.9,-,83.51,-1.62
臺灣就業99指數,5323.85,-,23.28,-0.44
臺灣高薪100指數,4780.4,-,17.8,-0.37
臺灣低波動高股息指數,1312.8,-,9.63,-0.73
未含金融保險股指數,7216.97,-,49.95,-0.69
未含電子股指數,12695.37,-,90.08,-0.7
未含金融電子股指數,10765.23,-,109.89,-1.01
小型股300指數,--,,--,--
水泥窯製類指數,468.36,-,5.27,-1.11
塑膠化工類指數,759,-,10.23,-1.33
機電類指數,1889.9,-,9.61,-0.51
水泥類指數,124.44,-,1.16,-0.92
食品類指數,1309.59,+,2.34,0.18
塑膠類指數,216.16,-,2.41,-1.1
紡織纖維類指數,592.58,-,2.42,-0.41
電機機械類指數,150,-,1.66,-1.09
電器電纜類指數,30.4,-,0.47,-1.52
化學生技醫療類指數,99.98,-,2.5,-2.44
化學類指數,92.9,-,2.07,-2.18
生技醫療類指數,76.86,-,2.16,-2.73
玻璃陶瓷類指數,36.43,-,0.86,-2.31
造紙類指數,154.68,-,1.6,-1.02
鋼鐵類指數,79.12,-,0.59,-0.74
橡膠類指數,304.31,-,2.38,-0.78
汽車類指數,275.66,-,5.28,-1.88
電子類指數,335.58,-,1.62,-0.48
半導體類指數,109.1,+,0.57,0.53
電腦及週邊設備類指數,89.24,-,1.34,-1.48
光電類指數,31.67,-,0.95,-2.91
通信網路類指數,113.02,-,0.68,-0.6
電子零組件類指數,79.49,-,0.33,-0.41
電子通路類指數,98.02,-,0.35,-0.36
資訊服務類指數,90.37,-,1.1,-1.2
其他電子類指數,84.74,-,1.06,-1.24
建材營造類指數,245.72,-,1.41,-0.57
航運類指數,71.17,-,0.13,-0.18
觀光類指數,115.58,-,1.33,-1.14
金融保險類指數,1071.94,+,0.03,--
貿易百貨類指數,208.69,-,2.86,-1.35
油電燃氣類指數,100.52,-,1.97,-1.92
其他類指數,258.79,-,1.15,-0.44
臺指日報酬兩倍指數,11121.44,-,132.27,-1.18
臺指日報酬反向一倍指數,9411.74,+,54.99,0.59
電子類兩倍槓桿指數,7899.54,-,76.64,-0.96
電子類反向指數,10905.93,+,52.14,0.48
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10711.64,-,73.56,-0.68
發行量加權股價報酬指數,13680.33,-,80.81,-0.59
臺灣公司治理100報酬指數,4915.94,-,9.57,-0.19
臺灣50報酬指數,10195.32,-,11,-0.11
臺灣中型100報酬指數,9496.66,-,119.23,-1.24
臺灣資訊科技報酬指數,10873.97,+,24.07,0.22
臺灣發達報酬指數,10939.09,-,97.1,-0.88
臺灣高股息報酬指數,8967.3,-,147.94,-1.62
臺灣就業99報酬指數,6286.5,-,27.49,-0.44
臺灣高薪100報酬指數,5025.71,-,18.72,-0.37
臺灣低波動高股息報酬指數,2707.64,-,19.85,-0.73
未含金融電子股報酬指數,17122.39,-,174.78,-1.01
小型股300報酬指數,--,,--,--
水泥類報酬指數,175.07,-,1.64,-0.93
食品類報酬指數,1556.95,+,2.78,0.18
塑膠類報酬指數,275.85,-,3.07,-1.1
紡織纖維類報酬指數,748.16,-,3.06,-0.41
電機機械類報酬指數,186.91,-,2.06,-1.09
電器電纜類報酬指數,34.77,-,0.54,-1.53
化學生技醫療類報酬指數,125.45,-,3.14,-2.44
化學類報酬指數,119.72,-,2.66,-2.17
生技醫療類報酬指數,91.47,-,2.57,-2.73
玻璃陶瓷類報酬指數,39.13,-,0.93,-2.32
造紙類報酬指數,184.66,-,1.91,-1.02
鋼鐵類報酬指數,102.06,-,0.76,-0.74
橡膠類報酬指數,379.33,-,2.97,-0.78
汽車類報酬指數,336.21,-,6.45,-1.88
電子類報酬指數,487.79,-,2.35,-0.48
半導體類報酬指數,151.81,+,0.8,0.53
電腦及週邊設備類報酬指數,135.29,-,2.02,-1.47
光電類報酬指數,38.53,-,1.16,-2.92
通信網路類報酬指數,181.07,-,1.1,-0.6
電子零組件類報酬指數,114.3,-,0.48,-0.42
電子通路類報酬指數,154.6,-,0.55,-0.35
資訊服務類報酬指數,144.67,-,1.77,-1.21
其他電子類報酬指數,102.16,-,1.27,-1.23
建材營造類報酬指數,337.64,-,1.94,-0.57
航運類報酬指數,85.7,-,0.16,-0.19
觀光類報酬指數,131.17,-,1.5,-1.13
金融保險類報酬指數,1385.68,+,0.05,--
貿易百貨類報酬指數,253.75,-,3.48,-1.35
油電燃氣類報酬指數,120.85,-,2.37,-1.92
其他類報酬指數,343.81,-,1.52,-0.44
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","79921681056","1798308274","727902"
"2.台灣存託憑證","72286993","15956875","2351"
"3.受益憑證","0","0","0"
"4.ETF","13106484826","549738104","65122"
"5.受益證券","7193725","497360","70"
"6.變更交易股票","14134423","11354082","866"
"7.認購(售)權證","2522815280","2424897000","72893"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","79935815479","1809662356","728768"
"總計(1~12)","95644596303","4800751695","869204"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2084(4),155(4)
"下跌(跌停)",4503(51),640(3)
"持平",340,60
"未成交",4482,8
"無比價",848,5
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
2015年11月09日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","5532819","1721","353671966","64","64.35","63.6","63.65","-","0.45","63.65","44","63.7","7","0.00"
="0051  ","元大中型100     ","19000","17","506790","26.93","26.93","26.5","26.5","-","0.46","26.5","4","26.6","8","0.00"
="0052  ","FB科技          ","5000","5","192300","38.41","38.64","38.29","38.29","+","0.08","38.05","20","38.29","1","0.00"
="0053  ","元大電子        ","8000","8","221410","27.64","27.78","27.5","27.5","-","0.18","27.32","8","27.59","8","0.00"
="0054  ","元大台商50      ","5000","5","111550","22.37","22.37","22.18","22.18","-","0.3","22.13","1","22.29","1","0.00"
="0055  ","元大MSCI金融    ","208000","60","3071400","14.7","14.84","14.7","14.71","-","0.09","14.71","8","14.78","53","0.00"
="0056  ","元大高股息      ","2262911","1020","49178059","21.97","21.97","21.64","21.68","-","0.29","21.67","17","21.68","691","0.00"
="0057  ","FB摩台          ","8000","6","318400","39.68","39.89","39.64","39.64","-","0.23","39.51","50","39.61","58","0.00"
="0058  ","FB發達          ","6000","5","226590","37.82","37.89","37.53","37.53","-","0.29","37.32","10","37.58","10","0.00"
="0059  ","FB金融          ","4000","4","135500","33.93","33.93","33.74","33.74","-","0.03","33.47","20","33.79","26","0.00"
="0060  ","新台灣          ","7000","6","218890","31.46","31.46","31.11","31.11","-","0.2","31.1","2","31.32","8","0.00"
="0061  ","元大寶滬深      ","34491050","4133","644750587","18.45","18.83","18.44","18.8","+","0.33","18.79","8","18.8","350","0.00"
="006203","元大MSCI台灣    ","3000","3","94200","31.55","31.55","31.25","31.25","-","0.15","30.94","10","31.22","8","0.00"
="006204","永豐臺灣加權    ","2200","4","95025","43.3","43.3","43.09","43.09","-","0.39","43.03","15","43.17","15","0.00"
="006205","FB上証          ","18617335","3074","632104334","33.46","34.27","33.4","34.01","+","0.55","34.01","96","34.02","31","0.00"
="006206","元大上證50      ","14477900","1307","453891403","30.68","31.76","30.68","31.43","+","0.75","31.43","479","31.48","12","0.00"
="006207","FH滬深          ","7112050","1074","178019574","24.93","25.27","24.77","25.1","+","0.34","25.1","37","25.12","1","0.00"
="006208","FB台50          ","3000","3","109500","36.5","36.5","36.5","36.5","-","0.18","36.33","20","36.63","28","0.00"
="00631L","元大台灣50正2   ","7779000","1433","155004290","19.94","20.16","19.57","19.68","-","0.36","19.68","72","19.69","7","0.00"
="00632R","元大台灣50反1   ","20817770","3485","398857182","19.15","19.28","19","19.22","+","0.14","19.21","83","19.22","57","0.00"
="00633L","FB上証正2       ","156763097","21233","6002425244","36.69","39.36","36.69","38.74","+","1.94","38.71","1","38.74","755","0.00"
="00634R","FB上証反1       ","30619632","2830","309142516","10.26","10.29","10","10.09","-","0.2","10.09","98","10.1","121","0.00"
="00635U","元大S&P黃金     ","941330","236","17222578","18.32","18.33","18.25","18.31","-","0.22","18.31","18","18.33","21","0.00"
="00636 ","國泰中國A50     ","14949800","921","280470350","18.32","19.03","18.32","18.84","+","0.52","18.84","451","18.86","30","0.00"
="00637L","元大滬深300正2  ","169434360","17434","2380918509","13.47","14.47","13.47","14.21","+","0.75","14.2","587","14.21","1,230","0.00"
="00638R","元大滬深300反1  ","10036000","709","186172380","19","19","18.25","18.46","-","0.45","18.46","47","18.47","1","0.00"
="00639 ","FB深100         ","10783200","1214","128420970","11.83","12","11.78","11.95","+","0.15","11.95","2","11.96","20","0.00"
="00640L","FB日本正2       ","11684000","525","263225840","22.36","22.65","22.3","22.52","+","0.65","22.52","83","22.53","10","0.00"
="00641R","FB日本反1       ","6648000","681","123935960","18.71","18.71","18.59","18.62","-","0.3","18.62","13","18.63","108","0.00"
="00642U","元大S&P石油     ","4929000","982","95302700","19.35","19.41","19.29","19.4","-","0.15","19.39","18","19.4","42","0.00"
="00645 ","FB日本          ","21474000","736","437809790","20.26","20.52","20.24","20.44","+","0.36","20.44","215","20.45","1","0.00"
="0080  ","恒中國          ","1800","9","751120","418.5","418.5","408.1","418","+","10.5","408.5","1","417.95","1","0.00"
="0081  ","恒香港          ","0","0","0","--","--","--","--"," ","0","880","1","927","1","0.00"
="008201","BP上證50        ","104850","239","9907919","91.2","95.95","91.2","94.95","+","3.75","94.75","29","94.95","13","0.00"
="01001T","土銀富邦R1      ","13000","3","209040","16.1","16.1","16.07","16.07","+","0.13","15.95","5","16.07","23","0.00"
="01002T","土銀國泰R1      ","63290","18","1080889","17.1","17.1","17.01","17.01","+","0.01","17.01","22","17.07","6","0.00"
="01003T","兆豐新光R1      ","373000","30","5225260","14.01","14.06","14","14.01","+","0.01","14","56","14.01","1","0.00"
="01004T","土銀富邦R2      ","21000","6","260430","12.41","12.41","12.4","12.4","-","0.02","12.4","9","12.44","20","0.00"
="01007T","兆豐國泰R2      ","27070","13","418106","15.45","15.45","15.42","15.43","-","0.02","15.42","7","15.45","20","0.00"
"1101  ","台泥            ","3271922","1995","118591364","36.3","36.6","36","36.25","-","0.05","36.15","10","36.25","194","15.1"
"1102  ","亞泥            ","2321236","1323","78278985","33.9","34","33.6","33.65","-","0.6","33.65","161","33.7","38","13.25"
"1103  ","嘉泥            ","156931","80","1672010","10.7","10.75","10.6","10.65","-","0.05","10.6","24","10.65","66","0.00"
"1104  ","環泥            ","163350","104","3669387","22.7","22.85","22.3","22.3","-","0.35","22.3","4","22.35","1","10.42"
"1108  ","幸福            ","203010","73","2074602","10.3","10.35","10.15","10.15","-","0.15","10.15","62","10.25","10","8.75"
"1109  ","信大            ","43430","26","442949","10.25","10.25","10.15","10.25"," ","0","10.2","5","10.25","8","51.25"
"1110  ","東泥            ","6001","7","91615","15.1","15.4","15.1","15.2","-","0.2","15.1","6","15.25","1","89.41"
"1201  ","味全            ","4824539","296","92760637","20","20.1","19.75","19.8","-","0.15","19.8","4","19.85","20","0.00"
"1203  ","味王            ","58009","46","1268198","22","22","21.65","21.9"," ","0","21.8","7","21.9","8","16.47"
"1210  ","大成            ","725339","312","14451322","20","20.15","19.8","19.8","-","0.2","19.8","111","19.9","5","18.17"
"1213  ","大飲            ","25000","15","394800","16.05","16.05","15.6","15.9","-","0.15","15.65","1","15.9","2","36.14"
"1215  ","卜蜂            ","448193","222","9847749","22","22.25","21.8","21.9","-","0.1","21.85","20","22","19","7.88"
