

2017年02月14日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,11167.49,+,5.46,0.05
發行量加權股價指數,9718.78,+,8.46,0.09
臺灣公司治理100指數,5443.39,+,6.75,0.12
臺灣50指數,7297.07,+,1.33,0.02
臺灣中型100指數,6792.61,-,0.11,---
臺灣資訊科技指數,8649.96,+,1.34,0.02
臺灣發達指數,8367.49,-,1.72,-0.02
臺灣高股息指數,5753.74,+,12.25,0.21
臺灣就業99指數,5839.8,+,8.28,0.14
臺灣高薪100指數,5410.72,+,8.42,0.16
臺灣低波動高股息指數,1412.38,+,4.93,0.35
未含金融保險股指數,8230.79,+,6.19,0.08
未含電子股指數,13685.76,+,8.68,0.06
未含金融電子股指數,11829.69,+,2.76,0.02
小型股300指數,5875.85,+,3.46,0.06
漲升股利150指數,5580.39,+,6.66,0.12
漲升股利100指數,5525.39,+,4.95,0.09
藍籌30指數,5206.84,+,8.24,0.16
工業菁英30指數,5321.5,+,4.07,0.08
電子菁英30指數,5297.02,+,8.75,0.17
低波動精選30指數,5153.09,+,6.13,0.12
低貝塔100指數,5168.33,+,6.51,0.13
藍籌30反向一倍指數,9587.63,-,15.22,-0.16
水泥窯製類指數,460.65,-,0.76,-0.16
塑膠化工類指數,910.19,-,1.97,-0.22
機電類指數,2206.97,+,2.45,0.11
水泥類指數,120.58,-,0.34,-0.28
食品類指數,1387.9,-,11.28,-0.81
塑膠類指數,274.1,-,1.57,-0.57
紡織纖維類指數,493.61,+,1.33,0.27
電機機械類指數,169.41,-,0.12,-0.07
電器電纜類指數,45.11,+,0.75,1.69
化學生技醫療類指數,104.31,-,0.11,-0.11
化學類指數,105.47,-,0.15,-0.14
生技醫療類指數,72.7,-,0.03,-0.04
玻璃陶瓷類指數,38.9,+,0.18,0.46
造紙類指數,209.79,-,2.54,-1.2
鋼鐵類指數,104.4,+,0.56,0.54
橡膠類指數,337.94,+,5.24,1.57
汽車類指數,254.11,+,0.57,0.22
電子類指數,391.79,+,0.42,0.11
半導體類指數,133.86,-,0.01,-0.01
電腦及週邊設備類指數,101.83,+,0.36,0.35
光電類指數,40.99,-,0.03,-0.07
通信網路類指數,118.96,+,0.33,0.28
電子零組件類指數,85.39,+,0.28,0.33
電子通路類指數,112.82,+,0.84,0.75
資訊服務類指數,86.86,-,0.12,-0.14
其他電子類指數,93.8,+,0.05,0.05
建材營造類指數,255.38,-,0.59,-0.23
航運類指數,61.36,-,0.25,-0.41
觀光類指數,114.44,-,0.63,-0.55
金融保險類指數,1104.92,+,1.83,0.17
貿易百貨類指數,208.34,-,0.69,-0.33
油電燃氣類指數,136.51,+,1.78,1.32
其他類指數,247.26,-,0.37,-0.15
臺指日報酬兩倍指數,13775,+,23.96,0.17
臺指日報酬反向一倍指數,8197.7,-,7.15,-0.09
電子類兩倍槓桿指數,10495.55,+,22.48,0.21
電子類反向指數,9105.21,-,9.78,-0.11
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,12435.52,+,6.07,0.05
發行量加權股價報酬指數,16023.32,+,13.95,0.09
臺灣公司治理100報酬指數,5900.85,+,7.32,0.12
臺灣50報酬指數,12166.18,+,2.22,0.02
臺灣中型100報酬指數,10534.72,-,0.17,---
臺灣資訊科技報酬指數,13713.71,+,2.12,0.02
臺灣發達報酬指數,12573.21,-,2.59,-0.02
臺灣高股息報酬指數,10779.49,+,22.94,0.21
臺灣就業99報酬指數,7174.25,+,10.16,0.14
臺灣高薪100報酬指數,5946.47,+,9.25,0.16
臺灣低波動高股息報酬指數,3045.24,+,10.62,0.35
未含金融電子股報酬指數,19548.31,+,4.57,0.02
小型股300報酬指數,6136.88,+,3.62,0.06
漲升股利150報酬指數,5764.82,+,6.88,0.12
漲升股利100報酬指數,5699.18,+,5.1,0.09
藍籌 30 報酬指數,5206.84,+,8.24,0.16
工業菁英 30 報酬指數,5321.5,+,4.07,0.08
電子菁英 30 報酬指數,5297.02,+,8.75,0.17
低波動精選 30 報酬指數,5153.09,+,6.13,0.12
低貝塔 100 報酬指數,5168.33,+,6.51,0.13
水泥類報酬指數,176.07,-,0.5,-0.28
食品類報酬指數,1702.15,-,13.84,-0.81
塑膠類報酬指數,366.08,-,2.1,-0.57
紡織纖維類報酬指數,646.67,+,1.75,0.27
電機機械類報酬指數,217.91,-,0.16,-0.07
電器電纜類報酬指數,52.81,+,0.89,1.71
