"106年06月19日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,756.27","+","103.27","0.89",
"發行量加權股價指數","10,250.60","+","93.87","0.92",
"臺灣公司治理100指數","5,783.94","+","63.73","1.11",
"臺灣50指數","7,820.67","+","86.65","1.12",
"臺灣中型100指數","7,094.02","+","40.86","0.58",
"臺灣資訊科技指數","9,607.86","+","81.82","0.86",
"臺灣發達指數","8,764.57","+","118.38","1.37",
"臺灣高股息指數","5,952.90","+","48.30","0.82",
"臺灣就業99指數","5,946.44","+","39.37","0.67",
"臺灣高薪100指數","5,676.24","+","62.96","1.12",
"臺灣低波動高股息指數","1,471.60","+","11.06","0.76",
"未含金融保險股指數","8,742.68","+","84.57","0.98",
"未含電子股指數","13,623.40","+","70.66","0.52",
"未含金融電子股指數","11,730.02","+","59.15","0.51",
"小型股300指數","6,025.79","+","20.67","0.34",
"漲升股利150指數","5,894.43","+","70.66","1.21",
"漲升股利100指數","5,884.71","+","73.74","1.27",
"藍籌30指數","5,393.66","+","35.75","0.67",
"工業菁英30指數","5,684.03","+","44.87","0.80",
"電子菁英30指數","5,721.49","+","25.73","0.45",
"低波動精選30指數","5,344.91","+","76.00","1.44",
"低貝塔100指數","5,372.30","+","14.53","0.27",
"中小型精選50指數","5,119.10","+","37.54","0.74",
"中小型A級動能50指數","5,509.98","+","19.22","0.35",
"藍籌30反向一倍指數","9,235.62","-","62.04","-0.67",
"水泥窯製類指數","422.21","-","0.70","-0.17",
"塑膠化工類指數","855.48","+","7.30","0.86",
"機電類指數","2,432.81","+","29.11","1.21",
"水泥類指數","109.18","-","0.03","-0.03",
"食品類指數","1,495.27","+","0.51","0.03",
"塑膠類指數","258.89","+","2.66","1.04",
"紡織纖維類指數","483.52","+","0.15","0.03",
"電機機械類指數","173.90","+","0.82","0.47",
"電器電纜類指數","41.71","+","0.17","0.41",
"化學生技醫療類指數","97.25","+","0.50","0.52",
"化學類指數","99.23","+","0.29","0.29",
"生技醫療類指數","66.94","+","0.54","0.81",
"玻璃陶瓷類指數","37.88","-","0.33","-0.86",
"造紙類指數","222.42","-","2.82","-1.25",
"鋼鐵類指數","98.71","+","0.15","0.15",
"橡膠類指數","312.91","+","1.26","0.40",
"汽車類指數","273.41","-","0.42","-0.15",
"電子類指數","433.43","+","5.32","1.24",
"半導體類指數","150.08","+","1.15","0.77",
"電腦及週邊設備類指數","106.78","+","1.86","1.77",
"光電類指數","44.12","+","0.48","1.10",
"通信網路類指數","127.10","+","0.72","0.57",
"電子零組件類指數","89.87","+","0.51","0.57",
"電子通路類指數","115.16","+","0.50","0.44",
"資訊服務類指數","90.15","-","0.48","-0.53",
"其他電子類指數","112.28","+","3.65","3.36",
"建材營造類指數","264.87","+","1.38","0.52",
"航運類指數","62.37","-","0.24","-0.38",
"觀光類指數","125.25","+","1.44","1.16",
"金融保險類指數","1,110.72","+","6.16","0.56",
"貿易百貨類指數","225.57","-","0.37","-0.16",
"油電燃氣類指數","136.62","+","2.41","1.80",
"其他類指數","249.39","+","0.41","0.16",
"臺指日報酬兩倍指數","15,291.69","+","277.53","1.85",
"臺指日報酬反向一倍指數","7,756.09","-","72.35","-0.92",
"電子類兩倍槓桿指數","12,805.71","+","310.55","2.49",
"電子類反向指數","8,204.95","-","103.24","-1.24",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","13,096.76","+","115.09","0.89",
"發行量加權股價報酬指數","16,906.48","+","154.82","0.92",
"臺灣公司治理100報酬指數","6,270.95","+","69.09","1.11",
"臺灣50報酬指數","13,039.16","+","144.47","1.12",
"臺灣中型100報酬指數","11,018.64","+","63.48","0.58",
"臺灣資訊科技報酬指數","15,233.64","+","129.72","0.86",
"臺灣發達報酬指數","13,173.97","+","177.94","1.37",
"臺灣高股息報酬指數","11,152.61","+","90.48","0.82",
"臺灣就業99報酬指數","7,308.19","+","48.38","0.67",
"臺灣高薪100報酬指數","6,238.82","+","69.20","1.12",
"臺灣低波動高股息報酬指數","3,172.93","+","23.86","0.76",
"未含金融電子股報酬指數","19,391.09","+","97.79","0.51",
"小型股300報酬指數","6,299.06","+","21.61","0.34",
"漲升股利150報酬指數","6,090.88","+","73.02","1.21",
"漲升股利100報酬指數","6,070.98","+","76.07","1.27",
"藍籌 30 報酬指數","5,394.24","+","35.76","0.67",
"工業菁英 30 報酬指數","5,684.03","+","44.87","0.80",
"電子菁英 30 報酬指數","5,722.34","+","25.73","0.45",
"低波動精選 30 報酬指數","5,344.91","+","76.00","1.44",
"低貝塔 100 報酬指數","5,381.22","+","14.56","0.27",
"中小型精選50報酬指數","5,119.10","+","37.54","0.74",
"中小型A級動能50報酬指數","5,524.08","+","19.26","0.35",
"水泥類報酬指數","159.43","-","0.04","-0.03",
"食品類報酬指數","1,834.19","+","0.62","0.03",
"塑膠類報酬指數","345.77","+","3.55","1.04",
"紡織纖維類報酬指數","633.45","+","0.20","0.03",
"電機機械類報酬指數","224.07","+","1.05","0.47",
"電器電纜類報酬指數","48.83","+","0.20","0.41",
"化學生技醫療類報酬指數","126.13","+","0.64","0.51",
"化學類報酬指數","132.94","+","0.38","0.29",
"生技醫療類報酬指數","81.81","+","0.65","0.80",
"玻璃陶瓷類報酬指數","40.93","-","0.34","-0.82",
"造紙類報酬指數","276.39","-","3.50","-1.25",
"鋼鐵類報酬指數","130.69","+","0.19","0.15",
"橡膠類報酬指數","407.98","+","1.64","0.40",
"汽車類報酬指數","347.68","-","0.53","-0.15",
"電子類報酬指數","657.09","+","8.06","1.24",
"半導體類報酬指數","217.51","+","1.66","0.77",
"電腦及週邊設備類報酬指數","170.49","+","2.96","1.77",
"光電類報酬指數","55.03","+","0.60","1.10",
"通信網路類報酬指數","212.22","+","1.19","0.56",
"電子零組件類報酬指數","134.98","+","0.76","0.57",
"電子通路類報酬指數","193.42","+","0.84","0.44",
"資訊服務類報酬指數","153.23","-","0.82","-0.53",
"其他電子類報酬指數","141.72","+","4.60","3.35",
"建材營造類報酬指數","386.73","+","2.02","0.53",
"航運類報酬指數","77.57","-","0.29","-0.37",
"觀光類報酬指數","145.94","+","1.67","1.16",
"金融保險類報酬指數","1,499.75","+","8.31","0.56",
"貿易百貨類報酬指數","283.37","-","0.46","-0.16",
