

2016年08月01日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10504.71,+,108.12,1.04
發行量加權股價指數,9080.71,+,96.3,1.07
臺灣公司治理100指數,5093.02,+,61.21,1.22
臺灣50指數,6829.65,+,95.97,1.43
臺灣中型100指數,6447.05,+,36.86,0.58
臺灣資訊科技指數,8346.06,+,142.98,1.74
臺灣發達指數,7774.45,+,84.48,1.1
臺灣高股息指數,5611.47,+,22.75,0.41
臺灣就業99指數,5407.66,+,46.83,0.87
臺灣高薪100指數,4966.9,+,46.3,0.94
臺灣低波動高股息指數,1369.82,+,3.51,0.26
未含金融保險股指數,7748.42,+,87.82,1.15
未含電子股指數,12552.41,+,78.96,0.63
未含金融電子股指數,10989.22,+,72.43,0.66
小型股300指數,5417.51,+,31.76,0.59
漲升股利150指數,5279.95,+,62.38,1.2
水泥窯製類指數,431.71,+,1.36,0.32
塑膠化工類指數,792.47,+,5.63,0.72
機電類指數,2091.6,+,29.62,1.44
水泥類指數,113.49,+,0.47,0.42
食品類指數,1529.67,+,14.55,0.96
塑膠類指數,226.49,+,2.11,0.94
紡織纖維類指數,507.1,+,3.25,0.65
電機機械類指數,160.83,+,1.38,0.87
電器電纜類指數,34.51,+,1.69,5.15
化學生技醫療類指數,101.28,-,0.02,-0.02
化學類指數,94.39,-,0.23,-0.24
生技醫療類指數,77.79,+,0.17,0.22
玻璃陶瓷類指數,35.82,-,0.1,-0.28
造紙類指數,155.48,-,0.06,-0.04
鋼鐵類指數,88.1,+,0.86,0.99
橡膠類指數,327.62,+,2.45,0.75
汽車類指數,238.39,+,2.57,1.09
電子類指數,371.76,+,5.26,1.44
半導體類指數,127.05,+,2.67,2.15
電腦及週邊設備類指數,98.63,+,0.04,0.04
光電類指數,34.91,+,0.51,1.48
通信網路類指數,128.23,+,1.52,1.2
電子零組件類指數,79.94,+,0.89,1.13
電子通路類指數,110.21,-,1.12,-1.01
資訊服務類指數,78.74,-,0.46,-0.58
其他電子類指數,84.06,+,0.84,1.01
建材營造類指數,238.94,-,0.15,-0.06
航運類指數,60.98,+,0.44,0.73
觀光類指數,120.82,-,1.15,-0.94
金融保險類指數,980.84,+,5.39,0.55
貿易百貨類指數,224.08,+,1.21,0.54
油電燃氣類指數,116.41,+,0.7,0.6
其他類指數,248.17,+,0.88,0.36
臺指日報酬兩倍指數,12109.28,+,254.14,2.14
臺指日報酬反向一倍指數,8834.74,-,95.72,-1.07
電子類兩倍槓桿指數,9534.18,+,266.03,2.87
電子類反向指數,9681.35,-,140.97,-1.44
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11560.33,+,127.8,1.12
發行量加權股價報酬指數,14792.04,+,169.2,1.16
臺灣公司治理100報酬指數,5457.93,+,70.88,1.32
臺灣50報酬指數,11253.59,+,166.2,1.5
臺灣中型100報酬指數,9846.86,+,71.98,0.74
臺灣資訊科技報酬指數,13148.96,+,251.03,1.95
臺灣發達報酬指數,11495.57,+,126.53,1.11
臺灣高股息報酬指數,10282.78,+,86.29,0.85
臺灣就業99報酬指數,6560.97,+,61.5,0.95
臺灣高薪100報酬指數,5378.77,+,58.25,1.09
臺灣低波動高股息報酬指數,2904.77,+,19.93,0.69
未含金融電子股報酬指數,17994.05,+,124.57,0.7
小型股300報酬指數,5577.76,+,36.45,0.66
漲升股利150報酬指數,5365.12,+,63.39,1.2
水泥類報酬指數,163.44,+,0.68,0.42
食品類報酬指數,1828.54,+,17.39,0.96
塑膠類報酬指數,302.14,+,2.84,0.95
紡織纖維類報酬指數,659.76,+,4.22,0.64
電機機械類報酬指數,204.49,+,2.06,1.02
電器電纜類報酬指數,39.72,+,1.95,5.16
化學生技醫療類報酬指數,129.66,+,0.29,0.22
化學類報酬指數,124.78,+,0.3,0.24
生技醫療類報酬指數,93.89,+,0.2,0.21
玻璃陶瓷類報酬指數,38.57,-,0.11,-0.28
造紙類報酬指數,193.2,-,0.08,-0.04
鋼鐵類報酬指數,116.58,+,1.15,1
橡膠類報酬指數,421.64,+,3.15,0.75
汽車類報酬指數,299.15,+,3.22,1.09
電子類報酬指數,556.35,+,8.61,1.57
半導體類報酬指數,183.37,+,3.84,2.14
電腦及週邊設備類報酬指數,153.37,+,1.42,0.93
光電類報酬指數,43.08,+,0.63,1.48
通信網路類報酬指數,213.7,+,2.61,1.24
電子零組件類報酬指數,118.5,+,1.33,1.14
電子通路類報酬指數,179.84,+,1.3,0.73
資訊服務類報酬指數,131.71,-,0.77,-0.58
其他電子類報酬指數,101.71,+,1.02,1.01
建材營造類報酬指數,342.32,+,0.3,0.09
航運類報酬指數,75.39,+,0.55,0.73
