

2016年09月14日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","5624161","1162","386564787","68.5","69.05","68.45","68.45","-","0.4","68.45","99","68.5","205","0.00"
="0051  ","元大中型100     ","14020","9","366855","26.15","26.18","26.15","26.15","-","0.23","26.17","1","26.18","1","0.00"
="0052  ","富邦科技        ","4000","4","168630","42.11","42.21","42.11","42.16","-","0.43","41.83","10","42.25","2","0.00"
="0053  ","元大電子        ","3000","3","90020","30","30.02","30","30","+","0.1","29.41","3","29.99","3","0.00"
="0054  ","元大台商50      ","2000","2","43260","21.62","21.64","21.62","21.64","+","0.2","21.44","2","21.66","3","0.00"
="0055  ","元大MSCI金融    ","81050","34","1111722","13.75","13.75","13.7","13.72","-","0.08","13.71","1","13.74","1","0.00"
="0056  ","元大高股息      ","1570712","449","38234989","24.37","24.45","24.25","24.35","-","0.02","24.35","327","24.36","3","0.00"
="0057  ","富邦摩台        ","1000","1","40830","40.83","40.83","40.83","40.83","+","0.26","40.38","20","40.51","28","0.00"
="0058  ","富邦發達        ","1000","1","38630","38.63","38.63","38.63","38.63","-","0.27","38.4","10","38.68","10","0.00"
="0059  ","富邦金融        ","0","0","0","--","--","--","--"," ","0","31.8","1","32.01","1","0.00"
="0061  ","元大寶滬深      ","2121641","329","33907574","15.95","16.01","15.94","15.97","+","0.02","15.97","95","15.99","8","0.00"
="006203","元大MSCI台灣    ","1000","1","32020","32.02","32.02","32.02","32.02","-","0.07","31.5","1","--","0","0.00"
="006204","永豐臺灣加權    ","0","0","0","--","--","--","--"," ","0","45.45","15","45.87","50","0.00"
="006205","富邦上証        ","2758000","635","74200380","26.85","26.95","26.83","26.89"," ","0","26.89","1","26.9","28","0.00"
="006206","元大上證50      ","423194","84","10919603","25.81","25.88","25.75","25.77","-","0.05","25.77","92","25.79","5","0.00"
="006207","FH滬深          ","883000","116","17877790","20.18","20.3","20.15","20.24","+","0.03","20.24","61","20.25","1","0.00"
="006208","富邦台50        ","0","0","0","--","--","--","--"," ","0","38.91","1","39.3","1","0.00"
="00625K","富邦上証+R      ","390000","8","2246400","5.76","5.76","5.76","5.76","+","0.04","5.68","100","5.77","20","0.00"
="00631L","元大台灣50正2   ","6819225","1543","156464894","22.79","23.16","22.78","22.83","-","0.11","22.83","26","22.84","12","0.00"
="00632R","元大台灣50反1   ","71610742","7269","1220297309","17.1","17.1","16.96","17.06","+","0.03","17.06","2,893","17.07","1,369","0.00"
="00633L","富邦上証正2     ","15308217","2884","479580410","31.32","31.49","31.21","31.28","-","0.12","31.28","298","31.29","15","0.00"
="00634R","富邦上証反1     ","1623000","227","15820770","9.75","9.78","9.72","9.75","+","0.03","9.74","45","9.75","49","0.00"
="00635U","元大S&P黃金     ","562000","175","12048440","21.47","21.47","21.42","21.47","-","0.08","21.47","20","21.48","102","0.00"
="00636 ","國泰中國A50     ","911000","96","14614250","16.02","16.08","16","16.03","-","0.02","16.03","197","16.04","105","0.00"
="00637L","元大滬深300正2  ","34596171","3583","403843707","11.69","11.74","11.62","11.65","-","0.06","11.65","972","11.66","37","0.00"
="00638R","元大滬深300反1  ","496000","41","9180530","18.46","18.55","18.46","18.5","+","0.03","18.5","159","18.53","1","0.00"
="00639 ","富邦深100       ","2450000","358","24250830","9.85","9.94","9.85","9.9","+","0.01","9.9","22","9.91","76","0.00"
="00640L","富邦日本正2     ","2636000","394","35694990","13.48","13.63","13.45","13.53","-","0.1","13.52","11","13.53","399","0.00"
="00641R","富邦日本反1     ","1459000","142","30464780","20.91","20.94","20.82","20.89","+","0.11","20.89","370","20.91","51","0.00"
="00642U","元大S&P石油     ","8499305","1145","149848169","17.64","17.68","17.6","17.64","-","0.13","17.63","34","17.64","364","0.00"
="00643 ","群益深証中小    ","3953200","463","58985242","14.89","14.97","14.88","14.91","+","0.01","14.9","196","14.91","38","0.00"
="00643K","群益深証中小+R  ","101000","5","318150","3.15","3.15","3.15","3.15","-","0.03","--","0","--","0","0.00"
="00645 ","富邦日本        ","401000","26","6753920","16.8","16.86","16.8","16.8","-","0.07","16.8","3","16.81","51","0.00"
="00646 ","元大S&P500      ","76111","23","1527880","20.04","20.1","20.03","20.05","-","0.19","20.05","155","20.08","2","0.00"
="00647L","元大S&P500正2   ","118000","26","2478650","21.06","21.06","20.94","20.99","-","0.26","20.96","5","21","3","0.00"
="00648R","元大S&P500反1   ","4640000","717","85779050","18.51","18.52","18.45","18.5","+","0.15","18.49","54","18.5","181","0.00"
="00649 ","FH香港          ","31000","10","541550","17.48","17.55","17.4","17.42","-","0.16","17.42","2","17.48","20","0.00"
="00650L","FH香港正2       ","868000","253","18921610","21.99","22.05","21.7","21.84","-","0.39","21.84","37","21.85","9","0.00"
="00651R","FH香港反1       ","637000","89","7447810","11.78","11.78","11.64","11.68","+","0.06","11.68","229","11.69","36","0.00"
="00652 ","富邦印度        ","274000","51","5848190","21.35","21.38","21.29","21.32","-","0.13","21.31","52","21.33","13","0.00"
="00653L","富邦印度正2     ","787000","146","18816500","24.11","24.11","23.8","23.88","-","0.28","23.87","2","23.88","4","0.00"
="00654R","富邦印度反1     ","872000","109","15457770","17.75","17.77","17.7","17.75","+","0.13","17.74","83","17.75","2","0.00"
="00655L","國泰中國A50正2  ","2031000","215","44465510","21.88","22.01","21.81","21.88","-","0.19","21.88","190","21.91","300","0.00"
="00656R","國泰中國A50反1  ","394000","25","7188190","18.28","18.28","18.21","18.23","+","0.06","18.23","403","18.25","499","0.00"
="00657 ","國泰日經225     ","309000","23","6276820","20.28","20.36","20.28","20.28","-","0.1","20.25","228","20.28","125","0.00"
="00658L","國泰日本正2     ","1773000","111","36803920","20.63","20.84","20.61","20.61","-","0.27","20.61","501","20.64","195","0.00"
="00659R","國泰日本反1     ","835000","47","15691450","18.82","18.84","18.74","18.82","+","0.12","18.82","181","18.83","1","0.00"
="00660 ","元大歐洲50      ","90000","21","1852590","20.61","20.61","20.55","20.55","-","0.18","20.54","1","20.56","37","0.00"
="00661 ","元大日經225     ","400000","10","8409480","21.02","21.03","21.01","21.01","+","0.03","20.94","100","20.97","100","0.00"
="00662 ","富邦NASDAQ      ","179000","42","3714380","20.76","20.76","20.73","20.73","-","0.04","20.73","13","20.74","1","0.00"
="00663L","國泰臺灣加權正2 ","4690000","397","99518340","21.06","21.4","21.06","21.08","-","0.1","21.08","636","21.1","200","0.00"
="00664R","國泰臺灣加權反1 ","8964000","829","172986860","19.36","19.36","19.2","19.33","+","0.05","19.33","155","19.34","421","0.00"
="00665L","富邦H股正2      ","3242000","714","73035680","22.69","22.84","22.36","22.53","-","0.55","22.51","5","22.53","3","0.00"
