

2016年11月29日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10552.49,-,30.21,-0.29
發行量加權股價指數,9192.38,-,29.86,-0.32
臺灣公司治理100指數,5214.89,-,27.3,-0.52
臺灣50指數,6955.71,-,33.96,-0.49
臺灣中型100指數,6316.66,-,4.4,-0.07
臺灣資訊科技指數,8307.77,-,70.37,-0.84
臺灣發達指數,7828.77,+,12,0.15
臺灣高股息指數,5431.63,-,32.9,-0.6
臺灣就業99指數,5566.59,-,27.19,-0.49
臺灣高薪100指數,5149.35,-,21.44,-0.41
臺灣低波動高股息指數,1345.28,-,9.54,-0.7
未含金融保險股指數,7767.35,-,18.74,-0.24
未含電子股指數,13019.28,-,52.77,-0.4
未含金融電子股指數,11212.87,-,24.47,-0.22
小型股300指數,5391.17,+,9.3,0.17
漲升股利150指數,5250.38,-,14.35,-0.27
漲升股利100指數,5207.32,-,14.35,-0.27
水泥窯製類指數,437.58,-,1.5,-0.34
塑膠化工類指數,850.87,+,1.63,0.19
機電類指數,2071.56,-,4.98,-0.24
水泥類指數,114.61,-,0.83,-0.72
食品類指數,1384.52,-,4.19,-0.3
塑膠類指數,257.91,+,1.3,0.51
紡織纖維類指數,468.66,-,2.55,-0.54
電機機械類指數,148.68,-,0.33,-0.22
電器電纜類指數,41.28,+,0.9,2.23
化學生技醫療類指數,97.58,+,0.07,0.07
化學類指數,93.77,+,0.11,0.12
生技醫療類指數,72.4,+,0.02,0.03
玻璃陶瓷類指數,36.87,+,0.64,1.77
造紙類指數,157.69,-,0.39,-0.25
鋼鐵類指數,101.37,-,0.36,-0.35
橡膠類指數,304.54,-,4.17,-1.35
汽車類指數,246.53,-,0.97,-0.39
電子類指數,368.7,-,0.94,-0.25
半導體類指數,128.34,-,1.24,-0.96
電腦及週邊設備類指數,95.33,-,0.06,-0.06
光電類指數,34.37,+,0.2,0.59
通信網路類指數,121.91,+,0.08,0.07
電子零組件類指數,76.72,+,0.18,0.24
電子通路類指數,107.88,-,0.52,-0.48
資訊服務類指數,82.44,-,0.47,-0.57
其他電子類指數,85.2,+,0.86,1.02
建材營造類指數,237.57,+,1.37,0.58
航運類指數,60.24,+,0.22,0.37
觀光類指數,108.54,-,0.26,-0.24
金融保險類指數,1060.71,-,9.21,-0.86
貿易百貨類指數,213.06,-,0.38,-0.18
油電燃氣類指數,129.76,-,2.38,-1.8
其他類指數,235.91,-,0.02,-0.01
臺指日報酬兩倍指數,12341.1,-,80.44,-0.65
臺指日報酬反向一倍指數,8679.81,+,28.01,0.32
電子類兩倍槓桿指數,9309.68,-,47.59,-0.51
電子類反向指數,9690.9,+,24.58,0.25
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11750.7,-,33.63,-0.29
發行量加權股價報酬指數,15155.46,-,49.23,-0.32
臺灣公司治理100報酬指數,5653.14,-,29.6,-0.52
臺灣50報酬指數,11597.04,-,56.61,-0.49
臺灣中型100報酬指數,9796.57,-,6.83,-0.07
臺灣資訊科技報酬指數,13171.2,-,111.56,-0.84
臺灣發達報酬指數,11763.72,+,18.03,0.15
臺灣高股息報酬指數,10176.02,-,61.65,-0.6
臺灣就業99報酬指數,6838.61,-,33.4,-0.49
臺灣高薪100報酬指數,5659.22,-,23.56,-0.41
臺灣低波動高股息報酬指數,2900.56,-,20.58,-0.7
未含金融電子股報酬指數,18529.03,-,40.43,-0.22
小型股300報酬指數,5630.68,+,9.72,0.17
漲升股利150報酬指數,5423.91,-,14.82,-0.27
漲升股利100報酬指數,5371.12,-,14.79,-0.27
水泥類報酬指數,167.36,-,1.21,-0.72
食品類報酬指數,1698.01,-,5.13,-0.3
塑膠類報酬指數,344.45,+,1.73,0.5
紡織纖維類報酬指數,613.98,-,3.33,-0.54
電機機械類報酬指數,191.25,-,0.42,-0.22
電器電纜類報酬指數,48.33,+,1.06,2.24
化學生技醫療類報酬指數,126.51,+,0.09,0.07
化學類報酬指數,125.62,+,0.13,0.1
生技醫療類報酬指數,88.4,+,0.02,0.02
玻璃陶瓷類報酬指數,39.83,+,0.69,1.76
造紙類報酬指數,195.95,-,0.48,-0.24
鋼鐵類報酬指數,134.22,-,0.48,-0.36
橡膠類報酬指數,396,-,5.42,-1.35
汽車類報酬指數,313.5,-,1.24,-0.39
電子類報酬指數,558.76,-,1.43,-0.26
半導體類報酬指數,185.97,-,1.79,-0.95
電腦及週邊設備類報酬指數,152.14,-,0.1,-0.07
光電類報酬指數,42.83,+,0.24,0.56
通信網路類報酬指數,203.56,+,0.14,0.07
電子零組件類報酬指數,115.22,+,0.27,0.23
電子通路類報酬指數,180.17,-,0.87,-0.48
資訊服務類報酬指數,140.13,-,0.8,-0.57
其他電子類報酬指數,107.5,+,1.08,1.01
建材營造類報酬指數,346.87,+,2.01,0.58
航運類報酬指數,74.92,+,0.27,0.36
觀光類報酬指數,126.26,-,0.3,-0.24
金融保險類報酬指數,1431.58,-,12.43,-0.86
貿易百貨類報酬指數,267.01,-,0.47,-0.18
油電燃氣類報酬指數,163.22,-,2.99,-1.8
其他類報酬指數,324.52,-,0.02,-0.01
"成交統計","成交金額(元)","成交股數(股)","成交筆數"
"1.一般股票","66145508104","1924327467","673762"
"2.台灣存託憑證","15546947","2196305","446"
"3.受益憑證","0","0","0"
"4.ETF","7446338356","389777263","49325"
"5.受益證券","26817800","1906000","262"
"6.變更交易股票","210218512","68835105","7856"
"7.認購(售)權證","1866627260","1927609000","51632"
"8.轉換公司債","0","0","0"
"9.附認股權特別股","0","0","0"
"10.附認股權公司債","0","0","0"
"11.認股權憑證","0","0","0"
"12.公司債","0","0","0"
"證券合計(1+6)","66355726616","1993162572","681618"
"總計(1~12)","75711056979","4314651140","783283"
"漲跌證券數合計"
"類型","整體市場(元)","股票"
"上漲(漲停)",2555(8),405(7)
"下跌(跌停)",2858(13),346(0)
"持平",586,124
"未成交",3856,10
"無比價",844,0
"說明："
"1. 漲跌價差為當日收盤價與前一日收盤價比較。"
"2. 無比價含當日除權、除息、新上市、恢復交易者。"
"3. 外幣（含人民幣）成交值係以本公司當日下午3時30分公告人民幣兌新臺幣匯率4.621換算後加入成交金額。"
2016年11月29日
"每日收盤行情("全部(不含權證、牛熊證)")","","","","","","","","","","(元,股)","(元,交易單位)"
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比"
="0050  ","元大台灣50      ","1417871","452","101829278","71.9","72","71.65","71.65","-","0.1","71.65","14","71.7","10","0.00"
="0051  ","元大中型100     ","13000","12","333590","25.6","25.7","25.6","25.7","+","0.04","25.6","2","25.8","2","0.00"
="0052  ","富邦科技        ","5000","5","216360","43.48","43.48","43.1","43.18","+","0.17","42.88","1","43.27","10","0.00"
="0053  ","元大電子        ","16000","9","471630","29.35","29.66","29.35","29.59","+","0.24","29.33","1","29.66","10","0.00"
="0054  ","元大台商50      ","8000","5","168580","21.02","21.12","21.02","21.12","+","0.1","20.71","3","21.54","3","0.00"
="0055  ","元大MSCI金融    ","136000","45","1947520","14.32","14.38","14.11","14.32","-","0.07","14.29","2","14.32","8","0.00"
="0056  ","元大高股息      ","1023995","421","23838934","23.3","23.32","23.24","23.25","-","0.04","23.24","29","23.25","5","0.00"
="0057  ","富邦摩台        ","12000","6","506860","42.27","42.31","42.2","42.26","-","0.12","42.15","20","42.28","28","0.00"
="0058  ","富邦發達        ","3000","3","119970","39.99","39.99","39.99","39.99","+","0.45","39.73","10","39.99","1","0.00"
="0059  ","富邦金融        ","7000","6","240470","34.34","34.44","34.32","34.35","-","0.19","34.13","1","34.35","3","0.00"
="0061  ","元大寶滬深      ","16793135","2840","281365554","16.63","16.87","16.63","16.86","+","0.27","16.85","81","16.86","330","0.00"
="006203","元大MSCI台灣    ","1000","1","33290","33.29","33.29","33.29","33.29","+","0.28","32.6","1","--","0","0.00"
="006204","永豐臺灣加權    ","0","0","0","--","--","--","--"," ","0","45.6","1","45.88","25","0.00"
="006205","富邦上証        ","8236850","1124","235304309","28.45","28.7","28.34","28.66","+","0.22","28.66","6","28.67","69","0.00"
="006206","元大上證50      ","1969000","432","54526860","27.65","27.82","27.46","27.8","+","0.2","27.8","12","27.81","10","0.00"
="006207","FH滬深          ","2673000","602","57451260","21.41","21.58","21.32","21.52","+","0.14","21.52","103","21.53","66","0.00"
="006208","富邦台50        ","0","0","0","--","--","--","--"," ","0","40.79","1","41","1","0.00"
="00625K","富邦上証+R      ","100000","2","627000","6.27","6.27","6.27","6.27","-","0.01","6.25","50","6.32","50","0.00"
="00631L","元大台灣50正2   ","3154080","570","78716224","25","25.07","24.85","24.94","-","0.07","24.93","3","24.94","346","0.00"
="00632R","元大台灣50反1   ","28486113","3770","461691302","16.21","16.25","16.18","16.23","+","0.03","16.23","11","16.24","4,021","0.00"
="00633L","富邦上証正2     ","61157143","9661","2268060137","36.88","37.48","36.42","37.34","+","0.44","37.33","44","37.34","367","0.00"
="00634R","富邦上証反1     ","3010012","453","26844707","8.98","9","8.87","8.88","-","0.08","8.88","183","8.9","25","0.00"
="00635U","元大S&P黃金     ","1916000","576","36930210","19.34","19.34","19.23","19.27","-","0.07","19.27","13","19.28","62","0.00"
="00636 ","國泰中國A50     ","2137000","331","36599910","17.11","17.25","17","17.22","+","0.17","17.22","9","17.23","55","0.00"
="00637L","元大滬深300正2  ","149674207","14104","2075939808","13.79","14.03","13.64","13.99","+","0.19","13.98","1,310","13.99","1,057","0.00"
="00638R","元大滬深300反1  ","371060","74","6413973","17.41","17.41","17.2","17.23","-","0.18","17.21","12","17.25","100","0.00"
="00639 ","富邦深100       ","15404000","2321","161361150","10.43","10.54","10.38","10.54","+","0.14","10.53","133","10.54","184","0.00"
="00640L","富邦日本正2     ","1604203","184","26938025","16.75","16.83","16.75","16.83","+","0.07","16.82","5","16.83","177","0.00"
="00641R","富邦日本反1     ","833000","177","15506250","18.65","18.65","18.58","18.62","-","0.01","18.61","15","18.62","9","0.00"
="00642U","元大S&P石油     ","7217400","1376","128457355","17.78","17.83","17.74","17.78","+","0.11","17.78","30","17.79","472","0.00"
="00643 ","群益深証中小    ","12201265","2052","182738638","15.01","15.05","14.88","15.04","+","0.1","15.03","255","15.04","145","0.00"
="00643K","群益深証中小+R  ","100000","2","326000","3.26","3.26","3.26","3.26","-","0.01","3.23","50","3.28","50","0.00"
="00645 ","富邦日本        ","184000","44","3454430","18.76","18.81","18.75","18.75","+","0.03","18.75","108","18.76","8","0.00"
="00646 ","元大S&P500      ","37000","24","767690","20.84","20.84","20.72","20.72","-","0.13","20.71","30","20.72","2","0.00"
="00647L","元大S&P500正2   ","9000","7","200680","22.38","22.38","22.23","22.28","-","0.22","22.22","17","22.28","6","0.00"
="00648R","元大S&P500反1   ","1668000","203","29628580","17.75","17.78","17.75","17.78","+","0.06","17.78","59","17.79","209","0.00"
="00649 ","FH香港          ","211000","20","3630170","17.34","17.34","17.15","17.17","-","0.1","17.16","5","17.18","100","0.00"
="00650L","FH香港正2       ","1088000","228","22820090","21.12","21.12","20.81","20.98","-","0.17","20.96","5","20.98","1","0.00"
="00651R","FH香港反1       ","1008000","56","11855400","11.68","11.82","11.68","11.77","+","0.06","11.76","2","11.77","8","0.00"
="00652 ","富邦印度        ","562000","115","11027150","19.58","19.69","19.52","19.68","+","0.1","19.66","2","19.68","16","0.00"
="00653L","富邦印度正2     ","4787000","1016","95942070","19.89","20.22","19.79","20.18","+","0.28","20.18","96","20.19","16","0.00"
="00654R","富邦印度反1     ","443000","66","8396250","19.04","19.09","18.87","18.87","-","0.18","18.87","157","18.89","1","0.00"
="00655L","國泰中國A50正2  ","3616000","595","94146290","26.08","26.39","25.56","26.25","+","0.31","26.22","162","26.25","29","0.00"
="00656R","國泰中國A50反1  ","100000","19","1644820","16.57","16.6","16.38","16.38","-","0.19","16.42","1","16.43","204","0.00"
="00657 ","國泰日經225     ","69000","10","1534790","22.26","22.26","22.22","22.22","-","0.06","22.24","150","22.28","55","0.00"
="00658L","國泰日本正2     ","118000","24","2885330","24.46","24.52","24.39","24.46","-","0.06","24.46","99","24.49","50","0.00"
