

2016年06月28日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,9866.52,+,56.06,0.57
發行量加權股價指數,8505.51,+,46.64,0.55
臺灣公司治理100指數,4738.94,+,20.73,0.44
臺灣50指數,6306.41,+,36.83,0.59
臺灣中型100指數,6046.08,+,53.73,0.9
臺灣資訊科技指數,7535.01,+,76.31,1.02
臺灣發達指數,7321.31,+,24.14,0.33
臺灣高股息指數,5220.59,+,39.84,0.77
臺灣就業99指數,5121.03,+,28.5,0.56
臺灣高薪100指數,4657.25,+,20.58,0.44
臺灣低波動高股息指數,1291.29,+,8.52,0.66
未含金融保險股指數,7251.73,+,41.14,0.57
未含電子股指數,11967.2,+,26.8,0.22
未含金融電子股指數,10524.63,+,16.02,0.15
小型股300指數,5237.26,+,24.52,0.47
水泥窯製類指數,410.97,+,0.57,0.14
塑膠化工類指數,767.89,+,2.5,0.33
機電類指數,1933.33,+,15.98,0.83
水泥類指數,107.15,-,0.12,-0.11
食品類指數,1465.33,-,17.39,-1.17
塑膠類指數,219.16,+,0.66,0.3
紡織纖維類指數,465.49,+,6.15,1.34
電機機械類指數,156.27,+,1.45,0.94
電器電纜類指數,30.74,+,0.13,0.42
化學生技醫療類指數,97.61,+,0.69,0.71
化學類指數,91.82,+,0.45,0.49
生技醫療類指數,74.21,+,0.71,0.97
玻璃陶瓷類指數,35.75,+,0.55,1.56
造紙類指數,156.14,-,0.15,-0.1
鋼鐵類指數,81.68,-,0.19,-0.23
橡膠類指數,321.85,-,0.27,-0.08
汽車類指數,227.28,-,0.77,-0.34
電子類指數,343.08,+,2.83,0.83
半導體類指數,115.17,+,1.07,0.94
電腦及週邊設備類指數,91.15,+,0.56,0.62
光電類指數,29.9,+,0.63,2.15
通信網路類指數,127.01,+,1.19,0.95
電子零組件類指數,74.22,-,0.01,-0.01
電子通路類指數,102.58,-,0.05,-0.05
資訊服務類指數,80.12,+,0.6,0.75
其他電子類指數,79.37,+,0.36,0.46
建材營造類指數,244.46,+,1.29,0.53
航運類指數,59.95,-,0.58,-0.96
觀光類指數,112.89,-,0.03,-0.03
金融保險類指數,923.93,+,3.84,0.42
貿易百貨類指數,214.02,+,3.36,1.59
油電燃氣類指數,111.34,-,0.57,-0.51
其他類指數,231.23,+,0.51,0.22
臺指日報酬兩倍指數,10638.36,+,116.03,1.1
臺指日報酬反向一倍指數,9445.24,-,52.37,-0.55
電子類兩倍槓桿指數,8135.86,+,133.12,1.66
電子類反向指數,10511.62,-,88.16,-0.83
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,10658.19,+,62.21,0.59
發行量加權股價報酬指數,13596.83,+,75.88,0.56
臺灣公司治理100報酬指數,4989.88,+,21.83,0.44
臺灣50報酬指數,10238.02,+,59.78,0.59
臺灣中型100報酬指數,9062.84,+,80.53,0.9
臺灣資訊科技報酬指數,11756.06,+,119.06,1.02
臺灣發達報酬指數,10585.19,+,34.9,0.33
臺灣高股息報酬指數,9327.64,+,71.17,0.77
臺灣就業99報酬指數,6114.77,+,34.24,0.56
臺灣高薪100報酬指數,4949.61,+,21.87,0.44
臺灣低波動高股息報酬指數,2676.42,+,17.65,0.66
未含金融電子股報酬指數,16754.79,+,25.85,0.15
小型股300報酬指數,5252.77,+,28.44,0.54
水泥類報酬指數,150.75,-,0.17,-0.11
