"106年06月02日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,660.22","+","76.23","0.66",
"發行量加權股價指數","10,152.53","+","65.11","0.65",
"臺灣公司治理100指數","5,720.92","+","32.71","0.58",
"臺灣50指數","7,712.03","+","54.00","0.71",
"臺灣中型100指數","7,044.24","+","48.75","0.70",
"臺灣資訊科技指數","9,420.02","+","83.72","0.90",
"臺灣發達指數","8,688.97","+","55.79","0.65",
"臺灣高股息指數","5,869.51","+","39.15","0.67",
"臺灣就業99指數","5,921.79","+","24.28","0.41",
"臺灣高薪100指數","5,614.14","+","35.14","0.63",
"臺灣低波動高股息指數","1,462.04","+","8.30","0.57",
"未含金融保險股指數","8,655.67","+","59.23","0.69",
"未含電子股指數","13,605.73","+","47.34","0.35",
"未含金融電子股指數","11,740.97","+","41.15","0.35",
"小型股300指數","6,002.64","+","25.14","0.42",
"漲升股利150指數","5,832.29","+","35.75","0.62",
"漲升股利100指數","5,816.77","+","39.12","0.68",
"藍籌30指數","5,334.40","+","31.72","0.60",
"工業菁英30指數","5,545.56","+","40.78","0.74",
"電子菁英30指數","5,612.09","+","38.33","0.69",
"低波動精選30指數","5,270.74","+","14.98","0.29",
"低貝塔100指數","5,373.12","+","4.31","0.08",
"中小型精選50指數","5,068.01","+","35.89","0.71",
"中小型A級動能50指數","5,463.33","+","41.23","0.76",
"藍籌30反向一倍指數","9,340.19","-","56.21","-0.60",
"水泥窯製類指數","437.35","+","3.21","0.74",
"塑膠化工類指數","848.24","-","0.66","-0.08",
"機電類指數","2,394.03","+","20.48","0.86",
"水泥類指數","114.06","+","0.86","0.76",
"食品類指數","1,515.21","+","7.96","0.53",
"塑膠類指數","255.05","-","1.10","-0.43",
"紡織纖維類指數","487.26","+","5.93","1.23",
"電機機械類指數","171.07","+","0.54","0.32",
"電器電纜類指數","41.79","+","0.40","0.97",
"化學生技醫療類指數","97.36","+","0.48","0.50",
"化學類指數","99.47","+","0.41","0.41",
"生技醫療類指數","66.90","+","0.40","0.60",
"玻璃陶瓷類指數","37.63","+","0.23","0.61",
"造紙類指數","210.25","+","2.88","1.39",
"鋼鐵類指數","99.07","+","0.31","0.31",
"橡膠類指數","316.93","+","3.18","1.01",
"汽車類指數","287.71","+","2.18","0.76",
"電子類指數","426.48","+","3.72","0.88",
"半導體類指數","147.73","+","1.62","1.11",
"電腦及週邊設備類指數","104.95","+","0.50","0.48",
"光電類指數","43.85","+","0.65","1.50",
"通信網路類指數","126.27","-","0.14","-0.11",
"電子零組件類指數","90.23","+","1.10","1.23",
"電子通路類指數","115.75","+","0.18","0.16",
"資訊服務類指數","91.46","-","0.17","-0.19",
"其他電子類指數","107.58","+","0.82","0.77",
"建材營造類指數","263.02","+","0.83","0.32",
"航運類指數","63.32","-","0.06","-0.09",
"觀光類指數","125.46","+","0.69","0.55",
"金融保險類指數","1,103.08","+","3.77","0.34",
"貿易百貨類指數","229.08","+","1.26","0.55",
"油電燃氣類指數","134.29","+","0.58","0.43",
"其他類指數","251.21","+","1.39","0.56",
"臺指日報酬兩倍指數","15,005.03","+","191.23","1.29",
"臺指日報酬反向一倍指數","7,833.39","-","50.89","-0.65",
"電子類兩倍槓桿指數","12,406.07","+","214.55","1.76",
"電子類反向指數","8,343.91","-","74.07","-0.88",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","12,985.19","+","85.31","0.66",
"發行量加權股價報酬指數","16,739.82","+","107.95","0.65",
"臺灣公司治理100報酬指數","6,201.71","+","35.47","0.58",
"臺灣50報酬指數","12,858.02","+","90.03","0.71",
"臺灣中型100報酬指數","10,927.80","+","75.63","0.70",
"臺灣資訊科技報酬指數","14,934.57","+","132.74","0.90",
"臺灣發達報酬指數","13,057.56","+","83.86","0.65",
"臺灣高股息報酬指數","10,996.39","+","73.36","0.67",
"臺灣就業99報酬指數","7,276.63","+","29.84","0.41",
"臺灣高薪100報酬指數","6,170.02","+","38.60","0.63",
"臺灣低波動高股息報酬指數","3,152.31","+","17.90","0.57",
"未含金融電子股報酬指數","19,403.85","+","68.01","0.35",
"小型股300報酬指數","6,271.22","+","28.17","0.45",
"漲升股利150報酬指數","6,025.52","+","37.40","0.62",
"漲升股利100報酬指數","5,999.73","+","40.34","0.68",
"藍籌 30 報酬指數","5,334.40","+","31.72","0.60",
"工業菁英 30 報酬指數","5,545.56","+","40.78","0.74",
"電子菁英 30 報酬指數","5,612.09","+","38.33","0.69",
"低波動精選 30 報酬指數","5,270.74","+","14.98","0.29",
"低貝塔 100 報酬指數","5,375.41","+","4.31","0.08",
"中小型精選50報酬指數","5,068.01","+","35.89","0.71",
"中小型A級動能50報酬指數","5,463.33","+","41.23","0.76",
"水泥類報酬指數","166.55","+","1.26","0.76",
"食品類報酬指數","1,858.64","+","9.76","0.53",
"塑膠類報酬指數","340.63","-","1.47","-0.43",
"紡織纖維類報酬指數","638.34","+","7.76","1.23",
"電機機械類報酬指數","220.06","+","0.70","0.32",
"電器電纜類報酬指數","48.91","+","0.46","0.95",
"化學生技醫療類報酬指數","126.22","+","0.62","0.49",
"化學類報酬指數","133.27","+","0.55","0.41",
"生技醫療類報酬指數","81.69","+","0.50","0.62",
"玻璃陶瓷類報酬指數","40.66","+","0.25","0.62",
"造紙類報酬指數","261.26","+","3.57","1.39",
"鋼鐵類報酬指數","131.17","+","0.41","0.31",
"橡膠類報酬指數","413.22","+","4.15","1.01",
"汽車類報酬指數","365.87","+","2.78","0.77",
"電子類報酬指數","646.38","+","5.68","0.89",
"半導體類報酬指數","214.06","+","2.35","1.11",
"電腦及週邊設備類報酬指數","167.51","+","0.80","0.48",
"光電類報酬指數","54.65","+","0.81","1.50",
"通信網路類報酬指數","210.84","-","0.24","-0.11",
"電子零組件類報酬指數","135.51","+","1.64","1.23",
"電子通路類報酬指數","194.42","+","1.15","0.60",
"資訊服務類報酬指數","155.46","-","0.29","-0.19",
"其他電子類報酬指數","135.74","+","1.03","0.76",
"建材營造類報酬指數","384.02","+","1.20","0.31",
"航運類報酬指數","78.75","-","0.07","-0.09",
"觀光類報酬指數","145.94","+","0.81","0.56",
"金融保險類報酬指數","1,488.75","+","5.08","0.34",
"貿易百貨類報酬指數","287.09","+","1.58","0.55",
"油電燃氣類報酬指數","168.91","+","0.73","0.43",
"其他類報酬指數","345.56","+","1.90","0.55",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","81,010,821,050","2,133,702,625","746,841",
"2.台灣存託憑證","27,457,463","4,380,355","811",
"3.受益憑證","0","0","0",
"4.ETF","5,404,518,321","288,972,441","40,240",
"5.受益證券","2,625,640","185,000","73",
"6.變更交易股票","10,351,905","3,935,178","801",
"7.認購(售)權證","1,961,237,710","1,830,896,000","56,155",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","81,021,172,955","2,137,637,803","747,642",
"總計(1~12)","88,417,012,089","4,262,071,599","844,921",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","3,083(8)","498(8)",
"下跌(跌停)","2,276(24)","257(0)",
"持平","520","134",
"未成交","4,440","2",
"無比價","1,080","5",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
"無比價"含當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

"106年06月02日每日收盤行情(全部)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","3,540,934","733","273,287,776","77.30","77.30","77.05","77.20","+","0.30","77.20","398","77.25","149","0.00",
="0051","元大中型100","41,168","25","1,168,594","28.23","28.44","28.23","28.40","+","0.17","28.39","50","28.42","2","0.00",
="0052","富邦科技","11,000","5","515,100","46.60","47.05","46.60","47.05","X","0.00","46.86","1","47.05","1","0.00",
="0053","元大電子","113,000","11","3,814,490","33.70","33.84","33.70","33.75","+","0.16","33.75","50","33.83","1","0.00",
="0054","元大台商50","32,000","11","768,040","23.99","24.03","23.99","24.03","+","0.19","24.03","49","24.06","2","0.00",
="0055","元大MSCI金融","58,000","27","868,760","14.96","15.02","14.93","14.99","+","0.08","14.99","4","15.00","7","0.00",
="0056","元大高股息","503,652","273","12,516,800","24.85","24.87","24.84","24.86","+","0.02","24.85","43","24.86","56","0.00",
