"106年06月27日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","12,040.96","-","2.78","-0.02",
"發行量加權股價指數","10,512.06","-","1.90","-0.02",
"臺灣公司治理100指數","5,948.99","-","4.05","-0.07",
"臺灣50指數","8,024.86","-","27.15","-0.34",
"臺灣中型100指數","7,283.27","+","34.49","0.48",
"臺灣資訊科技指數","9,667.23","-","91.03","-0.93",
"臺灣發達指數","9,169.80","+","28.27","0.31",
"臺灣高股息指數","6,074.76","+","9.33","0.15",
"臺灣就業99指數","6,084.40","+","1.47","0.02",
"臺灣高薪100指數","5,849.56","+","5.80","0.10",
"臺灣低波動高股息指數","1,505.68","+","6.68","0.45",
"未含金融保險股指數","8,965.08","-","5.38","-0.06",
"未含電子股指數","14,043.82","+","52.91","0.38",
"未含金融電子股指數","12,114.87","+","50.55","0.42",
"小型股300指數","6,096.25","+","4.16","0.07",
"漲升股利150指數","6,096.09","+","16.04","0.26",
"漲升股利100指數","6,098.62","+","17.61","0.29",
"藍籌30指數","5,513.92","-","19.12","-0.35",
"工業菁英30指數","5,819.72","-","17.21","-0.29",
"電子菁英30指數","5,795.57","-","30.52","-0.52",
"低波動精選30指數","5,583.04","+","23.45","0.42",
"低貝塔100指數","5,439.57","-","3.12","-0.06",
"中小型精選50指數","5,221.91","+","5.59","0.11",
"中小型A級動能50指數","5,596.61","+","26.02","0.47",
"藍籌30反向一倍指數","9,031.99","+","31.10","0.35",
"水泥窯製類指數","432.90","-","1.31","-0.30",
"塑膠化工類指數","881.12","+","1.71","0.19",
"機電類指數","2,485.00","-","7.43","-0.30",
"水泥類指數","111.88","-","0.42","-0.37",
"食品類指數","1,545.86","+","2.09","0.14",
"塑膠類指數","267.10","+","0.84","0.32",
"紡織纖維類指數","501.84","-","2.08","-0.41",
"電機機械類指數","178.43","+","0.85","0.48",
"電器電纜類指數","42.36","+","0.15","0.36",
"化學生技醫療類指數","98.79","-","0.07","-0.07",
"化學類指數","100.28","+","0.41","0.41",
"生技醫療類指數","68.48","-","0.49","-0.71",
"玻璃陶瓷類指數","38.96","+","0.03","0.08",
"造紙類指數","222.32","-","2.07","-0.92",
"鋼鐵類指數","100.28","-","0.10","-0.10",
"橡膠類指數","325.55","-","0.37","-0.11",
"汽車類指數","276.79","-","0.66","-0.24",
"電子類指數","442.67","-","1.46","-0.33",
"半導體類指數","150.36","-","1.63","-1.07",
"電腦及週邊設備類指數","108.10","-","0.32","-0.30",
"光電類指數","45.53"," ","--","--",
"通信網路類指數","128.82","+","0.11","0.09",
"電子零組件類指數","91.21","-","0.18","-0.20",
"電子通路類指數","117.91","+","0.84","0.72",
"資訊服務類指數","90.06","-","0.11","-0.12",
"其他電子類指數","122.28","+","1.36","1.12",
"建材營造類指數","268.46","+","1.26","0.47",
"航運類指數","63.25","-","0.16","-0.25",
"觀光類指數","128.32","+","1.02","0.80",
"金融保險類指數","1,139.58","+","3.13","0.28",
"貿易百貨類指數","229.64","-","2.04","-0.88",
"油電燃氣類指數","148.09","+","4.20","2.92",
"其他類指數","258.31","+","1.33","0.52",
"臺指日報酬兩倍指數","16,077.67","-","5.81","-0.04",
"臺指日報酬反向一倍指數","7,561.23","+","1.37","0.02",
"電子類兩倍槓桿指數","13,354.04","-","88.38","-0.66",
"電子類反向指數","8,031.56","+","26.32","0.33",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","13,495.45","-","2.71","-0.02",
"發行量加權股價報酬指數","17,452.00","-","2.88","-0.02",
"臺灣公司治理100報酬指數","6,506.50","-","4.43","-0.07",
"臺灣50報酬指數","13,519.90","-","45.74","-0.34",
"臺灣中型100報酬指數","11,331.00","+","53.66","0.48",
"臺灣資訊科技報酬指數","15,653.39","-","147.40","-0.93",
"臺灣發達報酬指數","13,787.72","+","42.51","0.31",
"臺灣高股息報酬指數","11,399.42","+","17.51","0.15",
"臺灣就業99報酬指數","7,496.97","+","1.81","0.02",
"臺灣高薪100報酬指數","6,454.56","+","6.41","0.10",
"臺灣低波動高股息報酬指數","3,249.46","+","14.43","0.45",
"未含金融電子股報酬指數","20,039.25","+","84.06","0.42",
"小型股300報酬指數","6,383.48","+","4.36","0.07",
"漲升股利150報酬指數","6,326.25","+","16.65","0.26",
"漲升股利100報酬指數","6,319.40","+","18.25","0.29",
"藍籌 30 報酬指數","5,553.46","-","19.25","-0.35",
"工業菁英 30 報酬指數","5,864.28","-","17.34","-0.29",
"電子菁英 30 報酬指數","5,836.13","-","30.74","-0.52",
"低波動精選 30 報酬指數","5,583.04","+","23.45","0.42",
"低貝塔 100 報酬指數","5,451.31","-","3.14","-0.06",
"中小型精選50報酬指數","5,239.65","+","5.61","0.11",
"中小型A級動能50報酬指數","5,621.06","+","26.13","0.47",
"水泥類報酬指數","163.36","-","0.62","-0.38",
"食品類報酬指數","1,896.25","+","2.57","0.14",
"塑膠類報酬指數","356.90","+","1.13","0.32",
"紡織纖維類報酬指數","657.44","-","2.73","-0.41",
"電機機械類報酬指數","229.99","+","1.18","0.52",
"電器電纜類報酬指數","49.58","+","0.17","0.34",
"化學生技醫療類報酬指數","128.29","-","0.08","-0.06",
"化學類報酬指數","134.64","+","0.55","0.41",
"生技醫療類報酬指數","83.69","-","0.60","-0.71",
"玻璃陶瓷類報酬指數","42.09","+","0.03","0.07",
"造紙類報酬指數","276.26","-","2.57","-0.92",
"鋼鐵類報酬指數","133.38","-","0.12","-0.09",
"橡膠類報酬指數","424.75","-","0.48","-0.11",
"汽車類報酬指數","351.97","-","0.85","-0.24",
"電子類報酬指數","678.76","-","2.22","-0.33",
"半導體類報酬指數","223.22","-","2.42","-1.07",
"電腦及週邊設備類報酬指數","172.72","-","0.51","-0.29",
"光電類報酬指數","56.80"," ","--","--",
"通信網路類報酬指數","215.12","+","0.17","0.08",
"電子零組件類報酬指數","137.62","-","0.28","-0.20",
"電子通路類報酬指數","198.03","+","1.39","0.71",
"資訊服務類報酬指數","153.87","-","0.19","-0.12",
"其他電子類報酬指數","154.36","+","1.73","1.13",
"建材營造類報酬指數","392.13","+","1.84","0.47",
"航運類報酬指數","78.66","-","0.20","-0.25",
"觀光類報酬指數","150.01","+","1.19","0.80",
"金融保險類報酬指數","1,538.83","+","4.22","0.27",
"貿易百貨類報酬指數","288.54","-","2.56","-0.88",
"油電燃氣類報酬指數","186.27","+","5.28","2.92",
"其他類報酬指數","355.47","+","1.82","0.51",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","106,259,843,732","2,705,486,462","837,634",
"2.台灣存託憑證","67,934,511","7,093,466","2,010",
"3.受益憑證","0","0","0",
"4.ETF","5,271,799,075","296,094,986","40,207",
"5.受益證券","9,213,000","651,000","124",
"6.變更交易股票","24,914,191","14,911,470","1,182",
"7.認購(售)權證","3,049,750,310","2,574,201,000","76,270",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","106,284,757,923","2,720,397,932","838,816",
"總計(1~12)","114,683,454,819","5,598,438,384","957,427",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","3,068(6)","369(6)",
"下跌(跌停)","3,006(17)","388(1)",
"持平","653","136",
"未成交","4,049","2",
"無比價","836","3",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
"無比價"含當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

"106年06月27日每日收盤行情(全部)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","3,026,202","1,145","245,706,817","81.40","81.50","81.00","81.30","-","0.10","81.20","111","81.30","291","0.00",
="0051","元大中型100","50,102","28","1,475,772","29.40","29.50","29.34","29.43","+","0.16","29.43","32","29.50","5","0.00",
="0052","富邦科技","10,194","7","495,742","48.81","48.81","48.28","48.49","-","0.32","48.28","2","48.57","5","0.00",
="0053","元大電子","48,028","13","1,713,156","35.69","35.70","35.51","35.60","-","0.09","35.60","1","35.70","20","0.00",
="0054","元大台商50","178,000","45","4,545,150","25.55","25.70","25.49","25.56","+","0.12","25.56","49","25.70","22","0.00",
="0055","元大MSCI金融","253,000","71","3,906,170","15.37","15.47","15.37","15.44","+","0.09","15.44","2","15.47","5","0.00",
="0056","元大高股息","1,443,909","544","37,195,421","25.70","25.82","25.70","25.76","+","0.06","25.76","974","25.77","2","0.00",
="0057","富邦摩台","5,000","4","240,340","48.15","48.15","47.80","47.80","+","0.41","47.92","1","48.02","1","0.00",
="0058","富邦發達","4,000","4","184,560","46.14","46.14","46.14","46.14","+","0.14","45.85","1","46.18","10","0.00",
="0059","富邦金融","7,000","7","252,510","36.20","36.20","35.89","35.89","-","0.10","35.77","1","35.99","2","0.00",
="0061","元大寶滬深","4,584,250","1,082","75,207,127","16.42","16.44","16.37","16.40","+","0.05","16.39","60","16.40","167","0.00",
="006203","元大MSCI台灣","0","0","0","--","--","--","--"," ","0.00","37.36","50","37.70","20","0.00",
="006204","永豐臺灣加權","8,000","8","420,800","52.60","52.60","52.60","52.60","+","0.15","52.45","15","52.65","100","0.00",
="006205","富邦上証","3,487,254","690","99,656,076","28.63","28.64","28.51","28.57","-","0.02","28.56","183","28.57","26","0.00",
="006206","元大上證50","1,443,849","270","40,465,024","28.16","28.16","27.95","28.01","-","0.04","28.01","54","28.02","20","0.00",
="006207","FH滬深","3,109,000","315","66,670,220","21.47","21.48","21.38","21.41","+","0.01","21.41","32","21.43","66","0.00",
="006208","富邦台50","3,221","6","152,952","47.60","47.60","47.54","47.54"," ","0.00","47.23","1","47.47","1","0.00",
="00625K","富邦上証+R","50,000","2","319,500","6.39","6.39","6.39","6.39","+","0.01","6.42","40","6.49","10","0.00",
="00631L","元大台灣50正2","1,651,329","459","54,942,774","33.44","33.49","33.16","33.21","-","0.11","33.21","50","33.23","1","0.00",
="00632R","元大台灣50反1","107,478,981","7,676","1,495,012,537","13.89","13.95","13.88","13.90","-","0.03","13.90","3,015","13.91","141","0.00",
="00633L","富邦上証正2","27,075,600","6,911","1,070,078,780","39.78","39.80","39.35","39.46","-","0.22","39.45","44","39.46","581","0.00",
="00634R","富邦上証反1","2,687,000","358","21,872,800","8.12","8.16","8.12","8.16","+","0.02","8.15","86","8.16","3","0.00",
="00635U","元大S&P黃金","1,772,000","339","34,715,710","19.59","19.63","19.55","19.61","-","0.15","19.60","6","19.61","155","0.00",
="00636","國泰中國A50","1,817,970","444","32,400,872","17.95","17.95","17.77","17.78","-","0.13","17.78","14","17.79","13","0.00",
