date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-05-22,1.5,1.5,1.5,1.5,-0.05,-1,4000,1,6000
2017-05-23,1.64,1.63,1.64,1.59,0.13,1,36000,4,58650
2017-05-24,1.55,1.51,1.55,1.51,-0.12,-1,122000,18,186080
2017-05-25,1.4,1.38,1.4,1.38,-0.13,-1,63000,7,87900
2017-05-26,1.4,1.42,1.43,1.4,0.04,1,55000,5,77900
2017-05-31,1.43,1.39,1.43,1.39,-0.03,-1,70000,4,98100
2017-06-01,1.43,1.54,1.54,1.43,0.15,1,91000,8,133390
2017-06-02,1.74,1.95,2.04,1.73,0.41,1,177000,18,329200
2017-06-03,1.95,1.96,1.96,1.83,0.01,1,212000,24,402590
2017-06-05,2.02,2.24,2.24,2.02,0.28,1,8000,4,17540
2017-06-06,,,,,0.0,0,0,0,0
2017-06-07,1.9,1.82,1.9,1.82,0.0,0,46000,2,84200
2017-06-08,,,,,0.0,0,0,0,0
2017-06-09,,,,,0.0,0,0,0,0
2017-06-12,1.84,1.84,1.84,1.84,0.0,0,1000,1,1840
2017-06-13,1.82,1.82,1.82,1.82,-0.02,-1,4000,1,7280
2017-06-14,1.58,1.58,1.58,1.58,-0.24,-1,2000,1,3160
2017-06-15,1.86,1.88,1.88,1.86,0.3,1,18000,2,33640
2017-06-16,1.9,1.9,1.9,1.9,0.02,1,65000,2,123500
2017-06-19,2.1,2.1,2.1,2.1,0.2,1,14000,2,29400
2017-06-20,,,,,0.0,0,0,0,0
2017-06-21,2.15,2.15,2.15,2.15,0.0,0,20000,1,43000
2017-06-22,2.1,2.1,2.1,2.1,-0.05,-1,20000,1,42000
